ID,SNM,STYP,FND,RGN,USC,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
64,광주보건대학교,전문대학,사립,광주,B그룹,63.93730607936505,63.765984841269805,64.39620922222221,64.09377955555551,65.75983509595953,65.75735,65.75258
65,광주여자대학교,대학,사립,광주,C그룹,66.32266430546503,66.44379307819237,66.41333185597014,66.30899617343044,66.53932550570927,66.53598,66.53009
66,구미대학교,전문대학,사립,경북,A그룹,63.609073079365125,63.420843095238176,63.76613766666672,62.318762587301634,63.56047511111116,63.55636,63.55106
67,구세군사관대학원대학교,대학원대학,사립,경기,-,65.65842422150071,65.20312705483406,64.7255715238095,65.11525537229434,64.31415295238094,64.31716,64.31424
68,국군간호사관학교,기타,기타,대전,-,61.01990196825401,60.86191325396828,61.746630015873066,61.822462730158776,61.75280815873023,61.77026,61.76359
69,국립강릉원주대학교,대학,국립,강원,B그룹,66.95415194889499,66.7409922577997,66.83176396492331,67.12746243876195,66.649731402694,66.64343,66.64795
70,국립경국대학교,대학,국립,경북,B그룹,67.35490364621401,66.87993140176943,67.01322086617341,66.97292057724012,66.84677418298817,66.84324,66.848366
71,국립공주대학교,대학,국립,충남,A그룹,67.47731108276798,67.16355948238726,67.02723692240862,67.07806701265339,67.44713538431071,67.44752,67.44917
72,국립군산대학교,대학,국립,전북,B그룹,66.83713522862712,66.72017200433092,66.73883278141211,66.64476593483766,65.19686309940252,65.169426,65.17321
73,국립금오공과대학교,대학,국립,경북,B그룹,67.51039782549805,67.55749504015044,67.78629796503836,67.7222544922889,67.27390682263697,67.27418,67.27704
74,국립목포대학교,대학,국립,전남,B그룹,67.01211132668308,66.92120293416184,66.6624985053782,65.95888449245396,66.43622945415166,66.42968,66.43134
75,국립목포해양대학교,대학,국립,전남,C그룹,67.17593174645,67.66036176094276,66.81393606685904,67.10816297162094,67.43599305820103,67.4044,67.4004
76,국립부경대학교,대학,국립,부산,A그룹,69.2280283947391,66.00523264303295,67.52768841645097,68.09204022474236,67.31926237205212,67.32824,67.3225
77,국립순천대학교,대학,국립,전남,B그룹,68.4833551950583,67.47999601529848,67.2407016824366,66.83671303382279,66.5845204622531,66.58377,66.585106
78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,64.79959540871447,63.05509091197691,62.94700391197691,62.98935524531025,63.29046457864359,63.277054,63.27684
79,국립창원대학교,대학,국립,경남,B그룹,67.51461554138731,67.45035502590932,67.46492799608532,66.87440428466964,64.17991665850288,64.17703,64.18191
80,국립한국교통대학교,대학,국립,충북,B그룹,67.60879688302781,67.11394883772577,67.41240768923527,67.07541172297934,66.91547979317707,66.88826,66.889336
81,국립한국해양대학교,대학,국립,부산,B그룹,67.80138906480859,67.42624920795491,67.33926672978978,67.05941385821693,66.74004377180333,66.736336,66.7326
82,국립한밭대학교,대학,국립,대전,B그룹,67.61738353536379,66.82405550328428,66.63969154924818,66.71256148825165,66.0667154233166,66.07443,66.06932
83,국민대학교,대학,사립,서울,A그룹,68.00257700444942,67.29279681608696,67.32059747924731,68.04795135679355,65.67103663213577,65.64586,65.60905
84,국방대학교,기타,기타,충남,-,62.1932705873016,62.21262892063493,60.026567730158746,62.15250982539683,62.37253847619049,62.408886,62.40324
85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,62.10763005555558,62.65007504761908,62.58637719047623,61.22933557142861,61.75990747619051,61.78237,61.771988
86,국제대학교,전문대학,사립,경기,B그룹,64.57969792929295,63.997489834054896,64.49359995238102,64.07310504761912,63.60147819047626,63.60966,63.606224
87,국제문화대학원대학교,대학원대학,사립,충남,-,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
88,국제법률경영대학원대학교,대학원대학,사립,경기,-,60.026567730158746,60.56534566666667,60.35285423809524,64.6215411998557,61.880705015873,61.880756,61.889217
89,국제사이버대학교,대학,사립,경기,C그룹,61.64218893650797,61.1498280634921,61.108973063492094,60.91520512698416,60.98178346031749,61.012707,60.99244
90,국제언어대학원대학교,대학원대학,사립,서울,-,65.25476844444445,65.53542728571428,65.52568486147186,65.76980390909091,64.42036019047616,64.4077,64.416275
91,국제예술대학교,기타,기타,서울,-,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
92,군산간호대학교,전문대학,사립,전북,C그룹,59.74726226984128,59.60765807936509,59.83623850793652,62.89956712698416,59.93680814285716,59.860687,59.91894
