연도,번호,학교명,학교유형,설립,지역,대학규모,직원-정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,비정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,합계-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,계-1급 정사서,2급 정사서,준사서,미소지자,계,직원교육현황-대면교육-참여시간,참여인원,온라인 교육-참여시간,참여인원,"재학생 1,000명당 도서관 직원수-정규직-사서",비사서,비정규직-사서,비사서,재학생수(당해년도),"재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수-사서직원수 정규직",사서직원수 비정규직,재학생수(당해년도),"재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간-교육 참여시간,도서관직원수 정규직,도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간
2022,24,경기대학교,대학,사립,경기,A그룹,2,9.0,0,0,11.0,0,0,0,0.0,0.0,0,5.0,0,6.0,11.0,0,0,0,0,0,2,14.0,0,6.0,22.0,0,0,0,0.0,0.0,2,14.0,0,6.0,22.0,237.5,70,589.4000244140625,132,11.0,0.0,5.0,6.0,15481,1.2000000476837158,11.0,5.0,15481,1.0,826.9000244140625,11.0,10.0,39.400001525878906
2022,25,경남대학교,대학,사립,경남,A그룹,3,6.0,0,0,9.0,0,0,0,0.0,0.0,0,2.0,1,4.0,7.0,0,0,0,0,0,3,8.0,1,4.0,16.0,0,0,0,0.0,0.0,3,8.0,1,4.0,16.0,658.0,215,870.9000244140625,180,9.0,0.0,3.0,4.0,11331,1.2000000476837158,9.0,3.0,11331,1.100000023841858,1528.9000244140625,10.0,8.0,84.9000015258789
2022,26,경남도립거창대학,전문대학,공립,경남,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,1.0,0,1.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.0,2.0,31.5,7,116.0,26,1.0,0.0,0.0,1.0,844,1.7999999523162842,1.0,0.0,844,1.2000000476837158,147.5,1.0,1.0,73.80000305175781
2022,27,경남도립남해대학,전문대학,공립,경남,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.699999988079071,0.699999988079071,0,0,0,0,0,0,1.0,0,0.699999988079071,1.7000000476837158,0,0,0,0.0,0.0,0,1.0,0,0.699999988079071,1.7000000476837158,36.5,3,21.0,5,1.0,0.0,0.0,0.699999988079071,805,1.7000000476837158,1.0,0.0,805,1.2000000476837158,57.5,1.0,1.7000000476837158,21.299999237060547
2022,28,경남정보대학교,전문대학,사립,부산,A그룹,0,1.0,0,1,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,1.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.0,2.0,72.0,10,205.0,42,1.0,1.0,0.0,0.0,6010,0.30000001192092896,1.0,0.0,6010,0.20000000298023224,277.0,3.0,0.0,92.30000305175781
2022,29,경동대학교,대학,사립,강원,B그룹,0,3.0,3,3,9.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.0,3,3.0,9.0,0,0,0,0.0,0.0,0,3.0,3,3.0,9.0,560.5,105,1051.0,194,6.0,3.0,0.0,0.0,7067,1.2000000476837158,6.0,0.0,7067,0.800000011920929,1611.5,9.0,0.0,179.10000610351562
2022,30,경민대학교,전문대학,사립,경기,B그룹,2,0.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,2.0,2.0,0,0,0,0,0,2,0.0,0,2.0,4.0,0,0,0,0.0,0.0,2,0.0,0,2.0,4.0,166.5,23,63.0,16,2.0,0.0,0.0,2.0,3790,0.800000011920929,2.0,0.0,3790,0.5,229.5,2.0,2.0,57.400001525878906
2022,31,경복대학교,전문대학,사립,경기,A그룹,0,3.0,0,0,3.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.0,0,0.0,3.0,0,0,0,0.0,0.0,0,3.0,0,0.0,3.0,201.0,48,402.0,76,3.0,0.0,0.0,0.0,6134,0.5,3.0,0.0,6134,0.5,603.0,3.0,0.0,201.0
2022,32,경북과학대학교,전문대학,사립,경북,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,17.5,3,11.0,3,1.0,0.0,0.0,0.0,1834,0.5,1.0,0.0,1834,0.5,28.5,1.0,0.0,28.5
2022,33,경북대학교,대학,국립,대구,A그룹,14,13.5,0,3,30.5,0,0,0,0.0,0.0,2,11.5,1,1.0,15.5,0,0,0,0,0,16,25.0,1,4.0,46.0,0,0,0,0.0,0.0,16,25.0,1,4.0,46.0,1422.699951171875,318,1250.0999755859375,366,27.5,3.0,14.5,1.0,26917,1.600000023841858,27.5,14.5,26917,1.600000023841858,2672.800048828125,37.0,11.0,55.70000076293945
2022,34,경북보건대학교,전문대학,사립,경북,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,49.5,8,19.0,4,1.0,0.0,0.0,0.0,1250,0.800000011920929,1.0,0.0,1250,0.800000011920929,68.5,1.0,0.0,68.5
2022,35,경북외국어대학교,대학,사립,대구,C그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022,36,경북전문대학교,전문대학,사립,경북,B그룹,0,1.0,0,0,1.0,0,1,0,1.0,2.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,1,0,1.0,2.0,0,2.0,0,1.0,3.0,74.5,14,84.0,15,2.0,1.0,0.0,0.0,2643,1.100000023841858,2.0,0.0,2643,0.800000011920929,158.5,3.0,0.0,52.79999923706055
2022,37,경상국립대학교,대학,국립,경남,A그룹,7,17.0,1,0,25.0,0,0,0,0.0,0.0,2,3.0,0,0.0,5.0,0,0,0,0,0,9,20.0,1,0.0,30.0,0,0,0,0.0,0.0,9,20.0,1,0.0,30.0,914.0,296,988.2000122070312,288,25.0,0.0,5.0,0.0,20144,1.399999976158142,25.0,5.0,20144,1.5,1902.199951171875,24.0,4.0,67.9000015258789
2022,38,경성대학교,대학,사립,부산,A그룹,1,3.0,0,2,6.0,0,0,0,0.0,0.0,0,5.0,0,4.0,9.0,0,0,0,0,0,1,8.0,0,6.0,15.0,0,0,0,0.0,0.0,1,8.0,0,6.0,15.0,931.5,480,316.0,82,4.0,2.0,5.0,4.0,12391,0.8999999761581421,4.0,5.0,12391,0.699999988079071,1247.5,7.0,7.0,89.0999984741211
2022,39,경안대학원대학교,대학원대학,사립,경북,-,0,0.0,0,0,0.0,0,0,1,0.0,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,1,0.0,1.0,0,0.0,1,0.0,1.0,8.5,2,21.0,5,1.0,0.0,0.0,0.0,48,20.799999237060547,1.0,0.0,48,20.799999237060547,29.5,1.0,0.0,29.5
