연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(당해년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2015,38,경성대학교,대학,사립,부산,A그룹,371406,149749,521155,661342,200089,861431,19,35,49246,0,54,63247,772,113,885,25039,5774,30813,18970,0,861431,14008,61.5,30813,861431,3.700000047683716
2015,39,경안대학원대학교,대학원대학,사립,경북,-,11,1,12,7573,305,7878,0,0,0,0,0,0,5,0,5,0,192,192,166,0,7878,76,103.69999694824219,192,7878,2.5
2015,40,경운대학교,대학,사립,경북,C그룹,130990,17846,148836,236617,25685,262302,9,5,13129,0,14,20751,375,64,439,6226,1632,7858,5091,11,262302,5211,50.29999923706055,7858,262302,3.0999999046325684
2015,41,경인교육대학교,대학,국립,인천,C그룹,237525,11903,249428,473040,37731,510771,2,12,5900,0,14,7922,302,66,368,26917,1328,28245,11194,2611,510771,4274,119.5,28245,510771,5.900000095367432
2015,42,경인여자대학교,전문대학,사립,인천,B그룹,76649,1044,77693,106343,1163,107506,1,3,12386,0,4,14768,58,16,74,6893,7117,14010,10801,0,107506,4950,21.700000762939453,14010,107506,15.0
2015,43,경일대학교,대학,사립,경북,B그룹,149714,44444,194158,308608,62678,371286,4,2,13500,0,6,21948,212,5,217,11694,1211,12905,5095,2,371286,7512,49.400001525878906,12905,371286,3.5999999046325684
2015,44,경찰대학,기타,기타,충남,-,0,0,0,125486,42653,168139,0,8,1486,0,8,1486,196,61,257,5912,1112,7024,0,0,168139,0,0.0,7024,168139,4.400000095367432
2015,45,경희대학교,대학,사립,서울,A그룹,810247,392920,1203167,1892667,586626,2479293,72,39,238006,0,111,330247,655,378,1033,22980,9930,32910,26870,21393,2479293,32961,75.19999694824219,32910,2479293,1.2999999523162842
2015,46,계명대학교,대학,사립,대구,A그룹,510184,315839,826023,1456234,399921,1856155,34,46,51220,0,80,144970,1605,387,1992,44019,9603,53622,30715,506,1856155,25445,72.9000015258789,53622,1856155,3.0
2015,47,계명문화대학교,전문대학,사립,대구,A그룹,143350,8502,151852,221588,12655,234243,1,4,9479,0,5,9726,205,4,209,9560,1941,11501,10935,15835,234243,5283,44.29999923706055,11501,234243,5.199999809265137
2015,48,계약신학대학원대학교,대학원대학,사립,경기,-,13365,4105,17470,14485,4148,18633,0,0,691,0,0,691,10,0,10,144,55,199,129,0,18633,51,365.3999938964844,199,18633,1.100000023841858
