연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2024,103,남부대학교,대학,사립,광주,C그룹,0,1,0,0,1,0,0,0,1,1,0,2,0,1,3,0,0,0,0,0,0,3,0,1,4,0,0,0,1,1,0,3,0,2,5,57,14,72,17,1,1,2,1,3018,1.2999999523162842,1,2,3018,1,129,3,1,32.29999923706055
2024,104,남서울대학교,대학,사립,충남,B그룹,0,3,0,0,3,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,11,0,0,11,159.5,26,313,74,3,0,8,0,9621,1,3,8,9621,1.100000023841858,472.5,3,8,43
2024,105,농협대학교,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,39,2,5,1,0,0,1,0,398,2,0,1,398,2.5,44,0,1,44
2024,106,능인대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,10,2,10,1,0,0,1,0,37,21.600000381469727,0,1,37,27,20,0,1,20
2024,107,단국대학교,대학,사립,경기,A그룹,6,7,0,9,22,0,0,0,0,0,0,9,0,2,11,0,0,0,0,0,6,16,0,11,33,0,0,0,0,0,6,16,0,11,33,329.5,41,595.7999877929688,160,13,9,9,2,26080,1.100000023841858,13,9,26080,0.800000011920929,925.2999877929688,23,10,28
2024,108,대경대학교,전문대학,사립,경북,B그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,16,3,69,14,2,0,0,0,3480,0.6000000238418579,2,0,3480,0.6000000238418579,85,2,0,42.5
2024,109,대구가톨릭대학교,대학,사립,경북,A그룹,0,7,0,0,7,1,1,0,0,2,0,7,0,0,7,0,0,0,0,0,0,14,0,0,14,1,1,0,0,2,1,15,0,0,16,302,76,349,88,9,0,7,0,12221,1.2000000476837158,9,7,12221,1.2999999523162842,651,9,7,40.70000076293945
2024,110,대구경북과학기술원,대학,국립,대구,C그룹,0,1,0,2,3,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,124,17,6,2,1,2,2,2,1837,2.799999952316284,1,2,1837,1.600000023841858,130,3,4,18.600000381469727
2024,111,대구공업대학교,전문대학,사립,대구,C그룹,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,16,2,45,11,1,1,0,0,1185,1.5,1,0,1185,0.800000011920929,61,2,0,30.5
2024,112,대구과학대학교,전문대학,사립,대구,A그룹,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,2,45,8,66,15,2,0,0,0,4242,0.5,2,0,4242,0.5,111,2,0,55.5
2024,113,대구교육대학교,대학,국립,대구,C그룹,2,1,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,1,6,0,0,0,0,0,2,1,2,1,6,138,36,150,32,4,1,1,0,2291,2.4000000953674316,4,1,2291,2.200000047683716,288,6,0,48
