연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-정보화기기(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2019,157,루터대학교,대학,사립,경기,C그룹,552.0,69,7,552.0,402,1.399999976158142
2019,158,마산대학교,전문대학,사립,경남,A그룹,4360.0,957,77,4360.0,5539,0.800000011920929
2019,159,명신대학교,대학,사립,전남,C그룹,0.0,0,0,0.0,0,0.0
2019,160,명지대학교,대학,사립,서울,A그룹,36199.0,3822,354,36199.0,15984,2.299999952316284
2019,161,명지전문대학,전문대학,사립,서울,A그룹,5568.0,1037,70,5568.0,7178,0.800000011920929
2019,162,목원대학교,대학,사립,대전,B그룹,9079.0,1479,65,9079.0,8477,1.100000023841858
2019,163,목포가톨릭대학교,대학,사립,전남,C그룹,1129.0,253,11,1129.0,519,2.200000047683716
2019,164,목포과학대학교,전문대학,사립,전남,B그룹,2943.0,372,5,2943.0,2302,1.2999999523162842
2019,165,문경대학교,전문대학,사립,경북,C그룹,743.0,198,6,743.0,864,0.8999999761581421
2019,166,배재대학교,대학,사립,대전,B그룹,8745.0,1499,67,8745.0,9102,1.0
2019,167,배화여자대학교,전문대학,사립,서울,B그룹,5680.0,495,71,5680.0,2909,2.0
2019,168,백석대학교,대학,사립,충남,A그룹,11899.7998046875,2847,147,11899.7998046875,14288,0.800000011920929
2019,169,백석문화대학교,전문대학,사립,충남,A그룹,7538.2001953125,444,75,7538.2001953125,5479,1.399999976158142
2019,170,백석예술대학,전문대학,사립,서울,A그룹,0.0,0,0,0.0,0,0.0
2019,171,백제예술대학교,전문대학,사립,전북,C그룹,1238.0,110,11,1238.0,1355,0.8999999761581421
2019,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198.0,16,1,198.0,54,3.700000047683716
2019,173,벽성대학,전문대학,사립,전북,C그룹,0.0,0,0,0.0,0,0.0
2019,174,부산가톨릭대학교,대학,사립,부산,C그룹,5685.7998046875,1151,57,5685.7998046875,4163,1.399999976158142
2019,175,부산경상대학교,전문대학,사립,부산,B그룹,3823.0,688,47,3823.0,2959,1.2999999523162842
2019,176,부산과학기술대학교,전문대학,사립,부산,B그룹,3117.0,590,45,3117.0,4042,0.800000011920929
2019,177,부산교육대학교,대학,국립,부산,C그룹,6023.0,807,111,6023.0,2439,2.5
2019,178,부산대학교,대학,국립,부산,A그룹,35855.0,5674,298,35855.0,28715,1.2000000476837158
2019,179,부산디지털대학교,대학,사립,부산,C그룹,128.3000030517578,45,16,128.3000030517578,2243,0.10000000149011612
2019,180,부산보건대학교,전문대학,사립,부산,B그룹,2516.39990234375,657,38,2516.39990234375,3135,0.800000011920929
2019,181,부산여자대학교,전문대학,사립,부산,C그룹,5131.0,481,33,5131.0,2877,1.7999999523162842
2019,182,부산예술대학교,전문대학,사립,부산,C그룹,1067.0,80,8,1067.0,749,1.399999976158142
2019,183,부산외국어대학교,대학,사립,부산,B그룹,13681.900390625,1921,136,13681.900390625,9075,1.5
2019,184,부산장신대학교,대학,사립,경남,C그룹,1041.0,206,25,1041.0,465,2.200000047683716
2019,185,부천대학교,전문대학,사립,경기,A그룹,5186.60009765625,1002,117,5186.60009765625,7668,0.699999988079071
2019,186,삼육대학교,대학,사립,서울,B그룹,7036.10009765625,1454,97,7036.10009765625,6054,1.2000000476837158
2019,187,삼육보건대학교,전문대학,사립,서울,C그룹,1220.0,329,45,1220.0,1404,0.8999999761581421
2019,188,상명대학교,대학,사립,서울,A그룹,13721.0,2302,220,13721.0,14001,1.0
2019,189,상지대학교,대학,사립,강원,B그룹,11563.400390625,1478,116,11563.400390625,6720,1.7000000476837158
2019,190,상지영서대학교,전문대학,사립,강원,B그룹,2152.0,355,84,2152.0,2414,0.8999999761581421
2019,191,서강대학교,대학,사립,서울,A그룹,16051.0,2822,101,16051.0,11103,1.399999976158142
2019,192,서경대학교,대학,사립,서울,B그룹,9014.2998046875,1626,243,9014.2998046875,6858,1.2999999523162842
2019,193,서남대학교,대학,사립,전북,C그룹,0.0,0,0,0.0,0,0.0
2019,194,서라벌대학교,전문대학,사립,경북,C그룹,1075.0,354,13,1075.0,729,1.5
2019,195,서영대학교,전문대학,사립,광주,A그룹,2438.0,712,24,2438.0,5179,0.5
2019,196,서울과학기술대학교,대학,국립,서울,A그룹,14177.0,2028,114,14177.0,11934,1.2000000476837158
2019,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,108.0,35,3,108.0,506,0.20000000298023224
2019,198,서울교육대학교,대학,국립,서울,C그룹,4480.0,772,74,4480.0,2988,1.5
2019,199,서울기독대학교,대학,사립,서울,C그룹,613.5,145,9,613.5,808,0.800000011920929
2019,200,서울대학교,대학,국립,서울,A그룹,78604.0,9792,536,78604.0,28102,2.799999952316284
2019,201,서울디지털대학교,대학,사립,서울,A그룹,0.0,0,2,0.0,10933,0.0
2019,202,서울미디어대학원대학교,대학원대학,사립,서울,-,379.0,76,4,379.0,119,3.200000047683716
2019,203,서울벤처대학원대학교,대학원대학,사립,서울,-,33.0,10,4,33.0,256,0.10000000149011612
2019,204,서울불교대학원대학교,대학원대학,사립,서울,-,218.60000610351562,51,3,218.60000610351562,181,1.2000000476837158
2019,205,서울사이버대학교,대학,사립,서울,A그룹,122.0,4,4,122.0,10344,0.0
2019,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,158.0,24,3,158.0,138,1.100000023841858
2019,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,380.1000061035156,87,8,380.1000061035156,115,3.299999952316284
2019,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,252.0,73,3,252.0,93,2.700000047683716
2019,209,서울시립대학교,대학,공립,서울,A그룹,16414.69921875,2588,208,16414.69921875,11632,1.399999976158142
2019,210,서울신학대학교,대학,사립,경기,C그룹,4529.0,726,42,4529.0,3188,1.399999976158142
2019,211,서울여자간호대학교,전문대학,사립,서울,C그룹,1195.0,327,14,1195.0,933,1.2999999523162842
2019,212,서울여자대학교,대학,사립,서울,B그룹,10446.0,1886,128,10446.0,7541,1.399999976158142
2019,213,서울예술대학교,전문대학,사립,경기,B그룹,1092.0,242,34,1092.0,3074,0.4000000059604645
2019,214,서울외국어대학원대학교,대학원대학,사립,서울,-,73.0,75,0,73.0,158,0.5
2019,215,서울장신대학교,대학,사립,경기,C그룹,1805.0,340,37,1805.0,818,2.200000047683716
2019,216,서울한영대학교,대학,사립,서울,C그룹,1385.0,243,21,1385.0,943,1.5
2019,217,서원대학교,대학,사립,충북,B그룹,8322.2001953125,1662,102,8322.2001953125,7245,1.100000023841858
2019,218,서일대학교,전문대학,사립,서울,A그룹,2519.0,613,37,2519.0,6070,0.4000000059604645
2019,219,서정대학교,전문대학,사립,경기,A그룹,1157.0,306,12,1157.0,4918,0.20000000298023224
2019,220,서해대학,전문대학,사립,전북,C그룹,916.0,282,2,916.0,915,1.0
2019,221,선교청대학교,대학,사립,충남,C그룹,0.0,0,0,0.0,0,0.0
2019,222,선린대학교,전문대학,사립,경북,C그룹,1140.0,385,12,1140.0,2471,0.5
2019,223,선문대학교,대학,사립,충남,B그룹,12967.0,2105,159,12967.0,9804,1.2999999523162842
2019,224,선학유피대학원대학교,대학원대학,사립,경기,-,1657.0,69,13,1657.0,54,30.700000762939453
2019,225,성결대학교,대학,사립,경기,B그룹,8563.2001953125,1190,88,8563.2001953125,5806,1.5
2019,226,성공회대학교,대학,사립,서울,C그룹,4071.5,593,40,4071.5,2436,1.7000000476837158
2019,227,성균관대학교,대학,사립,서울,A그룹,41244.69921875,6599,791,41244.69921875,26602,1.600000023841858
2019,228,성산효대학원대학교,대학원대학,사립,인천,-,213.0,20,4,213.0,243,0.8999999761581421
2019,229,성서침례대학원대학교,대학원대학,사립,경기,-,528.0,119,2,528.0,52,10.199999809265137
2019,230,성신여자대학교,대학,사립,서울,A그룹,11734.0,2305,125,11734.0,9940,1.2000000476837158
2019,231,성운대학교,전문대학,사립,경북,C그룹,604.0,160,14,604.0,1497,0.4000000059604645
2019,232,성화대학,전문대학,사립,전남,B그룹,0.0,0,0,0.0,0,0.0
2019,233,세경대학교,전문대학,사립,강원,C그룹,449.0,152,4,449.0,1058,0.4000000059604645
2019,234,세계사이버대학,기타,기타,경기,-,0.0,0,0,0.0,0,0.0
2019,235,세명대학교,대학,사립,충북,B그룹,11963.0,1772,134,11963.0,7921,1.5
2019,236,세종대학교,대학,사립,서울,A그룹,17313.400390625,3609,338,17313.400390625,14224,1.2000000476837158
2019,237,세한대학교,대학,사립,충남,C그룹,8564.599609375,1285,46,8564.599609375,4316,2.0
