연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2020,153,동의과학대학교,전문대학,사립,부산,B그룹,5748,5748,0,149,331,100,41,6369,5307,5307,0,147,313,102,50,5919,0,51462,1739,0,66,76,7,1888,11003,0,670,942,4082,16697,0,0,2,1,0,3,0,9,0,32,1993,11003,5748,1.899999976158142,51462,5748,9
2020,154,동의대학교,대학,사립,부산,A그룹,16122,15180,942,552,456,254,1037,18421,15711,14825,886,572,457,251,1379,18370,0,972792,5969,175,306,161,262,6873,53899,1788,6083,2386,6495,70651,0,0,9424,8928,1581,49,204,182,116,63,1892,55687,16122,3.5,972792,16122,60.29999923706055
2020,155,두원공과대학교,전문대학,사립,경기,B그룹,5058,5058,0,156,197,88,141,5640,4222,4222,0,147,171,81,227,4848,0,21514,1015,0,46,19,74,1154,9461,0,518,246,418,10643,0,0,277,134,25,0,0,0,0,33,1428,9461,5058,1.899999976158142,21514,5058,4.300000190734863
2020,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,3675,3675,0,20,177,63,25,3960,3553,3553,0,22,181,62,30,3848,0,0,167,0,8,13,9,197,783,0,46,166,38,1033,0,0,0,0,0,0,0,0,0,0,0,783,3675,0.20000000298023224,0,3675,0
2020,157,루터대학교,대학,사립,경기,C그룹,397,358,39,15,24,14,38,488,411,369,42,19,33,17,0,480,0,19500,143,29,12,7,4,195,865,220,180,29,46,1340,0,0,160,75,13,25,2,14,4,8,167,1085,397,2.700000047683716,19500,397,49.099998474121094
2020,158,마산대학교,전문대학,사립,경남,A그룹,5595,5595,0,160,307,80,0,6142,5571,5571,0,160,327,80,0,6138,0,90000,1511,0,43,20,0,1574,9912,0,410,253,4967,15542,0,0,500,100,6,0,0,4,0,68,1128,9912,5595,1.7999999523162842,90000,5595,16.100000381469727
2020,159,명신대학교,대학,사립,전남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,160,명지대학교,대학,사립,서울,A그룹,16070,13701,2369,541,941,356,7642,25550,15634,13306,2328,539,1070,368,6644,24255,0,1588223,7333,1278,485,275,837,10208,73072,15886,10928,4647,7711,112244,0,0,22219,12569,1835,192,338,453,163,110,2596,88958,16070,5.5,1588223,16070,98.80000305175781
2020,161,명지전문대학,전문대학,사립,서울,A그룹,7056,7056,0,177,384,97,346,8060,7068,7068,0,178,421,105,0,7772,0,141587,1690,0,92,95,9,1886,9275,0,1262,999,13471,25007,0,0,8,20,24,11,41,8,0,10,1392,9275,7056,1.2999999523162842,141587,7056,20.100000381469727
2020,162,목원대학교,대학,사립,대전,B그룹,8429,7684,745,282,529,139,235,9614,8276,7592,684,300,597,123,227,9523,0,196488,3805,310,252,87,208,4662,23888,5164,3163,1301,14347,47863,0,0,1248,2869,48,277,109,481,36,62,1664,29052,8429,3.4000000953674316,196488,8429,23.299999237060547
2020,163,목포가톨릭대학교,대학,사립,전남,C그룹,500,500,0,21,28,20,12,581,509,509,0,17,30,20,16,592,0,42996,230,0,9,6,5,250,2485,0,119,33,12,2649,0,0,52,58,112,0,0,45,0,4,379,2485,500,5,42996,500,86
2020,164,목포과학대학교,전문대학,사립,전남,B그룹,2287,2287,0,71,123,40,0,2521,2334,2334,0,71,85,38,0,2528,0,3642,36,0,5,17,0,58,244,0,64,558,0,866,0,0,2,3,6,0,0,0,0,2,10,244,2287,0.10000000149011612,3642,2287,1.600000023841858
2020,165,문경대학교,전문대학,사립,경북,C그룹,876,876,0,30,65,44,0,1015,890,890,0,30,66,42,0,1028,0,30000,204,0,25,12,0,241,1590,0,353,180,0,2123,0,0,0,0,0,0,0,5,0,0,0,1590,876,1.7999999523162842,30000,876,34.20000076293945
2020,166,배재대학교,대학,사립,대전,B그룹,9075,8624,451,306,425,173,565,10544,8915,8398,517,306,362,205,728,10516,0,275765,4481,174,207,143,362,5367,41105,2131,5194,3890,5712,58032,0,0,7703,2533,57,317,266,524,53,78,3076,43236,9075,4.800000190734863,275765,9075,30.399999618530273
2020,167,배화여자대학교,전문대학,사립,서울,B그룹,2863,2863,0,82,138,48,184,3315,2874,2874,0,78,148,49,214,3363,0,105701,865,0,39,23,33,960,6718,0,598,616,332,8264,0,0,150,0,10,0,0,0,0,14,1096,6718,2863,2.299999952316284,105701,2863,36.900001525878906
2020,168,백석대학교,대학,사립,충남,A그룹,14140,11879,2261,493,376,230,936,16175,14059,11828,2231,491,423,242,551,15766,0,272504,3364,1403,293,96,195,5351,40587,23582,5837,2870,1596,74472,0,0,8453,6842,4143,37,3,336,55,114,1835,64169,14140,4.5,272504,14140,19.299999237060547
2020,169,백석문화대학교,전문대학,사립,충남,A그룹,5679,5679,0,186,263,81,30,6239,5754,5754,0,185,332,75,25,6371,0,71303,894,0,102,62,8,1066,8861,0,1700,1051,3,11615,0,0,3622,2760,1690,0,0,20,0,65,1656,8861,5679,1.600000023841858,71303,5679,12.600000381469727
2020,170,백석예술대학,전문대학,사립,서울,A그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,171,백제예술대학교,전문대학,사립,전북,C그룹,1264,1264,0,37,86,35,2,1424,1214,1214,0,35,81,36,3,1369,0,18610,111,0,2,7,3,123,840,0,2,77,35,954,0,0,0,0,0,0,0,0,0,2,183,840,1264,0.699999988079071,18610,1264,14.699999809265137
2020,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,52,0,52,3,15,8,0,78,56,0,56,3,13,9,0,81,0,5000,0,49,9,7,0,65,0,1001,264,52,0,1317,0,0,1500,30,0,0,0,0,0,0,0,1001,52,19.299999237060547,5000,52,96.19999694824219
2020,173,벽성대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,174,부산가톨릭대학교,대학,사립,부산,C그룹,4092,3955,137,145,127,130,50,4544,4085,3948,137,149,129,136,28,4527,0,294059,2031,62,81,82,28,2284,13871,1058,2275,1543,1390,20137,0,0,390,182,363,34,7,287,22,34,1257,14929,4092,3.5999999046325684,294059,4092,71.9000015258789
2020,175,부산경상대학교,전문대학,사립,부산,B그룹,2818,2818,0,73,220,75,603,3789,2625,2625,0,84,220,86,0,3015,0,23170,310,0,25,17,0,352,3813,0,235,235,26,4309,0,0,0,0,0,0,0,0,0,16,373,3813,2818,1.399999976158142,23170,2818,8.199999809265137
2020,176,부산과학기술대학교,전문대학,사립,부산,B그룹,4173,4173,0,112,194,99,384,4962,3563,3563,0,115,207,109,590,4584,0,73933,580,0,11,12,19,622,2011,0,87,76,101,2275,0,0,4,8,0,0,0,0,0,4,150,2011,4173,0.5,73933,4173,17.700000762939453
