연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_대면 이용자 교육_교육횟수,이용자 교육_대면 이용자 교육_교육 참가자수,이용자 교육_비대면 이용자 교육_교육횟수,이용자 교육_비대면 이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2024,379,한국방송통신대학교,대학,국립,서울,A그룹,94635,92075,2560,161,100,633,8666,104195,94542,91868,2674,164,114,622,66441,161883,0,9375,1949,156,145,330,63,2643,119522,2549,2708,5982,2339,133100,0,0,0,0,0,136,30,86,4,94,6863,0,0,122071,94635,1.2999999523162842,9375,94635,0.10000000149011612
2024,380,한국복지사이버대학교,전문대학,사립,경북,B그룹,2426,2426,0,14,108,23,0,2571,2531,2531,0,14,108,26,0,2679,0,995,87,0,3,6,7,103,194,0,11,22,11,238,0,0,0,0,0,0,0,0,0,0,0,0,0,194,2426,0.10000000149011612,995,2426,0.4000000059604645
2024,381,한국상담대학원대학교,대학원대학,사립,서울,-,158,0,158,12,7,11,0,188,173,0,173,13,5,13,0,204,0,1137,0,121,7,9,0,137,0,1243,120,31,0,1394,0,0,0,0,0,10,0,34,0,0,0,0,0,1243,158,7.900000095367432,1137,158,7.199999809265137
2024,382,한국성서대학교,대학,사립,서울,C그룹,1178,1014,164,44,81,53,84,1440,1143,974,169,44,70,60,84,1401,0,47110,428,78,28,26,17,577,2093,755,202,304,695,4049,0,0,0,0,0,39,32,29,4,6,163,5,137,2848,1178,2.4000000953674316,47110,1178,40
2024,383,한국승강기대학교,전문대학,사립,경남,C그룹,587,587,0,18,44,39,0,688,545,545,0,16,38,39,0,638,0,130,16,0,3,4,0,23,66,0,51,13,0,130,0,0,0,0,0,0,0,0,0,1,25,0,0,66,587,0.10000000149011612,130,587,0.20000000298023224
2024,384,한국에너지공과대학교,대학,국립,전남,C그룹,283,196,87,49,42,82,0,456,377,252,125,46,44,94,0,561,0,185,128,17,28,31,0,204,1233,136,313,437,0,2119,0,0,0,0,0,7,0,7,0,0,0,0,0,1369,283,4.800000190734863,185,283,0.699999988079071
2024,385,한국열린사이버대학교,대학,사립,서울,B그룹,5753,5753,0,25,239,78,0,6095,5955,5955,0,24,252,91,0,6322,0,6095,276,0,8,20,29,333,380,0,476,87,197,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,380,5753,0.10000000149011612,6095,5753,1.100000023841858
2024,386,한국영상대학교,전문대학,사립,세종,B그룹,2951,2951,0,89,210,82,207,3539,2956,2956,0,81,185,78,207,3507,0,32091,1018,0,65,57,11,1151,9321,0,751,540,119,10731,0,0,0,0,0,0,0,0,0,23,1414,0,0,9321,2951,3.200000047683716,32091,2951,10.899999618530273
2024,387,한국예술종합학교,대학,국립,서울,C그룹,2699,2699,0,134,1031,417,2685,6966,2749,2749,0,136,1043,422,2622,6972,0,73326,1516,605,315,282,91,2809,20025,10342,4471,5914,19769,60521,0,0,0,0,0,57,41,113,32,1,7,0,0,30367,2699,11.300000190734863,73326,2699,27.200000762939453
2024,388,한국외국어대학교,대학,사립,서울,A그룹,19228,16740,2488,633,1500,349,21970,43680,19305,16805,2500,620,1501,356,24016,45798,0,2517746,6943,820,1063,286,5016,14128,49974,10104,19375,3980,92811,176244,0,0,0,0,0,63,88,561,696,141,603,0,0,60078,19228,3.0999999046325684,2517746,19228,130.89999389648438
