연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_비대면 실시간 교육_참여시간,직원교육현황_비대면 실시간 교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2021,24,경기대학교,대학,사립,경기,A그룹,3,8,0,0,11,0,0,0,0,0,0,5,0,5,10,0,0,0,0,0,3,13,0,5,21,0,0,0,0,0,3,13,0,5,21,0,0,228,55,622.4000244140625,117,11,0,5,5,16112,1.100000023841858,11,5,16112,1,850.4000244140625,10,12,38.70000076293945
2021,25,경남대학교,대학,사립,경남,A그룹,3,7,0,0,10,0,0,0,0,0,0,2,1,5,8,0,0,0,0,0,3,9,1,5,18,0,0,0,0,0,3,9,1,5,18,174,66,401.5,89,755,160,10,0,3,5,11943,1.2000000476837158,10,3,11943,1.100000023841858,1330.5,9,9,73.9000015258789
2021,26,경남도립거창대학,전문대학,공립,경남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,34,3,9.5,2,102,18,1,0,0,1,804,1.899999976158142,1,0,804,1.2000000476837158,145.5,1,1,72.80000305175781
2021,27,경남도립남해대학,전문대학,공립,경남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1.7000000476837158,1.7000000476837158,0,0,0,0,0,0,1,0,1.7000000476837158,2.700000047683716,0,0,0,0,0,0,1,0,1.7000000476837158,2.700000047683716,5,2,0,0,82,16,1,0,0,1.7000000476837158,728,2.5,1,0,728,1.399999976158142,87,1,0.699999988079071,51.20000076293945
2021,28,경남정보대학교,전문대학,사립,부산,A그룹,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,2,3,0,0,86.5,10,235,49,1,2,0,0,6030,0.4000000059604645,1,0,6030,0.20000000298023224,321.5,4,0,80.4000015258789
2021,29,경동대학교,대학,사립,강원,B그룹,0,4,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,9,0,0,0,0,0,0,4,3,2,9,182,34,316,45,869,159,7,2,0,0,7549,1.100000023841858,7,0,7549,0.8999999761581421,1367,9,0,151.89999389648438
2021,30,경민대학교,전문대학,사립,경기,B그룹,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,2,0,0,2,4,8,4,184,25,18,5,2,0,0,2,3845,0.800000011920929,2,0,3845,0.5,210,2,2,52.5
2021,31,경복대학교,전문대학,사립,경기,A그룹,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,96,24,255,54,3,0,0,0,6208,0.5,3,0,6208,0.5,351,3,0,117
2021,32,경북과학대학교,전문대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,8,1,0,0,0,1845,0.5,1,0,1845,0.5,30,1,0,30
2021,33,경북대학교,대학,국립,대구,A그룹,15,19,1,2,37,0,0,0,0,0,2,6,3,0,11,0,0,0,0,0,17,25,4,2,48,0,0,0,0,0,17,25,4,2,48,229.5,39,428,26,1232.5,272,35,2,11,0,27380,1.7000000476837158,35,11,27380,1.7000000476837158,1890,39,13,36.29999923706055
