연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-업무용컴퓨터(PC)수,이용자용컴퓨터(PC)수,총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2018,80,국립한국교통대학교,대학,국립,충북,B그룹,15409.0,1919,25,180,205,15409.0,9003,1.7000000476837158
2018,81,국립한국해양대학교,대학,국립,부산,B그룹,7566.0,1345,22,96,118,7566.0,7615,1.0
2018,82,국립한밭대학교,대학,국립,대전,B그룹,10366.0,1646,27,42,69,10366.0,8927,1.2000000476837158
2018,83,국민대학교,대학,사립,서울,A그룹,13342.0,2525,60,124,184,13342.0,17933,0.699999988079071
2018,84,국방대학교,기타,기타,충남,-,9060.0,190,25,53,78,9060.0,0,0.0
2018,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,194.0,9,1,5,6,194.0,265,0.699999988079071
2018,86,국제대학교,전문대학,사립,경기,B그룹,703.0,212,7,28,35,703.0,4069,0.20000000298023224
2018,87,국제문화대학원대학교,대학원대학,사립,충남,-,0.0,0,0,0,0,0.0,0,0.0
2018,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,583.0,120,0,0,0,583.0,110,5.300000190734863
2018,89,국제사이버대학교,대학,사립,경기,C그룹,0.0,0,2,4,6,0.0,2817,0.0
2018,90,국제언어대학원대학교,대학원대학,사립,서울,-,396.0,42,2,7,9,396.0,105,3.799999952316284
2018,91,국제예술대학교,기타,기타,서울,-,45.0,15,1,6,7,45.0,0,0.0
2018,92,군산간호대학교,전문대학,사립,전북,C그룹,1027.0,346,3,38,41,1027.0,1138,0.8999999761581421
2018,93,군장대학교,전문대학,사립,전북,C그룹,712.0,328,3,20,23,712.0,1826,0.4000000059604645
2018,94,극동대학교,대학,사립,충북,C그룹,2295.0,851,8,71,79,2295.0,3942,0.6000000238418579
2018,95,글로벌사이버대학교,대학,사립,충남,C그룹,0.0,0,0,0,0,0.0,2123,0.0
2018,96,금강대학교,대학,사립,충남,C그룹,10475.0,577,9,46,55,10475.0,552,19.0
2018,97,기독간호대학교,전문대학,사립,광주,C그룹,369.0,137,2,3,5,369.0,634,0.6000000238418579
2018,98,김천대학교,대학,사립,경북,C그룹,3509.0,1063,6,45,51,3509.0,3439,1.0
2018,99,김포대학교,전문대학,사립,경기,C그룹,2210.0,566,6,18,24,2210.0,3419,0.6000000238418579
2018,100,김해대학교,전문대학,사립,경남,C그룹,953.0,250,3,2,5,953.0,1358,0.699999988079071
2018,101,나사렛대학교,대학,사립,충남,B그룹,4108.0,515,16,49,65,4108.0,5838,0.699999988079071
2018,102,나주대학교,전문대학,사립,전남,C그룹,367.0,150,3,60,63,367.0,2211,0.20000000298023224
2018,103,남부대학교,대학,사립,광주,C그룹,2858.0,1096,7,21,28,2858.0,3464,0.800000011920929
2018,104,남서울대학교,대학,사립,충남,B그룹,15937.0,1796,19,85,104,15937.0,10216,1.600000023841858
2018,105,농협대학교,전문대학,사립,경기,C그룹,906.0,93,1,15,16,906.0,461,2.0
2018,106,능인대학원대학교,대학원대학,사립,경기,-,399.0,54,2,5,7,399.0,66,6.0
2018,107,단국대학교,대학,사립,경기,A그룹,33311.0,5435,49,275,324,33311.0,26716,1.2000000476837158
2018,108,대경대학교,전문대학,사립,경북,B그룹,1176.0,365,1,18,19,1176.0,4332,0.30000001192092896
2018,109,대구가톨릭대학교,대학,사립,경북,A그룹,19514.0,2847,37,185,222,19514.0,14889,1.2999999523162842
2018,110,대구경북과학기술원,대학,국립,대구,C그룹,11833.0,719,7,75,82,11833.0,1176,10.100000381469727
2018,111,대구공업대학교,전문대학,사립,대구,C그룹,1864.0,250,4,22,26,1864.0,1799,1.0
2018,112,대구과학대학교,전문대학,사립,대구,A그룹,6697.0,1218,5,58,63,6697.0,4257,1.600000023841858
2018,113,대구교육대학교,대학,국립,대구,C그룹,8369.0,989,19,74,93,8369.0,2674,3.0999999046325684
2018,114,대구대학교,대학,사립,경북,A그룹,21502.0,2922,62,246,308,21502.0,19568,1.100000023841858
2018,115,대구미래대학교,전문대학,사립,경북,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,116,대구보건대학교,전문대학,사립,대구,A그룹,3918.0,925,9,31,40,3918.0,6772,0.6000000238418579
2018,117,대구사이버대학교,대학,사립,경북,C그룹,0.0,0,3,0,3,0.0,4391,0.0
2018,118,대구예술대학교,대학,사립,경북,C그룹,527.0,97,3,36,39,527.0,1344,0.4000000059604645
2018,119,대구외국어대학교,대학,사립,경북,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,120,대구한의대학교,대학,사립,경북,B그룹,8806.0,1032,19,77,96,8806.0,7105,1.2000000476837158
2018,121,대덕대학교,전문대학,사립,대전,C그룹,1398.0,349,15,41,56,1398.0,4084,0.30000001192092896
2018,122,대동대학교,전문대학,사립,부산,C그룹,1010.0,273,2,38,40,1010.0,1489,0.699999988079071
2018,123,대림대학교,전문대학,사립,경기,A그룹,4105.0,924,22,234,256,4105.0,6289,0.699999988079071
2018,124,대신대학교,대학,사립,경북,C그룹,2183.0,284,6,10,16,2183.0,543,4.0
2018,125,대원대학교,전문대학,사립,충북,C그룹,1331.0,465,4,27,31,1331.0,2608,0.5
2018,126,대전가톨릭대학교,대학,사립,세종,C그룹,1900.0,168,7,18,25,1900.0,102,18.600000381469727
2018,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12477.0,1591,21,75,96,12477.0,4513,2.799999952316284
2018,128,대전대학교,대학,사립,대전,B그룹,15210.0,1769,24,146,170,15210.0,10261,1.5
2018,129,대전보건대학교,전문대학,사립,대전,A그룹,2988.0,792,13,46,59,2988.0,5789,0.5
2018,130,대전신학대학교,대학,사립,대전,C그룹,1991.0,213,3,12,15,1991.0,237,8.399999618530273
2018,131,대진대학교,대학,사립,경기,B그룹,13994.0,2348,20,57,77,13994.0,7973,1.7999999523162842
2018,132,대한신학대학원대학교,대학원대학,사립,경기,-,204.0,42,3,2,5,204.0,290,0.699999988079071
2018,133,덕성여자대학교,대학,사립,서울,B그룹,11122.0,1915,36,116,152,11122.0,6121,1.7999999523162842
2018,134,동강대학교,전문대학,사립,광주,B그룹,4242.0,1259,8,28,36,4242.0,3341,1.2999999523162842
2018,135,동국대학교,대학,사립,서울,A그룹,23849.0,3023,52,108,160,23849.0,17255,1.399999976158142
2018,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,12744.0,1629,31,127,158,12744.0,8392,1.5
2018,137,동남보건대학교,전문대학,사립,경기,A그룹,5665.0,1044,10,58,68,5665.0,4826,1.2000000476837158
2018,138,동덕여자대학교,대학,사립,서울,B그룹,8054.0,1540,27,199,226,8054.0,7110,1.100000023841858
2018,139,동명대학교,대학,사립,부산,B그룹,10884.0,1470,23,58,81,10884.0,8419,1.2999999523162842
2018,140,동방문화대학원대학교,대학원대학,사립,서울,-,269.0,45,1,9,10,269.0,238,1.100000023841858
2018,141,동부산대학교,전문대학,사립,부산,C그룹,2296.0,460,6,20,26,2296.0,1854,1.2000000476837158
2018,142,동서대학교,대학,사립,부산,B그룹,14345.0,3203,23,138,161,14345.0,11119,1.2999999523162842
2018,143,동서울대학교,전문대학,사립,경기,A그룹,4501.0,847,11,50,61,4501.0,5540,0.800000011920929
2018,144,동신대학교,대학,사립,전남,B그룹,12927.0,1134,13,54,67,12927.0,7438,1.7000000476837158
2018,145,동아대학교,대학,사립,부산,A그룹,13559.0,2991,58,243,301,13559.0,21325,0.6000000238418579
2018,146,동아방송예술대학교,전문대학,사립,경기,B그룹,1241.0,259,7,43,50,1241.0,2982,0.4000000059604645
2018,147,동아보건대학교,전문대학,사립,전남,C그룹,2013.0,266,3,15,18,2013.0,1955,1.0
2018,148,동양대학교,대학,사립,경북,C그룹,5625.0,877,8,34,42,5625.0,4592,1.2000000476837158
2018,149,동양미래대학교,전문대학,사립,서울,A그룹,5827.0,1000,30,133,163,5827.0,5770,1.0
2018,150,동우대학,전문대학,사립,강원,B그룹,0.0,0,0,0,0,0.0,0,0.0
2018,151,동원과학기술대학교,전문대학,사립,경남,B그룹,6133.0,483,5,65,70,6133.0,2101,2.9000000953674316
2018,152,동원대학교,전문대학,사립,경기,B그룹,2956.0,583,7,55,62,2956.0,3557,0.800000011920929
2018,153,동의과학대학교,전문대학,사립,부산,B그룹,1999.0,509,6,43,49,1999.0,5247,0.4000000059604645
2018,154,동의대학교,대학,사립,부산,A그룹,13566.0,2713,34,98,132,13566.0,16813,0.800000011920929
2018,155,두원공과대학교,전문대학,사립,경기,B그룹,3653.0,609,11,73,84,3653.0,5844,0.6000000238418579
2018,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,0.0,0,0,0,0,0.0,3776,0.0
2018,157,루터대학교,대학,사립,경기,C그룹,552.0,110,5,7,12,552.0,416,1.2999999523162842
2018,158,마산대학교,전문대학,사립,경남,A그룹,4360.0,957,9,77,86,4360.0,5679,0.800000011920929
2018,159,명신대학교,대학,사립,전남,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,160,명지대학교,대학,사립,서울,A그룹,36199.0,3822,50,354,404,36199.0,15879,2.299999952316284
2018,161,명지전문대학,전문대학,사립,서울,A그룹,5568.0,1037,11,70,81,5568.0,7115,0.800000011920929
