연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(전년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2019,25,경남대학교,대학,사립,경남,A그룹,2,5,0,0,7,0,0,0,0,0,0,2,0,10,12,0,0,0,0,0,2,7,0,10,19,0,0,0,0,0,2,7,0,10,19,1208,291,7,0,2,10,13081,1,7,2,13081,0.699999988079071,1208,7,12,63.599998474121094
2019,26,경남도립거창대학,전문대학,공립,경남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,64,4,1,0,0,1,881,1.7000000476837158,1,0,881,1.100000023841858,64,1,1,32
2019,27,경남도립남해대학,전문대학,공립,경남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0.699999988079071,0.699999988079071,0,0,0,0,0,0,1,0,0.699999988079071,1.7000000476837158,0,0,0,0,0,0,1,0,0.699999988079071,1.7000000476837158,165,23,1,0,0,0.699999988079071,773,1.7000000476837158,1,0,773,1.2999999523162842,165,1,0.699999988079071,97.0999984741211
2019,28,경남정보대학교,전문대학,사립,부산,A그룹,0,1,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,1,1,1,0,2,4,220,7,2,2,0,0,6720,0.5,2,0,6720,0.30000001192092896,220,4,0,55
2019,29,경동대학교,대학,사립,강원,B그룹,0,5,3,1,9,0,0,0,0,0,0,0,0,0.6000000238418579,0.6000000238418579,0,0,0,0,0,0,5,3,1.600000023841858,9.600000381469727,0,0,0,0,0,0,5,3,1.600000023841858,9.600000381469727,474,22,8,1,0,0.6000000238418579,8095,1.100000023841858,8,0,8095,1,474,9,0.6000000238418579,49.400001525878906
2019,30,경민대학교,전문대학,사립,경기,B그룹,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,1,1,0,2,4,194,23,2,0,0,2,4290,0.699999988079071,2,0,4290,0.5,194,2,2,48.5
2019,31,경복대학교,전문대학,사립,경기,A그룹,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,2,73,5,2,0,0,0,6651,0.30000001192092896,2,0,6651,0.30000001192092896,73,2,0,36.5
2019,32,경북과학대학교,전문대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,27,4,1,0,0,0,1486,0.699999988079071,1,0,1486,0.699999988079071,27,1,0,27
2019,33,경북대학교,대학,국립,대구,A그룹,10,26,1,3,40,0,0,0,0,0,2,5,5,1,13,0,0,0,0,0,12,31,6,4,53,0,0,0,0,0,12,31,6,4,53,5512,488,37,3,12,1,28669,1.7000000476837158,37,12,28669,1.7000000476837158,5512,40,13,104
2019,34,경북보건대학교,전문대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,69.5,3,1,0,0,0,1217,0.800000011920929,1,0,1217,0.800000011920929,69.5,1,0,69.5
2019,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,36,경북전문대학교,전문대학,사립,경북,B그룹,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,81,3,2,1,0,0,2818,1,2,0,2818,0.699999988079071,81,3,0,27
2019,37,경상국립대학교,대학,국립,경남,A그룹,10,19,0,1,30,0,1,0,0,1,1,2,0,0,3,0,0,0,0,0,11,21,0,1,33,0,1,0,0,1,11,22,0,1,34,3095.60009765625,787,30,1,3,0,21799,1.5,30,3,21799,1.5,3095.60009765625,31,3,91
2019,38,경성대학교,대학,사립,부산,A그룹,2,7,0,1,10,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,2,14,0,1,17,0,0,0,0,0,2,14,0,1,17,1113.5,334,9,1,7,0,13099,1.2000000476837158,9,7,13099,1.2000000476837158,1113.5,10,7,65.5
2019,39,경안대학원대학교,대학원대학,사립,경북,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,26,0,0,1,0,0,66,12.100000381469727,0,0,66,0,26,1,0,26
2019,40,경운대학교,대학,사립,경북,C그룹,0,2,0,1,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,4,6,0,0,0,0,0,0,2,0,4,6,264,52,2,1,0,3,4632,0.8999999761581421,2,0,4632,0.4000000059604645,264,3,3,44
2019,41,경인교육대학교,대학,국립,인천,C그룹,1,4,1,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,7,0,1,0,0,1,1,5,1,1,8,797.5,181,7,1,0,0,4164,1.899999976158142,7,0,4164,1.7000000476837158,797.5,8,0,99.69999694824219
2019,42,경인여자대학교,전문대학,사립,인천,B그룹,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,122,24,0,0,2,0,4674,0.30000001192092896,0,2,4674,0.4000000059604645,122,0,2,61
2019,43,경일대학교,대학,사립,경북,B그룹,0,2,0,1,3,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,6,0,2,8,0,0,0,0,0,0,6,0,2,8,286.5,62,2,1,4,1,7037,0.8999999761581421,2,4,7037,0.8999999761581421,286.5,3,5,35.79999923706055
2019,44,경찰대학,기타,기타,충남,-,1,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,6,0,0,0,0,0,1,3,0,2,6,637,23,4,2,0,0,0,0,4,0,0,0,637,6,0,106.19999694824219
2019,45,경희대학교,대학,사립,서울,A그룹,10,8,1,1,20,0,0,0,0,0,0,24,2,0,26,0,0,0,0,0,10,32,3,1,46,0,0,0,0,0,10,32,3,1,46,1251,248,19,1,26,0,33487,1.2000000476837158,19,26,33487,1.2999999523162842,1251,20,26,27.200000762939453
2019,46,계명대학교,대학,사립,대구,A그룹,9,10,2,1,22,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,9,11,2,4,26,0,0,0,0,0,9,11,2,4,26,1838,538,21,1,1,3,23336,1,21,1,23336,0.8999999761581421,1838,22,4,70.69999694824219
2019,47,계명문화대학교,전문대학,사립,대구,A그룹,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,1,1,3,90,9,2,0,0,1,5220,0.5,2,0,5220,0.4000000059604645,90,2,1,30
2019,48,계약신학대학원대학교,대학원대학,사립,경기,-,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,29,1,1,0,0,0,51,19.600000381469727,1,0,51,19.600000381469727,29,1,0,29
2019,49,계원예술대학교,전문대학,사립,경기,B그룹,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,1,1,3,145,3,1,1,1,0,2879,0.8999999761581421,1,1,2879,0.699999988079071,145,2,1,48.29999923706055
2019,50,고려대학교,대학,사립,서울,A그룹,14,10,1,2,27,0,0,0,0,0,0,12,2,3,17,0,0,0,0,0,14,22,3,5,44,0,0,0,0,0,14,22,3,5,44,1994,483,25,2,14,3,29771,1.2999999523162842,25,14,29771,1.2999999523162842,1994,27,17,45.29999923706055
2019,51,고려대학교(세종),대학,사립,세종,B그룹,0,2,0,0,2,0,1,0,0,1,0,5,0,1,6,0,0,0,0,0,0,7,0,1,8,0,1,0,0,1,0,8,0,1,9,288,18,3,0,5,1,7240,1,3,5,7240,1.100000023841858,288,3,6,32
2019,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,4,1,0,2,0,0,9064,0.20000000298023224,0,0,9064,0,4,2,0,2
2019,53,고신대학교,대학,사립,부산,C그룹,0,2,2,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,1,6,0,0,0,0,0,0,3,2,1,6,270,41,4,1,1,0,4821,1.2000000476837158,4,1,4821,1,270,5,1,45
2019,54,공군사관학교,기타,기타,충북,-,2,6,0,1,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,6,0,3,11,0,0,0,0,0,2,6,0,3,11,299,8,8,1,0,2,0,0,8,0,0,0,299,9,2,27.200000762939453
2019,55,공주교육대학교,대학,국립,충남,C그룹,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,1,3,0,0,4,413,71,4,0,0,0,2006,2,4,0,2006,2,413,4,0,103.30000305175781
2019,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,15,1,0,1,0,0,1331,0.6000000238418579,0,0,1331,0,15,1,0,15
