연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_사서자격증 소지자,직원_정규직_사서자격증 미소지자,직원_비정규직_사서자격증 소지자,직원_비정규직_사서자격증 미소지자,직원_합계_사서자격증 소지자,직원_합계_사서자격증 미소지자,직원_합계_계,사서자격증 보유현황_정규직_1급 정사서,사서자격증 보유현황_정규직_2급 정사서,사서자격증 보유현황_정규직_준사서,사서자격증 보유현황_정규직_합계,사서자격증 보유현황_비정규직_1급 정사서,사서자격증 보유현황_비정규직_2급 정사서,사서자격증 보유현황_비정규직_준사서,사서자격증 보유현황_비정규직_합계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2014,34,경북보건대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,59,1,1,0,0,0,1307,0.800000011920929,1,0,1307,0.800000011920929,59,1,0,59
2014,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,36,경북전문대학교,전문대학,사립,경북,B그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,112,2,1,1,0,0,2666,0.699999988079071,1,0,2666,0.4000000059604645,112,2,0,56
2014,37,경상국립대학교,대학,국립,경남,A그룹,26,6,4,0,30,6,36,10,16,0,26,1,2,1,4,3306,550,26,6,4,0,23945,1.399999976158142,26,4,23945,1.2999999523162842,3306,32,4,91.80000305175781
2014,38,경성대학교,대학,사립,부산,A그룹,9,5,1,1,10,6,16,3,6,0,9,0,1,0,1,723,160,9,5,1,1,14514,1,9,1,14514,0.699999988079071,723,14,2,45.20000076293945
2014,39,경안대학원대학교,대학원대학,사립,경북,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,58,0,0,0,0,0
2014,40,경운대학교,대학,사립,경북,C그룹,3,3,0,0,3,3,6,0,3,0,3,0,0,0,0,53,9,3,3,0,0,5387,1,3,0,5387,0.6000000238418579,53,6,0,8.800000190734863
2014,41,경인교육대학교,대학,국립,인천,C그룹,8,0,2,0,10,0,10,0,7,1,8,0,2,0,2,884,9,8,0,2,0,4440,2.200000047683716,8,2,4440,2.299999952316284,884,8,2,88.4000015258789
2014,42,경인여자대학교,전문대학,사립,인천,B그룹,0,1,1,0,1,1,2,0,0,0,0,0,1,0,1,76,4,0,1,1,0,4835,0.30000001192092896,0,1,4835,0.20000000298023224,76,1,1,38
2014,43,경일대학교,대학,사립,경북,B그룹,5,0,3,0,8,0,8,0,5,0,5,0,3,0,3,45,37,5,0,3,0,7620,1,5,3,7620,1,45,5,3,5.599999904632568
2014,44,경찰대학,기타,기타,충남,-,4,1,0,0,4,1,5,2,2,0,4,0,0,0,0,450,8,4,1,0,0,474,10.100000381469727,4,0,474,8.399999618530273,450,5,0,90
2014,45,경희대학교,대학,사립,서울,A그룹,28,3,21,7,49,10,59,10,17,1,28,0,18,3,21,1777,262,28,3,21,7,32137,1.600000023841858,28,21,32137,1.5,1777,31,28,30.100000381469727
2014,46,계명대학교,대학,사립,대구,A그룹,23,2,3,9,26,11,37,10,11,2,23,1,2,0,3,1603,301,23,2,3,9,25911,1.2000000476837158,23,3,25911,1,1603,25,12,43.29999923706055
2014,47,계명문화대학교,전문대학,사립,대구,A그룹,2,0,1,1,3,1,4,0,0,2,2,0,1,0,1,87,14,2,0,1,1,5332,0.6000000238418579,2,1,5332,0.6000000238418579,87,2,2,21.799999237060547
2014,48,계약신학대학원대학교,대학원대학,사립,경기,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,14,30,1,0,0,0,66,15.199999809265137,1,0,66,15.199999809265137,14,1,0,14
2014,49,계원예술대학교,전문대학,사립,경기,B그룹,3,0,1,0,4,0,4,0,3,0,3,0,0,1,1,101,12,3,0,1,0,2927,1.2999999523162842,3,1,2927,1.399999976158142,101,3,1,25.299999237060547
2014,50,고려대학교,대학,사립,서울,A그룹,37,1,15,1,52,2,54,16,19,2,37,0,15,0,15,957,140,37,1,15,1,29387,1.7000000476837158,37,15,29387,1.7999999523162842,957,38,16,17.700000762939453
