연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2020,25,경남대학교,대학,사립,경남,A그룹,3,6,0,0,9,0,0,0,0,0,0,2,0,7,9,0,0,0,0,0,3,8,0,7,18,0,0,0,0,0,3,8,0,7,18,1402,308,9,0,2,7,12302,1.100000023841858,9,2,12302,0.8999999761581421,1402,7,12,73.80000305175781
2020,26,경남도립거창대학,전문대학,공립,경남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,57,5,1,0,0,1,856,1.7999999523162842,1,0,856,1.2000000476837158,57,1,1,28.5
2020,27,경남도립남해대학,전문대학,공립,경남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0.699999988079071,0.699999988079071,0,0,0,0,0,0,1,0,0.699999988079071,1.7000000476837158,0,0,0,0,0,0,1,0,0.699999988079071,1.7000000476837158,123,16,1,0,0,0.699999988079071,783,1.7000000476837158,1,0,783,1.2999999523162842,123,1,0.699999988079071,72.4000015258789
2020,28,경남정보대학교,전문대학,사립,부산,A그룹,0,1,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,1,1,1,0,2,4,413,59,2,2,0,0,6665,0.5,2,0,6665,0.30000001192092896,413,4,0,103.30000305175781
2020,29,경동대학교,대학,사립,강원,B그룹,0,5,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,9,0,0,0,0,0,0,5,3,1,9,1212.5,171,8,1,0,0,7814,1.100000023841858,8,0,7814,1,1212.5,9,0.6000000238418579,126.30000305175781
2020,30,경민대학교,전문대학,사립,경기,B그룹,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,2,0,0,2,4,155,37,2,0,0,2,4432,0.699999988079071,2,0,4432,0.5,155,2,2,38.79999923706055
2020,31,경복대학교,전문대학,사립,경기,A그룹,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,300,52,3,0,0,0,6455,0.5,3,0,6455,0.5,300,2,0,150
2020,32,경북과학대학교,전문대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,15,3,1,0,0,0,1655,0.6000000238418579,1,0,1655,0.6000000238418579,15,1,0,15
2020,33,경북대학교,대학,국립,대구,A그룹,10,24,1,4,39,0,0,0,0,0,1,7,4,1,13,0,0,0,0,0,11,31,5,5,52,0,0,0,0,0,11,31,5,5,52,3021,503,35,4,12,1,27862,1.7000000476837158,35,12,27862,1.7000000476837158,3021,40,13,57
2020,34,경북보건대학교,전문대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,48.5,6,1,0,0,0,1250,0.800000011920929,1,0,1250,0.800000011920929,48.5,1,0,48.5
2020,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,36,경북전문대학교,전문대학,사립,경북,B그룹,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,148.5,19,2,1,0,0,2853,1,2,0,2853,0.699999988079071,148.5,3,0,49.5
2020,37,경상국립대학교,대학,국립,경남,A그룹,7,19,1,1,28,0,1,0,0,1,1,2,0,0,3,0,0,0,0,0,8,21,1,1,31,0,1,0,0,1,8,22,1,1,32,1964.199951171875,523,28,1,3,0,21509,1.5,28,3,21509,1.399999976158142,1964.199951171875,31,3,57.79999923706055
2020,38,경성대학교,대학,사립,부산,A그룹,2,6,0,0,8,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,2,11,0,0,13,0,0,0,0,0,2,11,0,0,13,1598.5,711,8,0,5,0,13025,0.8999999761581421,8,5,13025,1,1598.5,10,7,94
2020,39,경안대학원대학교,대학원대학,사립,경북,-,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,27,5,1,0,0,0,56,17.899999618530273,1,0,56,17.899999618530273,27,1,0,27
2020,40,경운대학교,대학,사립,경북,C그룹,0,1,0,1,2,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,277,43,1,1,2,3,4464,1.100000023841858,1,2,4464,0.699999988079071,277,3,3,46.20000076293945
2020,41,경인교육대학교,대학,국립,인천,C그룹,1,4,1,0,6,0,1,0,0,1,0,1,0,0.5,1.5,0,0,0,0,0,1,5,1,0.5,7.5,0,1,0,0,1,1,6,1,0.5,8.5,686.2999877929688,130,7,0,1,0.5,3913,2.0999999046325684,7,1,3913,2,686.2999877929688,8,0,85.80000305175781
2020,42,경인여자대학교,전문대학,사립,인천,B그룹,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,74.5,13,0,0,2,0,4722,0.30000001192092896,0,2,4722,0.4000000059604645,74.5,0,2,37.29999923706055
2020,43,경일대학교,대학,사립,경북,B그룹,0,2,0,2,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,7,0,2,9,0,0,0,0,0,0,7,0,2,9,736,143,2,2,5,0,7141,1.100000023841858,2,5,7141,1,736,3,5,92
2020,44,경찰대학,기타,기타,충남,-,1,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,6,0,0,0,0,0,1,3,0,2,6,429.20001220703125,152,4,2,0,0,0,0,4,0,0,0,429.20001220703125,6,0,71.5
2020,45,경희대학교,대학,사립,서울,A그룹,11,6,1,1,19,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,11,30,1,1,43,0,0,0,0,0,11,30,1,1,43,786,222,18,1,24,0,33373,1.100000023841858,18,24,33373,1.2999999523162842,786,20,26,17.100000381469727
2020,46,계명대학교,대학,사립,대구,A그룹,9,9,2,1,21,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,9,10,2,4,25,0,0,0,0,0,9,10,2,4,25,1971.5,632,20,1,1,3,22930,1,20,1,22930,0.8999999761581421,1971.5,22,4,75.80000305175781
2020,47,계명문화대학교,전문대학,사립,대구,A그룹,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,1,1,3,117,31,2,0,0,1,5008,0.5,2,0,5008,0.4000000059604645,117,2,1,39
2020,48,계약신학대학원대학교,대학원대학,사립,경기,-,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,43,6,1,0,0,0,37,27,1,0,37,27,43,1,0,43
2020,49,계원예술대학교,전문대학,사립,경기,B그룹,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,77,11,2,0,1,0,3009,0.8999999761581421,2,1,3009,1,77,2,1,25.700000762939453
2020,50,고려대학교,대학,사립,서울,A그룹,13,11,1,2,27,0,0,0,0,0,0,13,2,3,18,0,0,0,0,0,13,24,3,5,45,0,0,0,0,0,13,24,3,5,45,1704.300048828125,629,25,2,15,3,29580,1.399999976158142,25,15,29580,1.399999976158142,1704.300048828125,27,17,38.70000076293945
2020,51,고려대학교(세종),대학,사립,세종,B그룹,0,2,0,0,2,0,0,0,1,1,0,5,0,2,7,0,0,0,0,0,0,7,0,2,9,0,0,0,1,1,0,7,0,3,10,283.5,36,2,1,5,2,7096,1.100000023841858,2,5,7096,1,283.5,3,6,31.5
2020,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,4.5,1,0,2,0,0,9468,0.20000000298023224,0,0,9468,0,4.5,2,0,2.299999952316284
2020,53,고신대학교,대학,사립,부산,C그룹,0,1,2,1,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,2,1,6,0,0,0,0,0,0,3,2,1,6,237.5,48,3,1,2,0,4788,1.100000023841858,3,2,4788,1,237.5,5,1,39.599998474121094
2020,54,공군사관학교,기타,기타,충북,-,2,6,0,1,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,6,0,3,11,0,0,0,0,0,2,6,0,3,11,268.5,17,8,1,0,2,0,0,8,0,0,0,268.5,9,2,24.399999618530273
2020,55,공주교육대학교,대학,국립,충남,C그룹,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,1,3,0,0,4,260.5,46,4,0,0,0,1921,2.0999999046325684,4,0,1921,2.0999999046325684,260.5,4,0,65.0999984741211
2020,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1304,0.6000000238418579,0,0,1304,0,0,1,0,0
2020,57,광신대학교,대학,사립,광주,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,126.5,18,2,0,0,1,986,2.5,2,0,986,2,126.5,2,1,42.20000076293945
