ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
179,부산디지털대학교,대학,사립,부산,C그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,71.43259792661287,71.42449699349785,71.41763395442915,71.41763395442915,71.41763395442916,71.41763395442915,71.41763395442916,71.290535,71.09346
180,부산보건대학교,전문대학,사립,부산,B그룹,44.408940205339746,44.32910856072542,44.32993831654077,42.74662585794804,68.06613330029725,67.99272270771166,67.99272270771165,67.99272270771165,67.99272270771165,68.03242036229045,68.17310600508789,68.33024,68.706955
181,부산여자대학교,전문대학,사립,부산,C그룹,44.68461121230778,44.614655773073316,44.34148045670212,42.74662585794804,68.17584134401424,68.01740313486204,67.99272270771165,69.21860489565607,67.99856032519618,68.00401239770669,67.98727033772813,68.06856,68.343
182,부산예술대학교,전문대학,사립,부산,C그룹,44.408940205339746,44.32910856072542,44.34808058457643,42.74662585794804,71.47746252987146,71.42813299635205,71.42126995728334,71.42126995728334,71.42126995728334,71.42126995728334,71.42126995728336,71.290535,71.09346
183,부산외국어대학교,대학,사립,부산,B그룹,44.426798142635434,44.341321687347325,44.33154044853069,42.74662585794804,68.18125418321715,67.96743660910025,67.96743660910025,67.97188795485594,67.9885343441871,67.97188795485594,67.97188795485593,68.06741,68.410736
184,부산장신대학교,대학,사립,경남,C그룹,44.83008277819396,44.804034077709915,44.7521815827056,42.758253833553,68.05658823743656,67.98317764485097,68.78283166205368,70.06478679193631,68.04789698333003,68.06571783242553,70.963740822041,69.97875,69.63078
185,부천대학교,전문대학,사립,경기,A그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.06613330029725,67.99272270771166,67.99272270771165,70.2403125935407,67.99272270771165,68.01740313486205,67.99272270771165,68.17723,68.26289
186,삼육대학교,대학,사립,서울,B그룹,44.420664510079256,44.34179239483436,44.3291085607254,42.74662585794804,68.06613330029725,67.99272270771166,67.97598064773312,67.97598064773312,67.98236891064316,67.97188795485594,67.97188795485593,68.06741,68.410736
187,삼육보건대학교,전문대학,사립,서울,C그룹,44.48141223524065,44.607199878848476,44.607199878848455,42.74662585794804,68.89447573031224,69.21753634055841,69.65050831779674,67.99856032519617,67.99856032519618,67.99856032519618,67.99856032519617,68.12553,68.37312
188,상명대학교,대학,사립,서울,A그룹,44.68472739212068,44.37873136387491,44.395951727866674,42.74662585794804,68.10998072666672,68.0294613458361,68.0120605841751,68.23122726005892,68.04629996816502,68.24351667042517,67.99106619457869,68.20071,68.42377
