연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_재학생수(전년도),봉사대상자수 및 이용자수_봉사대상자수_학부생,봉사대상자수 및 이용자수_봉사대상자수_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전임교원,봉사대상자수 및 이용자수_봉사대상자수_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_직원,봉사대상자수 및 이용자수_봉사대상자수_기타,봉사대상자수 및 이용자수_봉사대상자수_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2017,382,한국성서대학교,대학,사립,서울,C그룹,1222,1022,200,45,51,57,124,1499,4,131017,878,109,35,37,49,1108,7892,1409,583,544,568,10996,0,0,1560,1040,4,2,12,11,1,17,164,9301,1222,7.599999904632568,131017,1222,107.19999694824219
2017,383,한국승강기대학교,전문대학,사립,경남,C그룹,592,592,0,21,33,20,1,667,1,540,217,0,16,17,0,250,655,0,219,261,0,1135,0,0,0,0,0,0,0,0,0,2,550,655,592,1.100000023841858,540,592,0.8999999761581421
2017,384,한국에너지공과대학교,대학,국립,전남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,385,한국열린사이버대학교,대학,사립,서울,B그룹,4003,4003,0,18,219,52,10,4302,13,111,100,0,5,4,2,111,193,0,8,12,5,218,0,0,0,0,0,0,0,0,0,0,0,193,4003,0,111,4003,0
2017,386,한국영상대학교,전문대학,사립,세종,B그룹,3445,3445,0,102,267,65,116,3995,29,104384,1861,0,79,73,8,2021,11911,0,825,1172,742,14650,0,0,2750,150,4,0,0,1,0,0,0,11911,3445,3.5,104384,3445,30.299999237060547
2017,387,한국예술종합학교,대학,국립,서울,C그룹,2583,2583,0,131,1065,255,809,4843,29,171641,1727,602,305,248,81,2963,29957,11990,7086,6204,11113,66350,0,0,56,273,22,125,53,74,46,10,139,41947,2583,16.200000762939453,171641,2583,66.5
2017,388,한국외국어대학교,대학,사립,서울,A그룹,19131,16715,2416,687,1559,357,27744,49478,82,1007553,12648,1786,968,252,6959,22613,131181,34869,22597,4571,53225,246443,0,0,20214,15591,1426,13035,11987,848,450,19,341,166050,19131,8.699999809265137,1007553,19131,52.70000076293945
2017,389,한국전력국제원자력대학원대학교,대학원대학,사립,울산,-,105,0,105,14,5,33,20,177,1,172,0,106,21,39,25,191,0,1082,175,279,56,1592,0,0,250,250,125,0,0,25,25,0,0,1082,105,10.300000190734863,172,105,1.600000023841858
2017,390,한국전통문화대학교,대학,국립,충남,C그룹,676,553,123,31,118,99,193,1117,6,37046,561,131,71,55,42,860,11492,2542,1289,1352,610,17285,0,0,2260,1176,13,13,59,44,17,2,710,14034,676,20.799999237060547,37046,676,54.79999923706055
2017,391,한국정보통신대학교,대학,사립,대전,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
