YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST
2022,95,글로벌사이버대학교,대학,사립,충남,C그룹,70.36012054984177
2022,96,금강대학교,대학,사립,충남,C그룹,69.44567642730784
2022,97,기독간호대학교,전문대학,사립,광주,C그룹,68.17746431431539
2022,98,김천대학교,대학,사립,경북,C그룹,67.97188795485594
2022,99,김포대학교,전문대학,사립,경기,C그룹,70.47395704407187
2022,100,김해대학교,전문대학,사립,경남,C그룹,70.34495913715398
2022,101,나사렛대학교,대학,사립,충남,B그룹,67.97598064773312
2022,102,나주대학교,전문대학,사립,전남,C그룹,67.99272270771166
2022,103,남부대학교,대학,사립,광주,C그룹,68.00538255425899
2022,104,남서울대학교,대학,사립,충남,B그룹,69.7946810718608
2022,105,농협대학교,전문대학,사립,경기,C그룹,68.04789698333003
2022,106,능인대학원대학교,대학원대학,사립,경기,-,68.04205936584553
2022,107,단국대학교,대학,사립,경기,A그룹,70.40163822269278
2022,108,대경대학교,전문대학,사립,경북,B그룹,68.18634503129073
2022,109,대구가톨릭대학교,대학,사립,경북,A그룹,68.04446617663838
2022,110,대구경북과학기술원,대학,국립,대구,C그룹,70.71114468211309
2022,111,대구공업대학교,전문대학,사립,대구,C그룹,69.2138288692588
2022,112,대구과학대학교,전문대학,사립,대구,A그룹,67.99272270771166
2022,113,대구교육대학교,대학,국립,대구,C그룹,67.98317764485097
2022,114,대구대학교,대학,사립,경북,A그룹,68.132586236321
2022,116,대구보건대학교,전문대학,사립,대구,A그룹,67.99272270771166
2022,117,대구사이버대학교,대학,사립,경북,C그룹,71.41763395442915
2022,118,대구예술대학교,대학,사립,경북,C그룹,68.17222858812129
2022,120,대구한의대학교,대학,사립,경북,B그룹,67.97188795485594
2022,121,대덕대학교,전문대학,사립,대전,C그룹,67.99856032519618
2022,122,대동대학교,전문대학,사립,부산,C그룹,67.99272270771166
2022,123,대림대학교,전문대학,사립,경기,A그룹,67.99272270771166
2022,124,대신대학교,대학,사립,경북,C그룹,68.04789698333003
2022,125,대원대학교,전문대학,사립,충북,C그룹,68.00538255425899
2022,126,대전가톨릭대학교,대학,사립,세종,C그룹,66.72816677994801
2022,127,대전과학기술대학교,전문대학,사립,대전,B그룹,69.82903389288873
2022,128,대전대학교,대학,사립,대전,B그룹,67.97188795485594
2022,129,대전보건대학교,전문대학,사립,대전,A그룹,68.1069073583518
2022,130,대전신학대학교,대학,사립,대전,C그룹,70.49115094547616
2022,131,대진대학교,대학,사립,경기,B그룹,68.56728824278034
2022,132,대한신학대학원대학교,대학원대학,사립,경기,-,71.15383931550569
2022,133,덕성여자대학교,대학,사립,서울,B그룹,67.98317764485097
2022,134,동강대학교,전문대학,사립,광주,B그룹,67.99272270771166
2022,135,동국대학교,대학,사립,서울,A그룹,68.55774755524861
2022,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,67.98970880395143
2022,137,동남보건대학교,전문대학,사립,경기,A그룹,68.05744204619074
