연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_업무용컴퓨터(PC)수,시설_설비_이용자용컴퓨터(PC)수,시설_설비_총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2016,276,영남대학교,대학,사립,경북,A그룹,32360,4302,88,305,393,32360,25124,1.2999999523162842
2016,277,영남사이버대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2016,278,영남신학대학교,대학,사립,경북,C그룹,3914,562,6,47,53,3914,701,5.599999904632568
2016,279,영남외국어대학,전문대학,사립,경북,C그룹,906,147,2,12,14,906,799,1.100000023841858
2016,280,영남이공대학교,전문대학,사립,대구,A그룹,3851,616,6,66,72,3851,5980,0.6000000238418579
2016,281,영산대학교,대학,사립,경남,B그룹,11098,2167,25,190,215,11098,7293,1.5
2016,282,영산선학대학교,대학,사립,전남,C그룹,416,28,2,2,4,416,38,10.899999618530273
2016,283,영진전문대학교,전문대학,사립,대구,A그룹,4347,1025,17,89,106,4347,7799,0.6000000238418579
2016,284,예명대학원대학교,대학원대학,사립,서울,-,284,50,2,2,4,284,124,2.299999952316284
2016,285,예수대학교,대학,사립,전북,C그룹,1076,250,5,16,21,1076,575,1.899999976158142
2016,286,예원예술대학교,대학,사립,전북,C그룹,946,200,4,12,16,946,1182,0.800000011920929
2016,287,오산대학교,전문대학,사립,경기,A그룹,2685,502,8,73,81,2685,4823,0.6000000238418579
2016,288,온석대학원대학교,대학원대학,사립,경기,-,199,27,2,3,5,199,244,0.800000011920929
2016,289,용인대학교,대학,사립,경기,B그룹,7677,827,21,166,187,7677,7183,1.100000023841858
2016,290,용인예술과학대학교,전문대학,사립,경기,B그룹,2725,560,7,111,118,2725,3980,0.699999988079071
2016,291,우석대학교,대학,사립,전북,B그룹,17106,1997,22,98,120,17106,8462,2.0
2016,292,우송공업대학,전문대학,사립,대전,B그룹,0,0,0,0,0,0,0,0.0
2016,293,우송대학교,대학,사립,대전,A그룹,20454,1239,17,107,124,20454,9836,2.0999999046325684
2016,294,우송정보대학,전문대학,사립,대전,B그룹,1272,288,5,46,51,1272,4870,0.30000001192092896
2016,295,울산과학기술원,대학,국립,울산,C그룹,10657,1133,17,104,121,10657,4475,2.4000000953674316
2016,296,울산과학대학교,전문대학,사립,울산,A그룹,5221,1482,15,46,61,5221,4733,1.100000023841858
2016,297,울산대학교,대학,사립,울산,A그룹,22112,3798,51,140,191,22112,14544,1.5
2016,298,웅지세무대학교,전문대학,사립,경기,C그룹,1849,1147,2,0,2,1849,1758,1.100000023841858
2016,299,원광대학교,대학,사립,전북,A그룹,18692,2602,65,146,211,18692,17286,1.100000023841858
2016,300,원광보건대학교,전문대학,사립,전북,B그룹,2146,607,8,4,12,2146,4718,0.5
2016,301,원불교대학원대학교,대학원대학,사립,전북,-,379,42,1,1,2,379,62,6.099999904632568
