ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
63,광주대학교,대학,사립,광주,B그룹,44.27928725008886,44.212295893066276,44.24211699064825,42.739486650929564,69.53536382799963,67.77850396584097,67.05450261594287,67.32446954062445,67.31185577355416,67.34832888980989,67.34268296367485
64,광주보건대학교,전문대학,사립,광주,B그룹,44.28492731795173,44.21273007181022,44.2271845587987,42.733762595546544,69.73273876787457,69.7064569800167,67.93684927693077,69.74967076904568,69.102629037629,69.71688756090924,69.78304856274957
65,광주여자대학교,대학,사립,광주,C그룹,44.26848690972872,44.20455254995609,44.23648275295559,42.73235047943198,67.37743827881052,67.31840988017612,67.37114935386668,67.31537100278938,67.34444026032334,67.40012931311838,67.41933773603606
66,구미대학교,전문대학,사립,경북,A그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.733762595546544,67.63427572025392,67.61082247663767,67.70718030912322,67.85666818286383,69.15186500496281,67.57910887321208,69.72671044685984
67,구세군사관대학원대학교,대학원대학,사립,경기,-,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
68,국군간호사관학교,기타,기타,대전,-,67.02837652111658,44.196565554614466,44.22409346867907,42.72784683467698,67.7454018103474,67.7322142672142,67.71247845803546,69.74128475439606,67.85951621345639,69.91207978464763,69.83883580891725
69,국립강릉원주대학교,대학,국립,강원,B그룹,44.32928953358437,44.26947286927045,44.29418467839531,42.71653068992197,67.33711117887755,67.26237942059957,67.22415939233879,67.02203494321708,66.98828117233013,67.14317261140636,67.70407919123957
70,국립경국대학교,대학,국립,경북,B그룹,44.322342984059006,44.26656886606753,44.28931788089127,42.72765211705563,67.18438382973709,67.03827912124112,67.15631361894955,67.02467045434445,67.01160682865854,67.07889850990404,67.50367992363925
71,국립공주대학교,대학,국립,충남,A그룹,44.34598193337458,44.30478373699572,44.313475789860306,42.712129278028705,67.72483054536043,67.52083600628436,67.67542991051825,67.5254914534942,68.26877516756592,68.18456706487952,68.61669446369856
72,국립군산대학교,대학,국립,전북,B그룹,44.29467339609864,44.224260997708,44.27906299899781,42.72485794866365,67.1991899706574,67.03788840386672,67.00522054636188,66.81401415563101,67.0400883823303,67.09552881900717,67.25288820026596
73,국립금오공과대학교,대학,국립,경북,B그룹,44.29640053228773,44.206660537228444,44.22035992731102,42.728450447800974,66.93510791845033,66.96677654119225,67.24781407752872,67.14681432496646,67.40418698401031,67.46866418354188,68.35678512861934
74,국립목포대학교,대학,국립,전남,B그룹,44.275533637356986,44.216247694988176,44.27370387266722,42.71862594958381,67.32531244168469,67.31457824934724,67.46195033026555,67.49101033779023,67.34970836228986,67.41324894258317,67.45329827931734
75,국립목포해양대학교,대학,국립,전남,C그룹,44.314733355865144,44.240943452431246,44.26203866865827,42.72454171045337,68.20885219802335,67.77175233834195,69.04802870840909,68.25804779962387,68.29450728317572,68.14427495913905,67.4775691312512
76,국립부경대학교,대학,국립,부산,A그룹,44.382803031409026,44.30434374034784,44.32174594271472,42.70911435394315,69.13679948423157,69.38530578821334,69.25932042997253,69.41413583950265,69.25176018074109,69.23223178793825,70.47871432563005
77,국립순천대학교,대학,국립,전남,B그룹,44.293028589516354,44.23262297736485,44.25816062776799,42.719102830191126,66.9537382464557,66.80434080060438,66.45181562047051,66.42656892473465,66.83111684058694,67.18610993877297,67.85844782884186
78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,44.26946103373274,44.18708119371571,44.2199342098622,42.73476457967352,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
79,국립창원대학교,대학,국립,경남,B그룹,44.28322870723275,44.22378734877239,44.24962084714802,42.73267333858772,67.31955626649929,67.13488117357686,67.24794653213137,67.03380719320933,67.74398055999959,67.98764323136601,68.20850850286988
80,국립한국교통대학교,대학,국립,충북,B그룹,44.28567369084214,44.24019086373569,44.263232166786516,42.735902311154994,66.9140404291764,67.08213495843938,67.42361846587391,67.35696995184766,67.48791652288936,67.75105267870208,70.4762492705563
81,국립한국해양대학교,대학,국립,부산,B그룹,44.285238020132,44.2183108740595,44.24331135928283,42.730371621886555,67.15997034969863,66.9929329904194,67.43417673158154,67.38090997368164,67.4773511909788,67.58468149855372,67.97582098256002
82,국립한밭대학교,대학,국립,대전,B그룹,44.271232226509376,44.20736850061171,44.23009808393098,42.73497554413177,66.86998817808596,66.83230618867847,66.6672659767768,66.61307683208497,66.8055314210749,67.09729832667328,67.41690855038674
83,국민대학교,대학,사립,서울,A그룹,44.34398024439327,44.315128548233204,44.360799848149085,42.72427389644373,69.14563355475039,68.56985284391537,68.39514078765431,68.68505850429756,67.68681467887988,67.72647823995642,67.81226261811861
84,국방대학교,기타,기타,충남,-,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,69.8304210579074,69.800329903088,69.74818352340085,69.84478226182021,69.90985580391823,69.85958582329498,69.86562849640286
85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,44.330917111069276,44.25432133184853,44.248947717690925,42.73796540783089,69.77187142718384,69.83017380264656,69.89118467482591,69.87824759831544,69.81110998904471,69.80858176998115,69.84520607864349
86,국제대학교,전문대학,사립,경기,B그룹,44.26714392566971,44.196565554614466,44.22409346867907,42.733762595546544,67.73370739465841,67.7201581077939,67.71066988315624,67.71264754016104,67.65729313560826,67.62291605083719,67.62093839383236
87,국제문화대학원대학교,대학원대학,사립,충남,-,67.02837652111658,44.20409177240834,44.22582258502368,42.735641822599675,69.93218901569438,69.92809481279582,69.91808489216089,69.90765040364217,69.90985580391823,69.92254885814661,69.9225488581466
88,국제법률경영대학원대학교,대학원대학,사립,경기,-,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,70.0227366700328,67.02837652111658,69.83321403033351,70.00245932358698,70.0045968222598,69.9225488581466
89,국제사이버대학교,대학,사립,경기,C그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.73577497477359,68.57191030386682,68.55194524175499,68.55542307129262,68.55605101872762,68.56287253356544,68.57556558779382,67.98908301893353
90,국제언어대학원대학교,대학원대학,사립,서울,-,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
91,국제예술대학교,기타,기타,서울,-,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,69.93218901569438,69.92809481279582,69.91808489216089,69.90765040364217,69.90985580391823,69.92254885814661,69.9225488581466
92,군산간호대학교,전문대학,사립,전북,C그룹,44.282713279926554,44.209029009687974,44.22792778688704,42.737076087610035,67.99785192112634,67.80219383273727,67.98786838362925,67.63617151115787,67.63116029652709,67.61952058810749,67.66881859535387
93,군장대학교,전문대학,사립,전북,C그룹,44.26946103373274,44.20297950388982,44.220238863491595,42.735641822599675,69.12427909148013,69.76289403430702,69.73827161314924,69.74479132632658,68.1419444575151,68.03318782465519,67.91459782015485
