연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2020,51,고려대학교(세종),대학,사립,세종,B그룹,281900,67197,349097,452902,102084,554986,6,9,11513,2,17,11513,115,17,132,4147,2901,7048,6284,6947,554986,7135,77.80000305175781,7048,554986,1.2999999523162842
2020,52,고려사이버대학교,대학,사립,서울,A그룹,4863,38358,43221,11780,38358,50138,0,1,43221,0,1,43221,0,0,0,624,0,624,368,0,50138,9045,5.5,624,50138,1.2999999523162842
2020,53,고신대학교,대학,사립,부산,C그룹,218514,137427,355941,291667,167434,459101,10,8,10122,0,18,10122,482,96,578,5546,1730,7276,7092,1781,459101,4802,95.5999984741211,7276,459101,1.600000023841858
2020,54,공군사관학교,기타,기타,충북,-,200274,38189,238463,200274,38189,238463,4,2,3769,0,6,3769,173,13,186,4737,1628,6365,6365,83,238463,0,0.0,6365,238463,2.700000047683716
2020,55,공주교육대학교,대학,국립,충남,C그룹,122460,6389,128849,303293,21328,324621,8,9,9531,0,17,9531,142,0,142,6032,0,6032,2934,0,324621,1957,165.89999389648438,6032,324621,1.899999976158142
2020,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,7077,29269,36346,14754,74344,89098,2,8,440801,0,10,440801,0,0,0,7520,0,7520,7447,0,89098,1308,68.0999984741211,7520,89098,9.199999809265137
2020,57,광신대학교,대학,사립,광주,C그룹,57632,58591,116223,87620,65544,153164,3,5,13312,0,8,13312,158,17,175,2113,4076,6189,5589,310,153164,972,157.60000610351562,6189,153164,4.199999809265137
2020,58,광양보건대학교,전문대학,사립,전남,C그룹,23363,476,23839,39827,542,40369,0,2,451,1,3,451,55,0,55,0,0,0,0,0,40369,996,40.5,0,40369,0.0
2020,59,광운대학교,대학,사립,서울,B그룹,312884,79789,392673,614660,131656,746316,14,18,29084,1,33,29084,175,24,199,16404,3417,19821,12424,93,746316,9561,78.0999984741211,19821,746316,2.700000047683716
2020,60,광주가톨릭대학교,대학,사립,전남,C그룹,90007,58606,148613,130971,73308,204279,5,6,42376,5,16,42376,46,67,113,998,599,1597,1466,0,204279,107,1909.0999755859375,1597,204279,0.800000011920929
