연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(당해년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2014년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2015년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2016년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2016,272,연세대학교,대학,사립,서울,A그룹,1141049597000,1050045210,290207775,49082841,4762209796,1351045628,0,219989615,7722580865,1001254869000,1200000000,600000000,50000000,4652000000,1213000000,0,95000000,7810000000,7722580865,31007,249059.3,7722580865,1141049597000,0.7,7724384069,7336528754,7722580865,0.1
2016,273,연세대학교(미래),대학,사립,강원,B그룹,0,286518662,62777194,20135390,784287485,160455356,0,117247003,1431421090,0,299200000,65000000,20000000,851435031,151512493,0,121532251,1508679775,1431421090,8145,175742.3,1431421090,0,0,1597125622,1404273537,1431421090,-5.1
2016,274,연암공과대학교,전문대학,사립,경남,C그룹,22076292000,33054910,0,6943200,0,0,0,0,39998110,15793233000,35000000,0,5000000,0,0,0,0,40000000,39998110,1241,32230.5,39998110,22076292000,0.2,39998650,39844870,39998110,0
2016,275,연암대학교,전문대학,사립,충남,C그룹,31550752000,24746920,2972480,1056000,4222000,0,0,0,32997400,22881041000,20300000,2600000,1000000,4100000,0,0,5000000,33000000,32997400,1079,30581.5,32997400,31550752000,0.1,29886140,28654720,32997400,5.5
2016,276,영남대학교,대학,사립,경북,A그룹,350850779000,309408728,286334930,73347869,2029897842,617919489,0,69682548,3386591406,395732917000,282000000,284000000,67000000,1928432158,577857144,0,91835698,3231125000,3386591406,25124,134795.1,3386591406,350850779000,1,4006393110,3452785965,3386591406,-7.9
2016,277,영남사이버대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,278,영남신학대학교,대학,사립,경북,C그룹,10751324000,32717752,20497954,77570,15914151,10603761,0,0,79811188,7746634000,24000000,15000000,1000000,12000000,14000000,0,4000000,70000000,79811188,701,113853.3,79811188,10751324000,0.7,86515203,80073323,79811188,-3.9
2016,279,영남외국어대학,전문대학,사립,경북,C그룹,7778618000,247000,0,0,0,0,0,0,247000,8035168000,10000000,1000000,0,10500000,0,0,0,21500000,247000,799,309.1,247000,7778618000,0,2889400,7769448,247000,36
2016,280,영남이공대학교,전문대학,사립,대구,A그룹,66511983000,69770330,23917578,4716585,13180000,9888727,0,43500000,164973220,72061681000,75000000,27850000,4000000,14000000,10500000,0,45000000,176350000,164973220,5980,27587.5,164973220,66511983000,0.2,158753762,161654224,164973220,1.9
2016,281,영산대학교,대학,사립,경남,B그룹,73554797000,188940390,28264500,17108870,51680000,76236486,0,33343000,395573246,71557272000,141005000,25540000,11750000,54965000,84488000,0,82252000,400000000,395573246,7293,54240.1,395573246,73554797000,0.5,384455752,380184136,395573246,1.5
