연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,95,글로벌사이버대학교,대학,사립,충남,C그룹,634,0,634,1566,0,1566,0,1,634,0,1,634,0,0,0,174,0,174,170,0,1566,2123,0.699999988079071,174,1566,12.5
2018,96,금강대학교,대학,사립,충남,C그룹,62187,14316,76503,97961,24075,122036,0,3,0,0,3,0,88,10,98,2571,1188,3759,2663,0,122036,552,221.10000610351562,3759,122036,3.200000047683716
2018,97,기독간호대학교,전문대학,사립,광주,C그룹,19284,4262,23546,28105,5417,33522,1,1,256,0,2,256,56,0,56,719,79,798,590,0,33522,634,52.900001525878906,798,33522,2.4000000953674316
2018,98,김천대학교,대학,사립,경북,C그룹,103119,134222,237341,147207,135225,282432,3,10,173133,0,13,173133,121,0,121,63797,671,64468,43996,0,282432,3439,82.0999984741211,64468,282432,29.600000381469727
2018,99,김포대학교,전문대학,사립,경기,C그룹,60692,4891,65583,103620,5731,109351,1,6,7654,1,8,7654,109,9,118,5998,805,6803,5260,7124,109351,3419,32,6803,109351,6.599999904632568
2018,100,김해대학교,전문대학,사립,경남,C그룹,20646,300,20946,23531,303,23834,1,1,831,0,2,831,10,0,10,823,837,1660,1489,0,23834,1358,17.600000381469727,1660,23834,7.5
2018,101,나사렛대학교,대학,사립,충남,B그룹,170526,104792,275318,255412,111183,366595,5,8,114903,2,15,114903,145,22,167,11282,61523,72805,71638,0,366595,5838,62.79999923706055,72805,366595,24.799999237060547
2018,102,나주대학교,전문대학,사립,전남,C그룹,22383,213,22596,27749,281,28030,0,0,527,0,0,527,126,0,126,23715,177,23892,20713,0,28030,2211,12.699999809265137,23892,28030,577.4000244140625
2018,103,남부대학교,대학,사립,광주,C그룹,75674,8608,84282,81289,8686,89975,5,10,15738,1,16,15738,286,9,295,8310,639,8949,7367,0,89975,3464,26,8949,89975,11
2018,104,남서울대학교,대학,사립,충남,B그룹,304204,120218,424422,607797,218257,826054,5,11,81514,0,16,81514,1048,34,1082,23204,687,23891,19596,1,826054,10216,80.9000015258789,23891,826054,3
2018,105,농협대학교,전문대학,사립,경기,C그룹,28492,4457,32949,35886,4864,40750,1,0,1,0,1,1,20,0,20,978,0,978,873,1972,40750,461,88.4000015258789,978,40750,2.5
2018,106,능인대학원대학교,대학원대학,사립,경기,-,2648,7,2655,3344,8,3352,0,1,0,0,1,0,9,0,9,0,892,892,742,0,3352,66,50.79999923706055,892,3352,36.29999923706055
2018,107,단국대학교,대학,사립,경기,A그룹,925856,301104,1226960,1471041,498027,1969068,20,26,31222,5,51,31222,964,141,1105,28528,9142,37670,29117,0,1969068,26716,73.69999694824219,37670,1969068,2
2018,108,대경대학교,전문대학,사립,경북,B그룹,42897,4305,47202,83030,4654,87684,0,2,18870,2,4,18870,75,0,75,33742,2337,36079,20824,0,87684,4332,20.200000762939453,36079,87684,69.9000015258789
2018,109,대구가톨릭대학교,대학,사립,경북,A그룹,487782,248036,735818,984443,359819,1344262,33,25,47353,0,58,47353,619,72,691,21626,4513,26139,22161,280,1344262,14889,90.30000305175781,26139,1344262,2
2018,110,대구경북과학기술원,대학,국립,대구,C그룹,52671,67467,120138,55955,69870,125825,41,27,204165,1,69,204165,28,16,44,18969,28,18997,17690,0,125825,1176,107,18997,125825,17.799999237060547
2018,111,대구공업대학교,전문대학,사립,대구,C그룹,61084,2159,63243,101897,3262,105159,0,0,8397,2,2,8397,56,0,56,2365,378,2743,2726,0,105159,1799,58.5,2743,105159,2.700000047683716
