연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,29,경동대학교,대학,사립,강원,B그룹,111465860852,293378500,0,0,78648000,24452726,0,33000000,429479226,87672994864,259500240,0,3816180,70000000,18301580,0,30000000,381618000,429479226,7549,56892.2,429479226,111465860852,0.4,439899359,439737302,429479226,-1.2
2022,30,경민대학교,전문대학,사립,경기,B그룹,43746419691,77795140,7530600,0,25344000,4331864,0,11100000,126101604,47740264000,90000000,10000000,1000000,29000000,5000000,0,15000000,150000000,126101604,3845,32796.3,126101604,43746419691,0.3,158193886,154419968,126101604,-10.4
2022,31,경복대학교,전문대학,사립,경기,A그룹,77729930125,122509690,4175446,0,0,17887000,0,0,144572136,85816200000,136000000,4000000,0,0,18000000,0,0,158000000,144572136,6208,23288.0,144572136,77729930125,0.2,186263899,138954220,144572136,-10.7
2022,32,경북과학대학교,전문대학,사립,경북,C그룹,19731808017,1913760,0,0,8438000,0,0,0,10351760,22138865000,16394000,0,0,8606000,0,0,15000000,40000000,10351760,1845,5610.7,10351760,19731808017,0.1,10188210,8273000,10351760,3.2
2022,33,경북대학교,대학,국립,대구,A그룹,373713606853,927081330,1161405120,3795360,2121963190,1069953830,0,246023220,5530222050,347107740000,792640000,1186560000,3800000,1980000000,726800000,0,34200000,4724000000,5530222050,27380,201980.4,5530222050,373713606853,1.5,5085824740,4958487940,5530222050,4.5
2022,34,경북보건대학교,전문대학,사립,경북,C그룹,12342880479,31338250,180000,0,7764000,4338770,0,0,43621020,11542047000,33000000,500000,0,13000000,0,0,0,46500000,43621020,1233,35378.0,43621020,12342880479,0.4,43790160,42979023,43621020,-0.2
2022,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2022,36,경북전문대학교,전문대학,사립,경북,B그룹,28528228739,36306360,5018000,0,5000000,2510548,0,0,48834908,29756995000,29212000,5300000,1000000,5000000,2700000,0,12948000,56160000,48834908,2736,17849.0,48834908,28528228739,0.2,56841371,46914015,48834908,-6.7
2022,37,경상국립대학교,대학,국립,경남,A그룹,369862043706,608747800,669417220,18998140,1750624798,743050472,0,296599879,4087438309,237288265000,819900000,692660000,2500000,0,0,0,2162970233,3678030233,4087438309,20962,194992.8,4087438309,369862043706,1.1,2539121306,2928203194,4087438309,27.5
2022,38,경성대학교,대학,사립,부산,A그룹,160959588288,268404002,7908359,4750000,363342043,158605385,0,32000000,835009789,127880336000,31269000,0,0,0,11863000,0,0,43132000,835009789,12972,64370.2,835009789,160959588288,0.5,923044868,884255359,835009789,-4.9
