YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
2014,31,조선대학교,44.46,335,대학,사립,광주,A그룹,0.8999999761581421,1854999000,281429047000,50.0,1193034,76044.1,23.600000381469727,362,21344.0,3375,255941958000,1.0,3.0,113442,13812,1.100000023841858,1815934120,255941958000,32.29999923706055,772285
2014,32,국립부경대학교,44.39,76,대학,국립,부산,A그룹,1.100000023841858,1394186000,164938022000,53.5,1066610,93663.4,104.9000015258789,165,22654.0,4710,174154609000,1.0,6.300000190734863,144444,13898,1.0,1868022370,174154609000,95.4000015258789,1903604
2014,33,한림대학교,44.36,434,대학,사립,강원,B그룹,1.899999976158142,1644924400,182377848000,72.19999694824219,697534,170299.7,33.5,198,18026.0,2217,183931605000,0.8999999761581421,9.800000190734863,120540,8358,1.2999999523162842,1644924335,183931605000,83.69999694824219,808445
2014,34,서울시립대학교,44.3,209,대학,공립,서울,A그룹,1.2999999523162842,2827610000,75934665000,73.9000015258789,906109,220854.4,61.0,255,15346.0,2517,86302089000,2.299999952316284,8.600000381469727,117454,9875,2.400000095367432,2708778770,86302089000,92.0999984741211,1129112
2015,1,서울대학교,64.82,200,대학,국립,서울,A그룹,2.5999999046325684,11329000000,771115292000,183.6000061035156,5231823,345880.5,53.400001525878906,529,75222.0,8020,883178089916,3.200000047683716,15.100000381469728,525115,31591,3.299999952316284,9854134830,883178089916,104.6999969482422,2984277
2015,2,연세대학교,51.02,272,대학,사립,서울,A그룹,2.200000047683716,7911768000,1115785520000,78.9000015258789,2461507,235213.0,14.100000381469728,1175,69736.0,7202,999116142000,2.200000047683716,12.600000381469728,519355,35284,2.700000047683716,7336528754,999116142000,113.0999984741211,3527570
2015,3,고려대학교,49.79,50,대학,사립,서울,A그룹,1.899999976158142,6784302000,699821406000,92.3000030517578,2722881,224647.5,12.699999809265137,984,54808.0,8514,690677812000,1.7000000476837158,12.300000190734863,414646,26463,1.7000000476837158,6629572916,690677812000,442.7999877929688,13066816
2015,4,한국과학기술원,48.95,373,대학,국립,대전,A그룹,1.7999999523162842,5698990000,756167000000,50.59999847412109,536698,506821.4,38.70000076293945,98,19426.0,1471,705474743000,2.0,14.899999618530272,183634,8072,2.5999999046325684,5380416000,705474743000,177.60000610351562,1885223
2015,5,포항공과대학교,48.24,367,대학,사립,경북,C그룹,7.099999904632568,3426279000,186680989000,134.60000610351562,423989,1049567.5,103.9000015258789,97,22241.0,1303,200753305000,2.200000047683716,5.800000190734863,28298,4838,2.700000047683716,3307187190,200753305000,170.60000610351562,537589
2015,6,한양대학교,47.6,443,대학,사립,서울,A그룹,1.2000000476837158,3398000000,480745942000,65.9000015258789,1470223,174691.3,32.400001525878906,397,25699.0,3998,502603456000,1.2999999523162842,10.100000381469728,249014,20795,1.2999999523162842,3899982189,502603456000,107.0999984741211,2390786
2015,7,성균관대학교,47.19,227,대학,사립,서울,A그룹,1.600000023841858,5754320000,565978472000,69.19999694824219,1870412,211780.0,26.200000762939453,899,43318.0,7991,544403101000,1.899999976158142,10.800000190734863,376393,25660,1.899999976158142,5725260956,544403101000,153.8000030517578,4158176
2015,8,경북대학교,45.92,33,대학,국립,대구,A그룹,1.2000000476837158,4910000000,304543201000,100.8000030517578,3112685,152814.0,66.0999984741211,650,35961.0,5410,301184234000,1.7000000476837158,7.599999904632568,283227,26486,1.899999976158142,4720425000,301184234000,39.09999847412109,1206463
2015,9,광주과학기술원,45.88,61,대학,국립,광주,C그룹,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
2015,10,전남대학교,45.27,321,대학,국립,광주,A그룹,1.2999999523162842,2944869150,274208203000,63.5,1646735,119677.9,74.0,271,34097.0,5260,272575342000,1.5,7.699999809265137,264710,23075,1.600000023841858,3101212896,272575342000,76.9000015258789,1991825
2015,11,이화여자대학교,45.2,308,대학,사립,서울,A그룹,1.100000023841858,4641075500,475615920000,79.0,1675308,222941.2,26.700000762939453,390,22649.0,4040,432996389000,2.900000095367432,15.899999618530272,419271,25667,2.799999952316284,4725016046,432996389000,75.5999984741211,1603162
2015,12,경희대학교,45.16,45,대학,사립,서울,A그룹,1.100000023841858,4571810000,485000749000,75.19999694824219,2479293,150858.6,21.5,499,35687.0,6628,477093227000,1.600000023841858,11.300000190734863,461039,34429,1.600000023841858,4972450954,477093227000,72.19999694824219,2379649
2015,13,전북대학교,45.09,324,대학,국립,전북,A그룹,1.899999976158142,2256000000,229487872000,67.4000015258789,1607621,39443.8,85.5,496,44902.0,5207,236048825000,1.5,7.099999904632568,188655,18524,1.600000023841858,940379330,236048825000,110.8000030517578,2641460
2015,14,아주대학교,45.04,264,대학,사립,경기,A그룹,1.2000000476837158,2919810000,241998756000,71.0999984741211,1018242,182703.5,47.29999923706055,154,17213.0,2708,251657517000,1.2999999523162842,6.400000095367432,115751,12360,1.399999976158142,2615034630,251657517000,109.9000015258789,1573362
2015,15,경상국립대학교,45.04,37,대학,국립,경남,A그룹,1.5,1967884040,239251405000,70.4000015258789,1676587,159707.1,83.4000015258789,369,34984.0,3683,243373132000,1.2999999523162842,4.599999904632568,149107,15743,1.399999976158142,3800869510,243373132000,51.400001525878906,1222330
2015,16,부산대학교,44.94,178,대학,국립,부산,A그룹,1.2000000476837158,4761041000,284669083000,71.30000305175781,2170896,175701.6,84.30000305175781,389,35856.0,5597,303286203000,1.600000023841858,9.0,338710,24777,1.600000023841858,5351167670,303286203000,182.5,5557184
2015,17,울산대학교,44.79,297,대학,사립,울산,A그룹,1.5,2578296000,240032778000,68.19999694824219,1022931,171059.1,63.79999923706055,191,22112.0,3798,246531911000,1.600000023841858,5.800000190734863,113812,13752,1.600000023841858,2564860845,246531911000,102.5,1536538
2015,18,가톨릭대학교,44.74,6,대학,사립,경기,A그룹,1.600000023841858,3940527000,212841156000,91.8000030517578,1000781,362203.0,22.39999961853028,269,17684.0,3191,212394445000,1.899999976158142,12.600000381469728,183222,11473,2.5999999046325684,3947650145,212394445000,137.10000610351562,1494677
2015,19,동국대학교,44.61,135,대학,사립,서울,A그룹,0.8999999761581421,1913077347,327670116000,77.19999694824219,1366755,120544.3,17.200000762939453,160,16713.0,2821,397691388000,1.100000023841858,6.0,121516,17047,1.100000023841858,2133514000,397691388000,74.30000305175781,1315890
2015,20,인하대학교,44.56,316,대학,사립,인천,A그룹,1.2999999523162842,3325000000,303430152000,78.5,1676066,149657.7,24.100000381469727,530,27115.0,3786,275224046000,1.399999976158142,7.900000095367432,203279,17484,1.399999976158142,3195640130,275224046000,67.9000015258789,1450855
2015,21,서강대학교,44.56,191,대학,사립,서울,A그룹,1.399999976158142,2355240000,192354044000,112.0999984741211,1279672,207608.3,36.70000076293945,209,15931.0,2818,220089535000,2.0999999046325684,14.300000190734863,192616,10863,2.299999952316284,2369641000,220089535000,184.5,2106357
2015,22,건국대학교,44.51,18,대학,사립,서울,A그룹,1.2999999523162842,2800000000,429826950000,60.29999923706055,1205972,140337.0,44.400001525878906,329,25077.0,4266,440023773000,1.399999976158142,7.800000190734863,183790,18544,1.5,2806600000,440023773000,138.0,2759797
