ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
34,경북보건대학교,전문대학,사립,경북,C그룹,44.4535121669316,44.295969810338484,44.30317954751521,42.7488514975811,68.09179777233727,67.7073815576443,67.71318978391623,67.71876003132118,67.70559890481326,67.9158740367358,67.90893221763599,68.02048,68.057396
35,경북외국어대학교,대학,사립,대구,C그룹,44.4330839992722,44.300530578907114,44.30774031608384,42.7488514975811,71.32670478921851,71.28162753246613,71.27524525896715,71.27524525896715,71.27705654066459,71.27705654066456,71.27705654066459,71.26592,71.10581
36,경북전문대학교,전문대학,사립,경북,B그룹,44.454824847526986,44.301261895871825,44.30328358146299,42.7488514975811,67.98508489202658,68.83505387581717,67.95193996584003,67.95061220086309,67.88129381484447,67.88691589498818,67.8763932993043,68.27431,68.43361
37,경상국립대학교,대학,국립,경남,A그룹,45.21948994656802,44.91962206392596,44.90572070285278,42.7488514975811,71.69345770304325,71.88836997691459,71.99733142378915,72.3313465000936,72.31386319966997,72.58954880315603,72.64281099858782,72.621544,72.422775
38,경성대학교,대학,사립,부산,A그룹,44.44407007374554,44.29117554205222,44.292517294448665,42.7488514975811,67.82104229890389,67.42657374192156,67.30463459978509,67.29910269871436,67.82687525619674,67.70666997876329,67.3338958001213,68.05589,67.81629
39,경안대학원대학교,대학원대학,사립,경북,-,44.697054313513185,44.57592609191073,44.6892652042507,42.769155317417166,70.04719411587119,69.22084384827872,68.81669424456062,70.99794982972392,73.84009898594272,73.83886993721367,68.40044650203782,69.42473,73.15176
40,경운대학교,대학,사립,경북,C그룹,44.432738334278824,44.30006084590922,44.30833962536561,42.7488514975811,67.65628770450849,67.57533262924309,67.55063357785079,67.57331418011452,67.62931570567052,67.60931256632816,67.9696711229218,68.17222,67.64269
41,경인교육대학교,대학,국립,인천,C그룹,45.091863256562036,45.10812329037721,45.10896705184976,42.788235182892194,67.65432845411254,67.52914816101823,67.66290492274432,67.60621383008105,67.51184412091793,67.50270432964713,67.59924889412966,67.76221,67.73192
42,경인여자대학교,전문대학,사립,인천,B그룹,44.42844801938737,44.300530578907114,44.30690282299608,42.7488514975811,68.03391728471316,67.65293978325224,67.9146101553003,67.62842088880436,67.60807984473242,67.62558738527709,67.63701399515035,67.86678,68.828316
43,경일대학교,대학,사립,경북,B그룹,44.43847779529028,44.31634031915208,44.49873784699982,42.7488514975811,69.3150556678938,67.57239395778014,67.24048423169864,67.30231782312934,67.23557261150779,67.25465827644477,67.39656117595658,67.279495,67.27986
44,경찰대학,기타,기타,충남,-,45.19225075092327,44.67350246543433,44.68018487071827,42.7488514975811,67.73378665254808,67.65666612530171,67.65317578341717,67.65379589069764,67.65077342033644,67.95136619475124,71.25992974273134,69.90326,68.163315
45,경희대학교,대학,사립,서울,A그룹,45.17797749815533,45.23148548336577,45.701043058965624,45.66644872731476,75.79601837573362,75.43216919693677,75.40697088116706,75.23694229046276,75.35834011129099,75.54510368159126,75.6190624711208,75.445625,75.445625
46,계명대학교,대학,사립,대구,A그룹,44.56196119403663,44.488477675302526,44.50111198802116,42.7488514975811,70.2319465304072,68.79499159628607,68.69785007819382,68.73952524072276,68.82028432898592,68.75335617963984,68.74007610383816,68.713196,68.61847
47,계명문화대학교,전문대학,사립,대구,A그룹,44.43123551809858,44.294826258643994,44.3023624865343,42.7488514975811,68.31675337064478,68.30347201224711,67.8289234592965,67.82336599584626,67.55624198215322,67.55795089152342,69.20416688911294,68.49797,68.74333
48,계약신학대학원대학교,대학원대학,사립,경기,-,45.569871001984964,46.75625529896629,45.55683800000527,42.769155317417166,69.30504201708649,73.84514337086023,73.83976763630069,73.8400989859427,73.6311316726268,71.27705654066456,71.27705654066459,71.327515,71.07372
49,계원예술대학교,전문대학,사립,경기,B그룹,44.566096484161186,44.30276625453927,44.67936780973737,42.76793136305613,68.40012260304934,67.93142173467017,69.19330266740026,69.54364506020016,69.22015720006425,69.38570815952293,68.32769043433922,68.75435,68.51739
50,고려대학교,대학,사립,서울,A그룹,50.75905177243306,50.72495606354521,49.79377640337405,49.47694786356925,79.90971112687956,80.1700848187433,79.98297173435392,80.24670039115452,80.23508412339898,80.44940281955891,81.4974258982949,81.09011,81.09011
51,고려대학교(세종),대학,사립,세종,B그룹,44.43198603984393,44.300381165101655,44.28789000265068,42.7488514975811,69.97691513545952,68.15486895154922,68.38778135911919,70.39370592253064,69.85394876381348,70.4759269103199,70.52295113037809,70.73883,70.08087
52,고려사이버대학교,대학,사립,서울,A그룹,44.4330839992722,44.300530578907114,44.30774031608384,42.7488514975811,71.32670478921851,71.28162753246613,71.27524525896715,71.27524525896715,71.27705654066459,69.49722342818706,69.92845940948754,68.62955,68.3767
53,고신대학교,대학,사립,부산,C그룹,44.591199877839756,44.3400550890838,44.350394421395954,42.7488514975811,67.09746864022276,67.16641424680533,67.46948498700785,66.97896021723938,67.4522062026152,68.10447198679978,70.75177581239502,70.6029,70.201744
54,공군사관학교,기타,기타,충북,-,44.89179985573524,44.295643319624894,44.35227390446735,42.7488514975811,68.09482049552633,68.77231139508433,69.24546725153108,69.81284286093745,69.50497036253093,68.33676536256775,71.27705654066459,70.160645,69.44406
55,공주교육대학교,대학,국립,충남,C그룹,44.944605693728285,44.965046233156095,45.22749451461215,42.788235182892194,67.86259672332481,67.79030758236675,67.79631806330116,67.78302012829354,67.7687901915636,67.77333026842979,68.66035661990213,68.598495,68.88744
56,과학기술연합대학원대학교,대학원대학,국립,대전,-,44.4330839992722,44.297152274120066,44.2998061384769,42.7488514975811,72.76946983163211,71.22652269758076,72.18010062713454,70.85274202202352,72.08685823731763,71.20566385542232,71.73818595631214,71.95361,71.83606
57,광신대학교,대학,사립,광주,C그룹,44.71567852933619,44.699005150313454,44.70407736301466,42.769155317417166,69.91306674080298,68.41333877325401,67.90455076779809,68.32583511139666,69.30323597056989,69.5256094586242,70.69438531854685,70.54068,69.57963
58,광양보건대학교,전문대학,사립,전남,C그룹,44.42877451010096,44.67350246543433,44.30667127380417,42.7488514975811,68.00789391128777,68.45963170800555,69.92253996542625,70.98714659350989,70.99328983802796,68.60704440278022,68.81661941058162,69.863594,70.0788
