YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2015,49,계원예술대학교,전문대학,사립,경기,B그룹,2,1,1,0,3,1,4,0,2,0,2,0,0,1,1,189,19,2,1,1,0,2889,1.2000000476837158,2,1,2889,1.0,189,3,1,47.29999923706055
2015,50,고려대학교,대학,사립,서울,A그룹,36,2,15,1,51,3,54,14,18,4,36,0,15,0,15,687,174,36,2,15,1,29511,1.7000000476837158,36,15,29511,1.7000000476837158,687,38,16,12.699999809265137
2015,51,고려대학교(세종),대학,사립,세종,B그룹,3,0,5,0,8,0,8,2,1,0,3,0,5,0,5,315,70,3,0,5,0,7982,0.8999999761581421,3,5,7982,1.0,315,3,5,39.400001525878906
2015,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10044,0.0,0,0,10044,0.0,0,0,0,0.0
2015,53,고신대학교,대학,사립,부산,C그룹,6,0,0,2,6,2,8,0,4,2,6,0,0,0,0,215,49,6,0,0,2,5249,1.2999999523162842,6,0,5249,1.100000023841858,215,6,2,26.899999618530277
2015,54,공군사관학교,기타,기타,충북,-,5,0,2,0,7,0,7,2,3,0,5,0,2,0,2,280,9,5,0,2,0,0,0.0,5,2,0,0.0,280,5,2,40.0
2015,55,공주교육대학교,대학,국립,충남,C그룹,5,1,0,0,5,1,6,1,2,2,5,0,0,0,0,498,77,5,1,0,0,2040,2.799999952316284,5,0,2040,2.5,498,6,0,83.0
2015,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,49,8,0,1,0,0,1076,0.699999988079071,0,0,1076,0.0,49,1,0,49.0
2015,57,광신대학교,대학,사립,광주,C그룹,1,1,0,1,1,2,3,0,1,0,1,0,0,0,0,5,1,1,1,0,1,938,2.5,1,0,938,1.100000023841858,5,2,1,1.7000000476837158
2015,58,광양보건대학교,전문대학,사립,전남,C그룹,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,98,2,1,0,0,0,1984,0.5,1,0,1984,0.5,98,1,0,98.0
2015,59,광운대학교,대학,사립,서울,B그룹,5,1,8,0,13,1,14,1,4,0,5,0,8,0,8,120,29,5,1,8,0,10106,1.2000000476837158,5,8,10106,1.2999999523162842,120,6,8,8.600000381469727
2015,60,광주가톨릭대학교,대학,사립,전남,C그룹,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,42,2,2,0,0,0,118,16.899999618530273,2,0,118,16.899999618530273,42,2,0,21.0
2015,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015,62,광주교육대학교,대학,국립,광주,C그룹,3,1,0,0,3,1,4,0,3,0,3,0,0,0,0,368,7,3,1,0,0,2207,1.7000000476837158,3,0,2207,1.399999976158142,368,4,0,92.0
2015,63,광주대학교,대학,사립,광주,B그룹,2,1,0,12,2,13,15,1,1,0,2,0,0,0,0,39,18,2,1,0,12,7901,1.100000023841858,2,0,7901,0.3000000119209289,39,3,12,2.5999999046325684
2015,64,광주보건대학교,전문대학,사립,광주,B그룹,3,0,0,3,3,3,6,0,3,0,3,0,0,0,0,171,21,3,0,0,3,4123,1.100000023841858,3,0,4123,0.699999988079071,171,3,3,28.5
2015,65,광주여자대학교,대학,사립,광주,C그룹,1,1,0,6,1,7,8,0,1,0,1,0,0,0,0,121,15,1,1,0,6,4256,1.100000023841858,1,0,4256,0.2000000029802322,121,2,6,15.100000381469728
2015,66,구미대학교,전문대학,사립,경북,A그룹,1,0,1,1,2,1,3,1,0,0,1,0,1,0,1,7,2,1,0,1,1,5492,0.4000000059604645,1,1,5492,0.4000000059604645,7,1,2,2.299999952316284
