YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2019,59,광운대학교,대학,사립,서울,B그룹,302384,77865,380249,597268,129227,726495,17,21,55025,2,40,55025,179,38,217,22705,2738,25443,16425,93,726495,9253,78.5,25443,726495,3.5999999046325684
2019,60,광주가톨릭대학교,대학,사립,전남,C그룹,88755,58091,146846,129417,72669,202086,4,6,42384,5,15,42384,47,68,115,1006,631,1637,1479,0,202086,102,1981.199951171875,1637,202086,0.800000011920929
2019,61,광주과학기술원,대학,국립,광주,C그룹,60849,118729,179578,78835,134706,213541,22,11,92116,2,35,92116,0,0,0,10394,0,10394,8730,107,213541,2064,103.5,10394,213541,5.099999904632568
2019,62,광주교육대학교,대학,국립,광주,C그룹,178026,29294,207320,268126,33344,301470,0,4,9901,0,4,9901,74,10,84,5815,1623,7438,4526,0,301470,1993,151.3000030517578,7438,301470,2.5
2019,63,광주대학교,대학,사립,광주,B그룹,262729,56846,319575,465490,93784,559274,4,9,36227,5,18,36227,301,55,356,17808,2445,20253,12990,0,559274,7698,72.69999694824219,20253,559274,3.799999952316284
2019,64,광주보건대학교,전문대학,사립,광주,B그룹,102114,5702,107816,195468,10596,206064,2,2,8389,3,7,8389,85,19,104,3579,779,4358,2695,0,206064,3810,54.09999847412109,4358,206064,2.200000047683716
2019,65,광주여자대학교,대학,사립,광주,C그룹,175622,31974,207596,266762,40098,306860,7,8,78708,0,15,78708,44,0,44,11715,1669,13384,10114,0,306860,3922,78.19999694824219,13384,306860,4.599999904632568
2019,66,구미대학교,전문대학,사립,경북,A그룹,41301,3868,45169,181380,8297,189677,1,1,10413,0,2,10413,57,0,57,1467,6150,7617,2038,0,189677,5391,35.20000076293945,7617,189677,4.199999809265137
2019,67,구세군사관대학원대학교,대학원대학,사립,경기,-,23558,1970,25528,23558,1970,25528,1,0,0,0,1,0,75,6,81,366,158,524,348,0,25528,37,689.9000244140625,524,25528,2.0999999046325684
2019,68,국군간호사관학교,기타,기타,대전,-,58420,3108,61528,62387,3369,65756,1,5,99,0,6,99,135,8,143,1658,1189,2847,2171,1947,65756,0,0.0,2847,65756,4.5
