YR,ID,SNM,STYP,FND,RGN,USC,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS
2022,210,서울신학대학교,대학,사립,경기,C그룹,3016,2213,803,113,178,68,0,3375,2817,2082,735,108,190,69,0,3184,0,46473,654,419,91,31,87,1282,4677,8505,1717,270,1533,16702,0,0,40,1325,6,69,92,36,80,0,0,18,446,13182,3016,4.400000095367432,46473,3016,15.399999618530272
2022,211,서울여자간호대학교,전문대학,사립,서울,C그룹,918,918,0,27,57,29,36,1067,919,919,0,27,45,27,60,1078,0,4400,161,0,8,10,1,180,666,0,31,43,2896,3636,0,0,4,20,5,0,0,0,0,26,47,1,63,666,918,0.699999988079071,4400,918,4.800000190734863
2022,212,서울여자대학교,대학,사립,서울,B그룹,7361,7130,231,225,336,203,3002,11127,7256,7008,248,232,341,204,3521,11554,0,166708,2115,142,165,188,217,2827,13425,1968,3988,2906,146349,168636,0,0,5,22,17,232,485,148,119,61,1748,4,1106,15393,7361,2.0999999046325684,166708,7361,22.600000381469727
2022,213,서울예술대학교,전문대학,사립,경기,B그룹,3147,3147,0,87,362,63,3,3662,3094,3094,0,85,364,62,27,3632,0,18570,1215,0,38,42,2,1297,4626,0,377,858,0,5861,0,0,0,0,0,4,0,21,0,0,0,1,931,4626,3147,1.5,18570,3147,5.900000095367432
2022,214,서울외국어대학원대학교,대학원대학,사립,서울,-,182,0,182,12,29,6,0,229,189,0,189,9,34,3,0,235,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0.0,182,182,1.0
2022,215,서울장신대학교,대학,사립,경기,C그룹,716,389,327,36,48,26,297,1123,639,323,316,35,48,22,308,1052,0,752,55,83,13,9,1,161,422,1425,307,56,325,2535,0,0,0,6,16,0,0,14,10,39,48,0,0,1847,716,2.5999999046325684,752,716,1.100000023841858
2022,216,서울한영대학교,대학,사립,서울,C그룹,920,685,235,34,50,41,506,1551,900,655,245,33,63,41,521,1558,0,3833,67,31,25,19,15,157,473,336,395,231,592,2027,0,0,211,148,72,81,48,107,6,0,0,11,302,809,920,0.8999999761581421,3833,920,4.199999809265137
2022,217,서원대학교,대학,사립,충북,B그룹,6956,6771,185,244,309,143,0,7652,6789,6644,145,234,326,141,1,7491,0,110124,1056,12,114,130,1,1313,9856,36,2857,2464,19,15232,0,0,0,27,13,46,144,67,20,0,0,6,1186,9892,6956,1.399999976158142,110124,6956,15.800000190734863
2022,218,서일대학교,전문대학,사립,서울,A그룹,5678,5678,0,166,428,58,0,6330,5872,5872,0,171,433,54,0,6530,0,7405,207,0,49,28,0,284,2859,0,741,334,0,3934,0,0,0,0,8,3,9,4,14,0,0,1,61,2859,5678,0.5,7405,5678,1.2999999523162842
2022,219,서정대학교,전문대학,사립,경기,A그룹,6197,6197,0,157,436,92,5970,12852,6635,6635,0,166,574,94,0,7469,0,1622,46,0,14,12,0,72,317,0,48,77,57,499,0,0,5,20,0,0,0,0,0,0,0,0,0,317,6197,0.1000000014901161,1622,6197,0.3000000119209289
2022,220,서해대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,221,선교청대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,222,선린대학교,전문대학,사립,경북,C그룹,2151,2151,0,76,105,39,0,2371,2111,2111,0,73,109,40,0,2333,0,7505,104,0,17,19,0,140,1125,0,196,103,0,1424,0,0,152,83,0,0,0,0,0,0,0,0,0,1125,2151,0.5,7505,2151,3.5
2022,223,선문대학교,대학,사립,충남,B그룹,9619,9257,362,339,408,237,47,10650,9528,9174,354,315,393,225,116,10577,0,91994,1759,124,209,153,62,2307,10770,1624,3772,2740,60391,79297,0,0,17,49,82,114,156,191,70,37,688,52,2206,12394,9619,1.2999999523162842,91994,9619,9.600000381469728
2022,224,선학유피대학원대학교,대학원대학,사립,경기,-,77,0,77,4,8,25,40,154,96,0,96,5,8,22,35,166,0,964,0,60,4,6,19,89,0,1441,77,47,59,1624,0,0,57,145,119,0,0,0,0,4,67,0,0,1441,77,18.700000762939453,964,77,12.5
2022,225,성결대학교,대학,사립,경기,B그룹,5774,5418,356,217,270,123,1622,8006,5695,5290,405,200,315,128,1643,7981,0,40935,751,107,94,89,27,1068,13838,3645,2609,1629,4951,26672,0,0,1700,2000,75,6,55,15,20,11,192,2,504,17483,5774,3.0,40935,5774,7.099999904632568
2022,226,성공회대학교,대학,사립,서울,C그룹,2390,2056,334,88,200,83,136,2897,2253,1931,322,88,225,84,270,2920,0,11245,491,160,110,33,35,829,3564,1587,1810,429,5020,12410,0,0,2,5,17,96,152,69,20,0,0,0,0,5151,2390,2.200000047683716,11245,2390,4.699999809265137
2022,227,성균관대학교,대학,사립,서울,A그룹,27431,18882,8549,1496,2060,423,21060,52470,26851,18298,8553,1525,2179,479,17626,48660,0,2674517,8594,3792,681,241,1059,14367,69905,50126,16264,3740,66521,206556,0,0,12180,8731,4835,1832,892,2220,2210,107,4166,0,0,120031,27431,4.400000095367432,2674517,27431,97.5
2022,228,성산효대학원대학교,대학원대학,사립,인천,-,177,0,177,13,18,10,15,233,203,0,203,13,20,13,13,262,0,52,0,12,9,5,0,26,0,173,139,51,0,363,0,0,3,8,0,0,0,0,0,0,0,0,0,173,177,1.0,52,177,0.3000000119209289
2022,229,성서침례대학원대학교,대학원대학,사립,경기,-,54,0,54,6,3,4,248,315,57,0,57,6,2,4,279,348,0,1470,0,33,6,3,2,44,0,1597,41,6,30,1674,0,0,24,15,0,0,0,0,0,0,0,0,0,1597,54,29.600000381469727,1470,54,27.200000762939453
