Year,ID,SchName,SchType,FoundType,Region,UnivScale,VolunteerUserCnt_VolunteerTC_PrevYear_StCount,VolunteerUserCnt_VolunteerTC_PrevYear_Undergrad,VolunteerUserCnt_VolunteerTC_PrevYear_GradSt,VolunteerUserCnt_VolunteerTC_PrevYear_FullFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_PartFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_Staff,VolunteerUserCnt_VolunteerTC_PrevYear_Other,VolunteerUserCnt_VolunteerTC_PrevYear_TotalSum,VolunteerUserCnt_VolunteerTC_CurrYear_StCount,VolunteerUserCnt_VolunteerTC_CurrYear_Undergrad,VolunteerUserCnt_VolunteerTC_CurrYear_GradSt,VolunteerUserCnt_VolunteerTC_CurrYear_FullFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_PartFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_Staff,VolunteerUserCnt_VolunteerTC_CurrYear_Other,VolunteerUserCnt_VolunteerTC_CurrYear_TotalSum,VolunteerUserCnt_DeptCnt,VolunteerUserCnt_UserCnt_LibUserCnt,LoanStatus_LoanUserCnt_Undergrad,LoanStatus_LoanUserCnt_GradSt,LoanStatus_LoanUserCnt_Faculty,LoanStatus_LoanUserCnt_Staff,LoanStatus_LoanUserCnt_Other,LoanStatus_LoanUserCnt_TotalSum,LoanStatus_LoanBookCnt_Undergrad,LoanStatus_LoanBookCnt_GradSt,LoanStatus_LoanBookCnt_Faculty,LoanStatus_LoanBookCnt_Staff,LoanStatus_LoanBookCnt_Other,LoanStatus_LoanBookCnt_TotalSum,RefCollab_RefBefore2010_Request,RefCollab_RefBefore2010_Provided,RefCollab_RefAfter2010_Consultation,RefCollab_RefAfter2010_Phone,RefCollab_RefAfter2010_Online,RefCollab_RefLoan_Request,RefCollab_RefLoan_Provided,RefCollab_RefCopy_Request,RefCollab_RefCopy_Provided,UserEdu_OnsiteEduUser_EduCount,UserEdu_OnsiteEduUser_EduPartCnt,UserEdu_RemoteEduUser_EduCount,UserEdu_RemoteEduUser_EduPartCnt,LoanPerSt_LoanBookCnt,LoanPerSt_StCountPrev,LoanPerSt_LoanPerSt,VisitPerSt_VisitCnt,VisitPerSt_StCountPrev,VisitPerSt_VisitPerSt
2021,33,경북대학교,대학,국립,대구,A그룹,27862,22303,5559,1348,1618,963,0,31791,27380,21556,5824,1360,1752,1073,11312,42877,0,1306658,4843,1005,774,343,3671,10636,32474,10695,11561,4482,113366,172578,0,0,19142,17590,489,692,1116,1754,6414,0,0,111,1630,43169,27862,1.5,1306658,27862,46.900001525878906
2021,34,경북보건대학교,전문대학,사립,경북,C그룹,1250,1250,0,40,86,32,0,1408,1233,1233,0,128,88,35,0,1484,0,0,152,0,16,20,2,190,5789,0,454,366,30,6639,0,0,0,0,0,0,0,0,0,0,0,0,0,5789,1250,4.599999904632568,0,1250,0.0
2021,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2021,36,경북전문대학교,전문대학,사립,경북,B그룹,2853,2853,0,83,193,69,0,3198,2736,2736,0,279,198,72,0,3285,0,99600,272,0,26,52,2,352,1407,0,153,522,7,2089,0,0,716,179,4,1,0,0,0,0,0,1,188,1407,2853,0.5,99600,2853,34.900001525878906
2021,37,경상국립대학교,대학,국립,경남,A그룹,21509,19021,2488,1008,1459,690,14032,38698,20962,18301,2661,1019,1451,880,15240,39552,0,286869,5504,531,753,439,2474,9701,34858,5352,11597,4945,30159,86911,0,0,5661,3352,558,378,227,1233,7150,1,27,11,123,40210,21509,1.899999976158142,286869,21509,13.300000190734863
2021,38,경성대학교,대학,사립,부산,A그룹,13025,12454,571,438,568,275,5140,19446,12972,12396,576,455,606,285,4617,18935,0,17198,2217,150,288,131,176,2962,48976,3468,8127,3867,3376,67814,0,0,1996,2585,688,102,302,193,189,0,0,195,7097,52444,13025,4.0,17198,13025,1.2999999523162842
2021,39,경안대학원대학교,대학원대학,사립,경북,-,56,0,56,6,12,3,0,77,58,0,58,23,17,3,0,101,0,20,0,7,0,2,0,9,0,29,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,29,56,0.5,20,56,0.4000000059604645
2021,40,경운대학교,대학,사립,경북,C그룹,4464,4338,126,195,207,148,10,5024,4518,4397,121,197,189,154,10,5068,0,25230,631,5,67,37,0,740,4536,71,1452,434,0,6493,0,0,17,262,1,18,26,22,3,0,0,2,463,4607,4464,1.0,25230,4464,5.699999809265137
2021,41,경인교육대학교,대학,국립,인천,C그룹,3913,2667,1246,133,285,180,754,5265,3973,2630,1343,131,283,180,665,5232,0,213844,1966,282,138,77,18,2481,28520,4293,3116,1729,4077,41735,0,0,198,996,73,129,65,80,19,0,0,23,449,32813,3913,8.399999618530273,213844,3913,54.59999847412109
2021,42,경인여자대학교,전문대학,사립,인천,B그룹,4722,4722,0,115,203,59,327,5426,4585,4585,0,312,200,59,328,5484,0,484364,259,0,39,34,230,562,9064,0,710,419,1386,11579,0,0,42,84,240,0,0,108,0,0,0,1,186,9064,4722,1.899999976158142,484364,4722,102.5999984741211
