Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountCurr,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2013A,BgtGrowth3Y_MatCostSettle_2014B,BgtGrowth3Y_MatCostSettle_2015C,BgtGrowth3Y_BgtGrowth3Y
2015,40,경운대학교,대학,사립,경북,C그룹,54935072000,102945670,30777050,5020000,62758911,13601951,0,59633000,274736582,50129151000,100000000,33000000,6000000,65000000,14000000,0,46000000,264000000,274736582,5211,52722.4,274736582,54935072000,0.5,249778826,301762190,274736582,5.9
2015,41,경인교육대학교,대학,국립,인천,C그룹,42559741000,293531770,37624810,1446430,0,96389550,0,29154520,458147080,43284617000,260000000,40400000,2000000,0,92400000,0,28000000,422800000,458147080,4274,107194.0,458147080,42559741000,1.1,564236110,479338870,458147080,-9.7
2015,42,경인여자대학교,전문대학,사립,인천,B그룹,46337222000,90720300,15658356,9409230,5190000,2150350,0,49000000,172128236,49551483000,98000000,11896000,5000000,6370000,0,0,50000000,171266000,172128236,4950,34773.4,172128236,46337222000,0.4,162094136,155964842,172128236,3.3
2015,43,경일대학교,대학,사립,경북,B그룹,74617779000,203490860,19801910,11961360,98766884,16635655,0,64658000,415314669,71063752000,180000000,20000000,12000000,113000000,20000000,0,70000000,415000000,415314669,7512,55286.8,415314669,74617779000,0.6,212311584,186073573,415314669,55.4
2015,44,경찰대학,기타,기타,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2015,45,경희대학교,대학,사립,서울,A그룹,477093227000,543399313,247349910,20470510,3150475996,872777466,0,137977759,4972450954,485000749000,382500000,294200000,18000000,3066800000,695500000,0,114810000,4571810000,4972450954,32961,150858.6,4972450954,477093227000,1.0,7287653072,5425511208,4972450954,-17.0
2015,46,계명대학교,대학,사립,대구,A그룹,290924676000,963092192,246624908,51098005,1245708039,537551812,0,72926169,3117001125,301882636000,725000000,230000000,20000000,1327000000,579300000,0,85000000,2966300000,3117001125,25445,122499.6,3117001125,290924676000,1.1,3217987165,2849632412,3117001125,-1.0
2015,47,계명문화대학교,전문대학,사립,대구,A그룹,73599267000,96651638,8657510,9999687,4950000,4900000,0,40547529,165706364,55200000000,95000000,15000000,15000000,4000000,7000000,0,29000000,165000000,165706364,5283,31366.0,165706364,73599267000,0.2,203009567,170614726,165706364,-9.4
2015,48,계약신학대학원대학교,대학원대학,사립,경기,-,1658731000,2610730,100000,0,0,0,0,0,2710730,992083000,3000000,0,0,0,0,0,0,3000000,2710730,51,53151.6,2710730,1658731000,0.2,3099390,3983200,2710730,-1.7
2015,49,계원예술대학교,전문대학,사립,경기,B그룹,32476030000,117825200,41768472,7881570,9069000,8085270,0,32906400,217535912,30020602000,100000000,40000000,7000000,9500000,8500000,0,25000000,190000000,217535912,2889,75298.0,217535912,32476030000,0.7,259932763,259341695,217535912,-8.2
2015,50,고려대학교,대학,사립,서울,A그룹,690677812000,660877610,585329557,9529300,3636883892,907497022,0,829455535,6629572916,699821406000,727461000,577794000,13000000,3951241000,956081000,0,558725000,6784302000,6629572916,29511,224647.5,6629572916,690677812000,1.0,6641736632,6511932705,6629572916,-0.1
2015,51,고려대학교(세종),대학,사립,세종,B그룹,0,77934990,30157122,4111080,218609870,181358381,0,70666500,582837943,0,82000000,28200000,5400000,235000000,193000000,0,70000000,613600000,582837943,7982,73019.0,582837943,0,0.0,650000000,594184934,582837943,-5.2
2015,52,고려사이버대학교,대학,사립,서울,A그룹,37307457000,0,0,0,0,0,0,29797000,29797000,35475716000,0,0,0,15000000,15000000,0,0,30000000,29797000,10044,2966.6,29797000,37307457000,0.1,30000000,12000000,29797000,44.2
2015,53,고신대학교,대학,사립,부산,C그룹,53120438000,126811638,185568478,3925560,292968639,93376097,0,24837490,727487902,55730807000,130000000,197400000,8000000,357000000,37000000,0,15000000,744400000,727487902,5249,138595.5,727487902,53120438000,1.4,620524444,418501014,727487902,20.6
2015,54,공군사관학교,기타,기타,충북,-,0,90227320,17367100,7160000,21829000,0,0,6573000,143156420,0,90000000,17000000,6600000,23384000,0,0,7380000,144364000,143156420,0,0.0,143156420,0,0.0,139021960,122845000,143156420,2.4
2015,55,공주교육대학교,대학,국립,충남,C그룹,21451096000,105413000,10929000,0,28455000,4000000,0,3260000,152057000,22051866000,80000000,5000000,0,30000000,5000000,0,0,120000000,152057000,2040,74537.7,152057000,21451096000,0.7,117536400,121782000,152057000,14.2
2015,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,20366028000,0,0,0,0,62579170,0,156995934,219575104,30061000000,0,0,0,0,60000000,0,185000000,245000000,219575104,1076,204066.1,219575104,20366028000,1.1,15000000,15047671,219575104,679.8
