YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS
2017,79,국립창원대학교,대학,국립,경남,B그룹,15603,2283,36,117,153,15603,10088,1.5
2017,80,국립한국교통대학교,대학,국립,충북,B그룹,15409,1822,25,180,205,15409,9302,1.7000000476837158
2017,81,국립한국해양대학교,대학,국립,부산,B그룹,7566,1345,20,94,114,7566,7840,1.0
2017,82,국립한밭대학교,대학,국립,대전,B그룹,10366,1646,24,40,64,10366,8965,1.2000000476837158
2017,83,국민대학교,대학,사립,서울,A그룹,13342,2484,56,116,172,13342,18182,0.699999988079071
2017,84,국방대학교,기타,기타,충남,-,8109,300,29,60,89,8109,0,0.0
2017,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,194,20,1,5,6,194,267,0.699999988079071
2017,86,국제대학교,전문대학,사립,경기,B그룹,658,212,7,28,35,658,4289,0.2000000029802322
2017,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0.0
2017,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,583,120,0,0,0,583,88,6.599999904632568
2017,89,국제사이버대학교,대학,사립,경기,C그룹,0,0,2,4,6,0,2764,0.0
2017,90,국제언어대학원대학교,대학원대학,사립,서울,-,396,42,2,7,9,396,82,4.800000190734863
2017,91,국제예술대학교,기타,기타,서울,-,45,15,1,6,7,45,0,0.0
2017,92,군산간호대학교,전문대학,사립,전북,C그룹,817,226,3,38,41,817,1112,0.699999988079071
2017,93,군장대학교,전문대학,사립,전북,C그룹,712,328,3,20,23,712,1918,0.4000000059604645
2017,94,극동대학교,대학,사립,충북,C그룹,1957,755,8,71,79,1957,4293,0.5
2017,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,2133,0.0
2017,96,금강대학교,대학,사립,충남,C그룹,10475,567,9,46,55,10475,548,19.100000381469727
2017,97,기독간호대학교,전문대학,사립,광주,C그룹,369,137,2,3,5,369,637,0.6000000238418579
2017,98,김천대학교,대학,사립,경북,C그룹,2718,830,6,36,42,2718,3758,0.699999988079071
2017,99,김포대학교,전문대학,사립,경기,C그룹,2036,566,6,18,24,2036,3331,0.6000000238418579
2017,100,김해대학교,전문대학,사립,경남,C그룹,1305,241,2,1,3,1305,1378,0.8999999761581421
2017,101,나사렛대학교,대학,사립,충남,B그룹,3653,613,17,49,66,3653,5861,0.6000000238418579
2017,102,나주대학교,전문대학,사립,전남,C그룹,367,150,3,35,38,367,2131,0.2000000029802322
2017,103,남부대학교,대학,사립,광주,C그룹,3000,969,6,21,27,3000,3396,0.8999999761581421
2017,104,남서울대학교,대학,사립,충남,B그룹,15937,1796,19,85,104,15937,10310,1.5
2017,105,농협대학교,전문대학,사립,경기,C그룹,906,93,1,15,16,906,523,1.7000000476837158
2017,106,능인대학원대학교,대학원대학,사립,경기,-,399,42,2,2,4,399,72,5.5
2017,107,단국대학교,대학,사립,경기,A그룹,34167,5449,33,296,329,34167,27070,1.2999999523162842
2017,108,대경대학교,전문대학,사립,경북,B그룹,1176,365,1,18,19,1176,4276,0.3000000119209289
2017,109,대구가톨릭대학교,대학,사립,경북,A그룹,19514,2748,36,191,227,19514,15341,1.2999999523162842
2017,110,대구경북과학기술원,대학,국립,대구,C그룹,11833,719,7,159,166,11833,911,13.0
2017,111,대구공업대학교,전문대학,사립,대구,C그룹,1864,250,4,22,26,1864,1879,1.0
2017,112,대구과학대학교,전문대학,사립,대구,A그룹,5679,1286,6,58,64,5679,4352,1.2999999523162842
2017,113,대구교육대학교,대학,국립,대구,C그룹,5048,1019,15,71,86,5048,2718,1.899999976158142
2017,114,대구대학교,대학,사립,경북,A그룹,21502,2922,62,246,308,21502,20572,1.0
2017,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2017,116,대구보건대학교,전문대학,사립,대구,A그룹,3918,925,9,31,40,3918,6858,0.6000000238418579
2017,117,대구사이버대학교,대학,사립,경북,C그룹,0,0,3,0,3,0,4382,0.0
2017,118,대구예술대학교,대학,사립,경북,C그룹,527,76,4,36,40,527,1432,0.4000000059604645
2017,119,대구외국어대학교,대학,사립,경북,C그룹,503,168,2,2,4,503,334,1.5
2017,120,대구한의대학교,대학,사립,경북,B그룹,8787,1024,19,77,96,8787,7499,1.2000000476837158
2017,121,대덕대학교,전문대학,사립,대전,C그룹,1398,349,15,41,56,1398,4266,0.3000000119209289
2017,122,대동대학교,전문대학,사립,부산,C그룹,1010,273,2,38,40,1010,1590,0.6000000238418579
2017,123,대림대학교,전문대학,사립,경기,A그룹,4105,924,22,234,256,4105,6517,0.6000000238418579
2017,124,대신대학교,대학,사립,경북,C그룹,2183,278,6,10,16,2183,493,4.400000095367432
2017,125,대원대학교,전문대학,사립,충북,C그룹,1331,475,4,26,30,1331,2667,0.5
2017,126,대전가톨릭대학교,대학,사립,세종,C그룹,1900,276,9,17,26,1900,116,16.399999618530273
2017,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12477,1591,21,75,96,12477,4696,2.700000047683716
2017,128,대전대학교,대학,사립,대전,B그룹,15210,1769,24,146,170,15210,10612,1.399999976158142
2017,129,대전보건대학교,전문대학,사립,대전,A그룹,2988,796,16,48,64,2988,5901,0.5
2017,130,대전신학대학교,대학,사립,대전,C그룹,1991,213,3,12,15,1991,282,7.099999904632568
2017,131,대진대학교,대학,사립,경기,B그룹,13994,1918,18,57,75,13994,8202,1.7000000476837158
2017,132,대한신학대학원대학교,대학원대학,사립,경기,-,204,42,3,1,4,204,327,0.6000000238418579
2017,133,덕성여자대학교,대학,사립,서울,B그룹,11122,1915,35,133,168,11122,6284,1.7999999523162842
2017,134,동강대학교,전문대학,사립,광주,B그룹,4242,1268,8,28,36,4242,3350,1.2999999523162842
2017,135,동국대학교,대학,사립,서울,A그룹,23571,2927,52,109,161,23571,17358,1.399999976158142
2017,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,12744,1613,30,123,153,12744,8669,1.5
2017,137,동남보건대학교,전문대학,사립,경기,A그룹,5665,1044,10,57,67,5665,4892,1.2000000476837158
2017,138,동덕여자대학교,대학,사립,서울,B그룹,8580,1647,27,200,227,8580,7397,1.2000000476837158
2017,139,동명대학교,대학,사립,부산,B그룹,10169,1470,23,58,81,10169,8709,1.2000000476837158
2017,140,동방문화대학원대학교,대학원대학,사립,서울,-,269,30,1,9,10,269,223,1.2000000476837158
2017,141,동부산대학교,전문대학,사립,부산,C그룹,2296,460,6,27,33,2296,2381,1.0
2017,142,동서대학교,대학,사립,부산,B그룹,14345,3203,23,138,161,14345,11432,1.2999999523162842
2017,143,동서울대학교,전문대학,사립,경기,A그룹,4501,847,11,50,61,4501,5715,0.800000011920929
2017,144,동신대학교,대학,사립,전남,B그룹,12927,1120,13,54,67,12927,7627,1.7000000476837158
2017,145,동아대학교,대학,사립,부산,A그룹,13295,2997,58,243,301,13295,21958,0.6000000238418579
2017,146,동아방송예술대학교,전문대학,사립,경기,B그룹,1241,257,7,43,50,1241,3056,0.4000000059604645
2017,147,동아보건대학교,전문대학,사립,전남,C그룹,2013,266,3,20,23,2013,2006,1.0
2017,148,동양대학교,대학,사립,경북,C그룹,5625,877,8,34,42,5625,4585,1.2000000476837158
2017,149,동양미래대학교,전문대학,사립,서울,A그룹,5827,1000,30,133,163,5827,5950,1.0
2017,150,동우대학,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0.0
2017,151,동원과학기술대학교,전문대학,사립,경남,B그룹,6133,373,5,65,70,6133,2088,2.900000095367432
2017,152,동원대학교,전문대학,사립,경기,B그룹,1591,162,9,51,60,1591,3841,0.4000000059604645
2017,153,동의과학대학교,전문대학,사립,부산,B그룹,1999,509,6,35,41,1999,5465,0.4000000059604645
2017,154,동의대학교,대학,사립,부산,A그룹,13566,2711,33,98,131,13566,16555,0.800000011920929
2017,155,두원공과대학교,전문대학,사립,경기,B그룹,3653,584,11,73,84,3653,5982,0.6000000238418579
2017,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,0,0,1,2,3,0,3813,0.0
2017,157,루터대학교,대학,사립,경기,C그룹,552,110,5,7,12,552,449,1.2000000476837158
2017,158,마산대학교,전문대학,사립,경남,A그룹,4360,957,9,77,86,4360,5875,0.699999988079071
2017,159,명신대학교,대학,사립,전남,C그룹,0,0,0,0,0,0,0,0.0
2017,160,명지대학교,대학,사립,서울,A그룹,35564,3942,47,390,437,35564,16153,2.200000047683716
2017,161,명지전문대학,전문대학,사립,서울,A그룹,4566,878,10,42,52,4566,6986,0.699999988079071
2017,162,목원대학교,대학,사립,대전,B그룹,9092,1509,22,67,89,9092,9185,1.0
2017,163,목포가톨릭대학교,대학,사립,전남,C그룹,803,195,3,11,14,803,570,1.399999976158142
2017,164,목포과학대학교,전문대학,사립,전남,B그룹,3510,419,5,6,11,3510,2504,1.399999976158142
2017,165,문경대학교,전문대학,사립,경북,C그룹,743,198,3,6,9,743,864,0.8999999761581421
2017,166,배재대학교,대학,사립,대전,B그룹,8736,1598,24,92,116,8736,9896,0.8999999761581421
2017,167,배화여자대학교,전문대학,사립,서울,B그룹,5680,667,6,72,78,5680,3130,1.7999999523162842
2017,168,백석대학교,대학,사립,충남,A그룹,13383,2966,18,136,154,13383,14788,0.8999999761581421
2017,169,백석문화대학교,전문대학,사립,충남,A그룹,3109,404,35,75,110,3109,5873,0.5
2017,170,백석예술대학,전문대학,사립,서울,A그룹,0,0,0,0,0,0,0,0.0
2017,171,백제예술대학교,전문대학,사립,전북,C그룹,1355,135,3,11,14,1355,1754,0.800000011920929
2017,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198,16,3,1,4,198,87,2.299999952316284
2017,173,벽성대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0.0
2017,174,부산가톨릭대학교,대학,사립,부산,C그룹,5686,886,20,57,77,5686,4209,1.399999976158142
2017,175,부산경상대학교,전문대학,사립,부산,B그룹,3823,876,7,42,49,3823,3087,1.2000000476837158
2017,176,부산과학기술대학교,전문대학,사립,부산,B그룹,3117,590,7,45,52,3117,4357,0.699999988079071
2017,177,부산교육대학교,대학,국립,부산,C그룹,6023,818,16,41,57,6023,2546,2.400000095367432
2017,178,부산대학교,대학,국립,부산,A그룹,35855,5450,120,286,406,35855,29618,1.2000000476837158
2017,179,부산디지털대학교,대학,사립,부산,C그룹,50,16,1,3,4,50,2412,0.0
2017,180,부산보건대학교,전문대학,사립,부산,B그룹,2471,657,10,36,46,2471,3472,0.699999988079071
2017,181,부산여자대학교,전문대학,사립,부산,C그룹,5131,549,13,44,57,5131,3056,1.7000000476837158
2017,182,부산예술대학교,전문대학,사립,부산,C그룹,1067,80,3,8,11,1067,862,1.2000000476837158
2017,183,부산외국어대학교,대학,사립,부산,B그룹,12328,2034,25,147,172,12328,9538,1.2999999523162842
2017,184,부산장신대학교,대학,사립,경남,C그룹,1041,206,5,25,30,1041,512,2.0
2017,185,부천대학교,전문대학,사립,경기,A그룹,4606,810,14,81,95,4606,7669,0.6000000238418579
2017,186,삼육대학교,대학,사립,서울,B그룹,6771,1416,21,104,125,6771,6006,1.100000023841858
2017,187,삼육보건대학교,전문대학,사립,서울,C그룹,1280,285,6,45,51,1280,1356,0.8999999761581421
2017,188,상명대학교,대학,사립,서울,A그룹,13456,2226,65,212,277,13456,14952,0.8999999761581421
2017,189,상지대학교,대학,사립,강원,B그룹,11344,1494,26,118,144,11344,7620,1.5
2017,190,상지영서대학교,전문대학,사립,강원,B그룹,2152,379,7,105,112,2152,2854,0.800000011920929
2017,191,서강대학교,대학,사립,서울,A그룹,16051,2832,88,100,188,16051,11174,1.399999976158142
2017,192,서경대학교,대학,사립,서울,B그룹,9012,1538,18,238,256,9012,7190,1.2999999523162842
2017,193,서남대학교,대학,사립,전북,C그룹,1906,538,2,2,4,1906,1758,1.100000023841858
2017,194,서라벌대학교,전문대학,사립,경북,C그룹,1063,354,3,13,16,1063,872,1.2000000476837158
2017,195,서영대학교,전문대학,사립,광주,A그룹,2438,662,6,28,34,2438,5094,0.5
2017,196,서울과학기술대학교,대학,국립,서울,A그룹,14177,2210,36,74,110,14177,12407,1.100000023841858
2017,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,108,35,3,1,4,108,368,0.3000000119209289
2017,198,서울교육대학교,대학,국립,서울,C그룹,4480,823,18,73,91,4480,2996,1.5
2017,199,서울기독대학교,대학,사립,서울,C그룹,614,145,5,9,14,614,761,0.800000011920929
2017,200,서울대학교,대학,국립,서울,A그룹,78226,9448,163,540,703,78226,28630,2.700000047683716
2017,201,서울디지털대학교,대학,사립,서울,A그룹,10,0,1,1,2,10,10833,0.0
2017,202,서울미디어대학원대학교,대학원대학,사립,서울,-,379,76,1,4,5,379,104,3.5999999046325684
2017,203,서울벤처대학원대학교,대학원대학,사립,서울,-,33,10,0,4,4,33,256,0.1000000014901161
2017,204,서울불교대학원대학교,대학원대학,사립,서울,-,218,48,1,3,4,218,172,1.2999999523162842
2017,205,서울사이버대학교,대학,사립,서울,A그룹,122,16,1,4,5,122,11143,0.0
2017,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,158,24,2,1,3,158,96,1.600000023841858
2017,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,429,105,4,6,10,429,97,4.400000095367432
2017,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,252,73,2,3,5,252,86,2.900000095367432
2017,209,서울시립대학교,대학,공립,서울,A그룹,15482,2503,54,193,247,15482,11793,1.2999999523162842
2017,210,서울신학대학교,대학,사립,경기,C그룹,4529,752,39,47,86,4529,3170,1.399999976158142
2017,211,서울여자간호대학교,전문대학,사립,서울,C그룹,1195,319,3,14,17,1195,966,1.2000000476837158
2017,212,서울여자대학교,대학,사립,서울,B그룹,10446,1878,40,128,168,10446,8058,1.2999999523162842
2017,213,서울예술대학교,전문대학,사립,경기,B그룹,1092,144,9,22,31,1092,3136,0.3000000119209289
2017,214,서울외국어대학원대학교,대학원대학,사립,서울,-,73,59,0,0,0,73,155,0.5
2017,215,서울장신대학교,대학,사립,경기,C그룹,1603,336,3,38,41,1603,852,1.899999976158142
2017,216,서울한영대학교,대학,사립,서울,C그룹,1385,216,7,20,27,1385,1090,1.2999999523162842
2017,217,서원대학교,대학,사립,충북,B그룹,8162,1684,17,101,118,8162,7493,1.100000023841858
2017,218,서일대학교,전문대학,사립,서울,A그룹,2519,613,15,37,52,2519,6524,0.4000000059604645
2017,219,서정대학교,전문대학,사립,경기,A그룹,1157,306,7,12,19,1157,4488,0.3000000119209289
2017,220,서해대학,전문대학,사립,전북,C그룹,916,282,3,2,5,916,1247,0.699999988079071
2017,221,선교청대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0.0
2017,222,선린대학교,전문대학,사립,경북,C그룹,1140,385,5,12,17,1140,2606,0.4000000059604645
2017,223,선문대학교,대학,사립,충남,B그룹,12957,2036,29,159,188,12957,10054,1.2999999523162842
2017,224,선학유피대학원대학교,대학원대학,사립,경기,-,1657,69,3,14,17,1657,75,22.100000381469727
2017,225,성결대학교,대학,사립,경기,B그룹,9203,1212,28,95,123,9203,6054,1.5
2017,226,성공회대학교,대학,사립,서울,C그룹,4071,639,11,46,57,4071,2516,1.600000023841858
2017,227,성균관대학교,대학,사립,서울,A그룹,38977,6874,154,765,919,38977,26654,1.5
2017,228,성산효대학원대학교,대학원대학,사립,인천,-,213,24,2,4,6,213,236,0.8999999761581421
2017,229,성서침례대학원대학교,대학원대학,사립,경기,-,528,119,1,2,3,528,49,10.800000190734863
2017,230,성신여자대학교,대학,사립,서울,A그룹,12298,2308,35,130,165,12298,10445,1.2000000476837158
2017,231,성운대학교,전문대학,사립,경북,C그룹,604,160,2,14,16,604,1364,0.4000000059604645
2017,232,성화대학,전문대학,사립,전남,B그룹,0,0,0,0,0,0,0,0.0
2017,233,세경대학교,전문대학,사립,강원,C그룹,449,152,1,4,5,449,941,0.5
2017,234,세계사이버대학,기타,기타,경기,-,0,0,0,0,0,0,0,0.0
2017,235,세명대학교,대학,사립,충북,B그룹,11570,1748,27,138,165,11570,8347,1.399999976158142
2017,236,세종대학교,대학,사립,서울,A그룹,17313,3831,31,403,434,17313,13968,1.2000000476837158
2017,237,세한대학교,대학,사립,충남,C그룹,8564,1184,7,62,69,8564,4261,2.0
2017,238,송곡대학교,전문대학,사립,강원,C그룹,293,80,1,2,3,293,751,0.4000000059604645
2017,239,송원대학교,대학,사립,광주,C그룹,3469,643,7,18,25,3469,2587,1.2999999523162842
2017,240,송호대학교,전문대학,사립,강원,C그룹,736,156,4,16,20,736,1007,0.699999988079071
2017,241,수도국제대학원대학교,대학원대학,사립,서울,-,246,56,2,8,10,246,303,0.800000011920929
2017,242,수성대학교,전문대학,사립,대구,B그룹,2514,630,6,29,35,2514,3715,0.699999988079071
2017,243,수원가톨릭대학교,대학,사립,경기,C그룹,2898,161,6,51,57,2898,197,14.699999809265137
2017,244,수원과학대학교,전문대학,사립,경기,B그룹,4791,834,7,64,71,4791,6214,0.800000011920929
2017,245,수원대학교,대학,사립,경기,B그룹,17762,2325,30,60,90,17762,10917,1.600000023841858
2017,246,수원여자대학교,전문대학,사립,경기,B그룹,2041,323,12,41,53,2041,4466,0.5
2017,247,숙명여자대학교,대학,사립,서울,A그룹,16740,2738,56,267,323,16740,12820,1.2999999523162842
2017,248,순복음대학원대학교,대학원대학,사립,서울,-,135,24,1,2,3,135,146,0.8999999761581421
2017,249,순복음총회신학교,대학,사립,충북,C그룹,210,72,2,0,2,210,345,0.6000000238418579
2017,250,순천제일대학교,전문대학,사립,전남,B그룹,4501,504,5,13,18,4501,2576,1.7000000476837158
2017,251,순천향대학교,대학,사립,충남,A그룹,13011,1980,35,110,145,13011,11771,1.100000023841858
2017,252,숭실대학교,대학,사립,서울,A그룹,11575,2777,37,112,149,11575,15399,0.800000011920929
2017,253,숭실사이버대학교,대학,사립,서울,B그룹,0,0,0,0,0,0,5239,0.0
2017,254,숭의여자대학교,전문대학,사립,서울,B그룹,1249,285,11,27,38,1249,3509,0.4000000059604645
2017,255,신경주대학교,대학,사립,경북,C그룹,3409,643,8,33,41,3409,2326,1.5
2017,256,신구대학교,전문대학,사립,경기,A그룹,5567,1558,8,68,76,5567,6761,0.800000011920929
2017,257,신라대학교,대학,사립,부산,B그룹,10720,2045,24,163,187,10720,10544,1.0
2017,258,신성대학교,전문대학,사립,충남,B그룹,3622,1111,9,45,54,3622,4025,0.8999999761581421
2017,259,신안산대학교,전문대학,사립,경기,B그룹,3522,476,9,15,24,3522,4371,0.800000011920929
2017,260,신한대학교,대학,사립,경기,B그룹,7293,1354,17,87,104,7293,6047,1.2000000476837158
2017,261,신흥대학교,전문대학,사립,경기,A그룹,0,0,0,0,0,0,0,0.0
2017,262,실천신학대학원대학교,대학원대학,사립,경기,-,117,25,1,1,2,117,57,2.0999999046325684
2017,263,아신대학교,대학,사립,경기,C그룹,2061,469,4,21,25,2061,1479,1.399999976158142
2017,264,아주대학교,대학,사립,경기,A그룹,17516,2829,60,107,167,17516,14042,1.2000000476837158
2017,265,아주자동차대학교,전문대학,사립,충남,C그룹,412,183,4,6,10,412,1004,0.4000000059604645
2017,266,안동과학대학교,전문대학,사립,경북,B그룹,7391,614,6,56,62,7391,2813,2.5999999046325684
2017,267,안산대학교,전문대학,사립,경기,A그룹,4412,714,15,72,87,4412,4557,1.0
