ID,SNM,STYP,FND,RGN,USC,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
154,동의대학교,대학,사립,부산,A그룹,67.60740976895168,67.49041288187264,67.87870622886857,67.875824,67.87737
155,두원공과대학교,전문대학,사립,경기,B그룹,69.10405094259134,68.0228798406302,68.83900657484365,68.82203,68.82314
156,디지털서울문화예술대학교,대학,사립,서울,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
157,루터대학교,대학,사립,경기,C그룹,68.0322766633647,68.02973736523879,68.09075223929679,68.094376,68.09453
158,마산대학교,전문대학,사립,경남,A그룹,68.26290863321746,68.5201997443156,68.01715204998628,68.008545,68.00924
159,명신대학교,대학,사립,전남,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
160,명지대학교,대학,사립,서울,A그룹,67.93569147411358,67.11401735949508,67.16766678036433,67.17628,67.16815
161,명지전문대학,전문대학,사립,서울,A그룹,68.04944747631242,67.86668448127755,67.85499706701725,67.85704,67.85711
162,목원대학교,대학,사립,대전,B그룹,67.31471429065687,67.3444026414692,67.36296525309047,67.36429,67.36583
163,목포가톨릭대학교,대학,사립,전남,C그룹,67.65948302066184,67.6204622801639,67.73212882797479,67.73895,67.73911
164,목포과학대학교,전문대학,사립,전남,B그룹,69.39850331796852,69.42909955914492,68.78976878097411,68.79337,68.791725
165,문경대학교,전문대학,사립,경북,C그룹,68.20046219580787,68.89154017561741,68.26395831365745,68.255974,68.25702
166,배재대학교,대학,사립,대전,B그룹,67.24884115892971,67.26071151047115,67.43443848809552,67.43668,67.434654
167,배화여자대학교,전문대학,사립,서울,B그룹,68.0465150166765,67.74414425535814,68.19639222401419,68.20589,68.20556
168,백석대학교,대학,사립,충남,A그룹,67.70107478308394,67.50268616908372,67.81871847602181,67.82537,67.82558
169,백석문화대학교,전문대학,사립,충남,A그룹,68.36264308947611,68.39052984606639,68.90827572459652,68.9287,68.93218
170,백석예술대학,전문대학,사립,서울,A그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
171,백제예술대학교,전문대학,사립,전북,C그룹,68.40409951834181,68.93807009835353,68.47229049801597,68.468475,68.46613
172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,71.08403324588629,71.0466787844909,71.0466787844909,71.04654,71.04313
173,벽성대학,전문대학,사립,전북,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
174,부산가톨릭대학교,대학,사립,부산,C그룹,67.53117612777204,67.57559321725067,67.59318759085933,67.597534,67.59718
175,부산경상대학교,전문대학,사립,부산,B그룹,69.08057412782131,68.09438137040357,68.15702535644681,68.156425,68.15559
176,부산과학기술대학교,전문대학,사립,부산,B그룹,68.1740327545376,68.17403275453759,68.13998094874073,68.137566,68.137566
177,부산교육대학교,대학,국립,부산,C그룹,67.53096039460019,67.29176492419802,67.03583400637329,67.008675,67.01417
178,부산대학교,대학,국립,부산,A그룹,73.00391757679618,73.18991361695842,73.8748869416101,73.02545,73.71979
179,부산디지털대학교,대학,사립,부산,C그룹,69.67082288225515,69.63892774496478,69.61189135154993,69.612724,69.61533
180,부산보건대학교,전문대학,사립,부산,B그룹,67.67530321191998,67.66064813401515,67.37887556067056,67.38211,67.38046
181,부산여자대학교,전문대학,사립,부산,C그룹,67.92197870494661,67.96090423858121,67.94022803158674,67.93514,67.93488
182,부산예술대학교,전문대학,사립,부산,C그룹,69.18047242549156,69.19799068048378,69.17593053409982,69.182434,69.182884
183,부산외국어대학교,대학,사립,부산,B그룹,67.3925481818514,67.40260755508552,67.8174168646421,67.80681,67.80642
184,부산장신대학교,대학,사립,경남,C그룹,65.83804711799965,65.53891378737102,66.47634662926656,66.497665,66.49052
185,부천대학교,전문대학,사립,경기,A그룹,67.83009006402582,67.94848996687499,68.10677954144971,68.11139,68.11199
186,삼육대학교,대학,사립,서울,B그룹,67.55297746037317,67.51106339601226,67.58504003613814,67.58389,67.584595
187,삼육보건대학교,전문대학,사립,서울,C그룹,68.08375551316118,68.0645256196397,67.92675396873062,67.93371,67.933876
188,상명대학교,대학,사립,서울,A그룹,67.46912400351549,67.58873615335203,67.74836553735891,67.750854,67.75164
189,상지대학교,대학,사립,강원,B그룹,67.52097152597734,67.5135339294485,67.58099044443654,67.58383,67.584595
190,상지영서대학교,전문대학,사립,강원,B그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
191,서강대학교,대학,사립,서울,A그룹,68.3266568082098,68.83156766602976,69.45098565955008,69.44448,69.43766
192,서경대학교,대학,사립,서울,B그룹,67.35704936681672,67.39574914975375,67.74955352612818,67.75061,67.75157
193,서남대학교,대학,사립,전북,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
194,서라벌대학교,전문대학,사립,경북,C그룹,69.248718537889,69.02135270106875,69.16931599441197,69.16109,69.16343
195,서영대학교,전문대학,사립,광주,A그룹,68.45885064999086,68.43009209451084,68.36802630029976,68.366776,68.367455
196,서울과학기술대학교,대학,국립,서울,A그룹,68.45682183502615,67.76976159114632,67.92001636935562,67.916145,67.91776
197,서울과학종합대학원대학교,대학원대학,사립,서울,-,69.6032507480334,69.14583203136873,68.70266890333156,68.70876,68.70634
198,서울교육대학교,대학,국립,서울,C그룹,66.38044447571359,66.31574514258503,67.11591493698202,67.136986,67.12767
199,서울기독대학교,대학,사립,서울,C그룹,68.1212206787279,69.15156655963558,68.1922101322261,68.18533,68.18571
200,서울대학교,대학,국립,서울,A그룹,74.78238035194833,75.0633355804576,74.54036390517459,74.70106,74.38382
201,서울디지털대학교,대학,사립,서울,A그룹,69.35483127881162,69.38383030802582,69.37655236436088,69.38574,69.39007
202,서울미디어대학원대학교,대학원대학,사립,서울,-,69.2800209998843,68.82522639372989,69.20494621680268,69.19835,69.197
203,서울벤처대학원대학교,대학원대학,사립,서울,-,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
204,서울불교대학원대학교,대학원대학,사립,서울,-,69.6154314444296,69.55927993949456,69.51152175457496,69.507195,69.50504
205,서울사이버대학교,대학,사립,서울,A그룹,69.53017667480093,69.53017667480093,69.51951665037838,69.51971,69.51846
206,서울사회복지대학원대학교,대학원대학,사립,서울,-,69.50043051246256,69.01237514938585,69.25519604358593,69.25738,69.25512
207,서울상담심리대학원대학교,대학원대학,사립,서울,-,70.92706246592965,70.97108489927768,70.97108489927768,70.9751,70.9758
208,서울성경신학대학원대학교,대학원대학,사립,서울,-,71.07961913283104,71.07961913283104,71.09070121783894,71.08762,71.085785
209,서울시립대학교,대학,공립,서울,A그룹,68.16967346341578,68.62926452802058,70.46693520776644,70.430214,70.43778
210,서울신학대학교,대학,사립,경기,C그룹,68.33088476104142,67.891671971093,67.60928006484504,67.60353,67.60329
211,서울여자간호대학교,전문대학,사립,서울,C그룹,67.12295347126492,68.07697261566031,67.96283191588232,67.960526,67.95369
212,서울여자대학교,대학,사립,서울,B그룹,66.94133482683428,66.88497450986763,67.08215640508688,67.05453,67.05251
