Year,ID,SchName,SchType,FoundType,Region,UnivScale,Facility_LibAreaSqm,Facility_ReadSeat_TotSeats,Facility_Equip_StaffPCs,Facility_Equip_UserPCs,Facility_Equip_TotalPCs,AreaPerSt_Area,AreaPerSt_StCountCurr,AreaPerSt_AreaPerSt
2014,80,국립한국교통대학교,대학,국립,충북,B그룹,10638,1400,28,137,165,10638,9885,1.100000023841858
2014,81,국립한국해양대학교,대학,국립,부산,B그룹,7566,1167,16,109,125,7566,7843,1.0
2014,82,국립한밭대학교,대학,국립,대전,B그룹,13559,1334,25,84,109,13559,8964,1.5
2014,83,국민대학교,대학,사립,서울,A그룹,13326,2399,70,94,164,13326,18224,0.699999988079071
2014,84,국방대학교,기타,기타,충남,-,4895,114,25,52,77,4895,0,0.0
2014,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,194,35,2,3,5,194,246,0.800000011920929
2014,86,국제대학교,전문대학,사립,경기,B그룹,396,76,8,15,23,396,4431,0.1000000014901161
2014,87,국제문화대학원대학교,대학원대학,사립,충남,-,118,52,2,0,2,118,18,6.599999904632568
2014,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,583,111,2,5,7,583,88,6.599999904632568
2014,89,국제사이버대학교,대학,사립,경기,C그룹,0,0,2,0,2,0,2125,0.0
2014,90,국제언어대학원대학교,대학원대학,사립,서울,-,523,36,2,14,16,523,93,5.599999904632568
2014,91,국제예술대학교,기타,기타,서울,-,86,25,0,0,0,86,424,0.2000000029802322
2014,92,군산간호대학교,전문대학,사립,전북,C그룹,1123,260,3,38,41,1123,1113,1.0
2014,93,군장대학교,전문대학,사립,전북,C그룹,712,250,2,14,16,712,2107,0.3000000119209289
2014,94,극동대학교,대학,사립,충북,C그룹,547,134,5,12,17,547,4370,0.1000000014901161
2014,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,2195,0.0
2014,96,금강대학교,대학,사립,충남,C그룹,10475,646,11,49,60,10475,473,22.100000381469727
2014,97,기독간호대학교,전문대학,사립,광주,C그룹,344,121,2,2,4,344,579,0.6000000238418579
2014,98,김천대학교,대학,사립,경북,C그룹,2719,830,5,36,41,2719,3499,0.800000011920929
2014,99,김포대학교,전문대학,사립,경기,C그룹,1414,307,7,31,38,1414,3400,0.4000000059604645
2014,100,김해대학교,전문대학,사립,경남,C그룹,515,171,5,8,13,515,1532,0.3000000119209289
2014,101,나사렛대학교,대학,사립,충남,B그룹,3653,694,16,49,65,3653,6278,0.6000000238418579
2014,102,나주대학교,전문대학,사립,전남,C그룹,367,120,1,2,3,367,2089,0.2000000029802322
2014,103,남부대학교,대학,사립,광주,C그룹,4871,695,6,15,21,4871,3572,1.399999976158142
2014,104,남서울대학교,대학,사립,충남,B그룹,15937,1796,26,85,111,15937,10972,1.5
2014,105,농협대학교,전문대학,사립,경기,C그룹,906,87,1,9,10,906,490,1.7999999523162842
2014,106,능인대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0.0
2014,107,단국대학교,대학,사립,경기,A그룹,36687,5482,52,315,367,36687,28912,1.2999999523162842
2014,108,대경대학교,전문대학,사립,경북,B그룹,1176,303,2,15,17,1176,3935,0.3000000119209289
2014,109,대구가톨릭대학교,대학,사립,경북,A그룹,19125,2278,40,172,212,19125,15506,1.2000000476837158
2014,110,대구경북과학기술원,대학,국립,대구,C그룹,6733,756,6,160,166,6733,416,16.200000762939453
