YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2024,43,경일대학교,대학,사립,경북,B그룹,1,2.0,0,0,3.0,0,0,0,0.0,0.0,0,5.0,0,0.0,5.0,0,0,0,0,0,1,7.0,0,0.0,8.0,0,0,0,0.0,0.0,1,7.0,0,0.0,8.0,212.5,52,808.0,163,3.0,0.0,5.0,0.0,7301,1.0,3.0,5.0,7301,1.100000023841858,1020.5,3.0,6.0,113.4000015258789
2024,44,경찰대학,기타,기타,충남,-,0,4.0,0,1,5.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,4.0,0,1.0,5.0,0,0,0,0.0,0.0,0,4.0,0,1.0,5.0,0.0,0,2.0,1,4.0,1.0,0.0,0.0,0,0.0,4.0,0.0,0,0.0,2.0,5.0,0.0,0.4000000059604645
2024,45,경희대학교,대학,사립,서울,A그룹,11,6.0,1,0,18.0,0,0,0,0.0,0.0,0,25.0,0,0.0,25.0,0,0,0,0,0,11,31.0,1,0.0,43.0,0,0,0,0.0,0.0,11,31.0,1,0.0,43.0,1105.0,312,327.5,82,18.0,0.0,25.0,0.0,34396,1.100000023841858,18.0,25.0,34396,1.2999999523162842,1432.5,19.0,21.0,35.79999923706055
2024,46,계명대학교,대학,사립,대구,A그룹,8,7.0,2,0,17.0,0,0,0,0.0,0.0,2,5.0,0,3.0,10.0,0,0,0,0,0,10,12.0,2,3.0,27.0,0,0,0,0.0,0.0,10,12.0,2,3.0,27.0,1017.5,508,2282.0,594,17.0,0.0,7.0,3.0,22450,1.100000023841858,17.0,7.0,22450,1.100000023841858,3299.5,18.0,10.0,117.8000030517578
2024,47,계명문화대학교,전문대학,사립,대구,A그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,0,0,0,0,0,0,3.0,0,0.0,3.0,0,0,0,0.0,0.0,0,3.0,0,0.0,3.0,50.0,11,27.5,7,1.0,0.0,2.0,0.0,4514,0.6000000238418579,1.0,2.0,4514,0.699999988079071,77.5,2.0,1.0,25.799999237060547
2024,48,계약신학대학원대학교,대학원대학,사립,경기,-,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024,49,계원예술대학교,전문대학,사립,경기,B그룹,0,2.0,0,0,2.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,3.0,0,0.0,3.0,0,0,0,0.0,0.0,0,3.0,0,0.0,3.0,75.0,17,14.0,3,2.0,0.0,1.0,0.0,2744,1.0,2.0,1.0,2744,1.100000023841858,89.0,2.0,1.0,29.700000762939453
2024,50,고려대학교,대학,사립,서울,A그룹,12,8.0,1,2,23.0,0,0,0,0.0,0.0,0,15.0,2,2.0,19.0,0,0,0,0,0,12,23.0,3,4.0,42.0,0,0,0,0.0,0.0,12,23.0,3,4.0,42.0,914.0,215,546.0,96,21.0,2.0,17.0,2.0,31130,1.2000000476837158,21.0,17.0,31130,1.2000000476837158,1460.0,23.0,19.0,34.79999923706055
2024,51,고려대학교(세종),대학,사립,세종,B그룹,0,2.0,0,0,2.0,0,0,0,0.0,0.0,0,7.0,0,2.0,9.0,0,0,0,0,0,0,9.0,0,2.0,11.0,0,0,0,0.0,0.0,0,9.0,0,2.0,11.0,185.0,14,0.0,0,2.0,0.0,7.0,2.0,7322,1.2000000476837158,2.0,7.0,7322,1.2000000476837158,185.0,2.0,9.0,16.799999237060547
2024,52,고려사이버대학교,대학,사립,서울,A그룹,0,0.0,0,0,0.0,0,0,0,2.0,2.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,2.0,0,0.0,0,2.0,2.0,28.0,4,0.0,0,0.0,2.0,0.0,0.0,10175,0.2000000029802322,0.0,0.0,10175,0.0,28.0,2.0,0.0,14.0
