YR,ID,SNM,STYP,FND,RGN,USC,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS
2016,37,경상국립대학교,대학,국립,경남,A그룹,22867,19939,2928,986,1098,550,7202,32703,117,1218262,12700,1642,672,538,1584,17136,82577,22076,11701,10363,40993,167710,0,0,6824,5958,1445,1129,284,956,249,65,1873,104653,22867,4.599999904632568,1218262,22867,53.29999923706055
2016,38,경성대학교,대학,사립,부산,A그룹,13468,12674,794,450,561,249,6389,21117,43,725887,5467,335,436,152,4308,10698,49759,5491,10433,2794,36249,104726,0,0,6776,6889,208,123,231,375,225,152,7143,55250,13468,4.099999904632568,725887,13468,53.900001525878906
2016,39,경안대학원대학교,대학원대학,사립,경북,-,73,0,73,7,13,2,0,95,3,70,0,23,3,2,0,28,0,66,4,4,0,74,0,0,0,0,0,0,0,0,0,0,0,66,73,0.8999999761581421,70,73,1.0
2016,40,경운대학교,대학,사립,경북,C그룹,5066,4944,122,194,200,106,30,5596,24,147000,1450,3,88,51,13,1605,6980,26,674,424,170,8274,0,0,5,3,19,2,0,6,15,2,1300,7006,5066,1.399999976158142,147000,5066,29.0
2016,41,경인교육대학교,대학,국립,인천,C그룹,4246,2624,1622,132,187,138,331,5034,14,362799,2504,877,122,115,45,3663,51222,7344,3357,1662,870,64455,0,0,14322,4895,146,19,47,83,19,20,1236,58566,4246,13.800000190734863,362799,4246,85.4000015258789
2016,42,경인여자대학교,전문대학,사립,인천,B그룹,4894,4894,0,111,336,55,3,5399,27,104764,2688,0,87,79,3,2857,45565,0,1580,1529,15,48689,0,0,0,0,0,0,0,100,1,8,3745,45565,4894,9.300000190734863,104764,4894,21.399999618530277
2016,43,경일대학교,대학,사립,경북,B그룹,7373,7153,220,253,178,150,75,8029,33,285505,2947,23,116,108,46,3240,26565,321,1744,1644,887,31161,0,0,150,300,120,48,16,40,6,19,936,26886,7373,3.5999999046325684,285505,7373,38.70000076293945
2016,44,경찰대학,기타,기타,충남,-,0,0,0,0,0,0,1500,1500,0,14213,362,0,256,182,183,983,7096,0,3012,1585,2520,14213,0,0,46,42,0,47,6,26,5,1,472,7096,0,0.0,14213,0,0.0
2016,45,경희대학교,대학,사립,서울,A그룹,33327,25508,7819,1419,1888,923,19088,56645,91,2203292,21168,5624,1104,780,4051,32727,289401,113504,29752,20147,67250,520054,0,0,52466,47083,7725,986,4252,1355,1337,350,7581,402905,33327,12.100000381469728,2203292,33327,66.0999984741211
2016,46,계명대학교,대학,사립,대구,A그룹,24537,22378,2159,898,1017,662,19841,46955,101,1326175,13948,1251,891,523,1973,18586,111377,19510,18605,7744,30051,187287,0,0,6992,15321,135,523,630,3111,1468,98,8502,130887,24537,5.300000190734863,1326175,24537,54.0
2016,47,계명문화대학교,전문대학,사립,대구,A그룹,5179,5179,0,132,578,88,1294,7271,30,178935,2311,0,198,54,185,2748,21892,0,3428,1403,5033,31756,0,0,136,83,17,0,0,0,0,44,1743,21892,5179,4.199999809265137,178935,5179,34.599998474121094
2016,48,계약신학대학원대학교,대학원대학,사립,경기,-,68,0,68,6,7,4,50,139,2,99,0,103,5,2,7,117,0,1525,14,5,32,1576,0,0,127,20,0,0,0,0,0,3,72,1525,68,22.399999618530277,99,68,1.5
2016,49,계원예술대학교,전문대학,사립,경기,B그룹,2856,2856,0,86,196,67,511,3716,16,63203,1506,0,48,40,0,1594,12306,0,593,355,0,13254,0,0,150,100,0,0,0,0,2,30,1452,12306,2856,4.300000190734863,63203,2856,22.100000381469727
