YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS
2015,66,구미대학교,전문대학,사립,경북,A그룹,1264,304,6,88,94,1264,5492,0.2000000029802322
2015,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200,24,2,2,4,200,43,4.699999809265137
2015,68,국군간호사관학교,기타,기타,대전,-,1242,210,5,8,13,1242,0,0.0
2015,69,국립강릉원주대학교,대학,국립,강원,B그룹,17794,2127,44,200,244,17794,8869,2.0
2015,70,국립경국대학교,대학,국립,경북,B그룹,12421,1706,23,183,206,12421,8192,1.5
2015,71,국립공주대학교,대학,국립,충남,A그룹,22764,2720,46,176,222,22764,17356,1.2999999523162842
2015,72,국립군산대학교,대학,국립,전북,B그룹,12875,1636,31,108,139,12875,9041,1.399999976158142
2015,73,국립금오공과대학교,대학,국립,경북,B그룹,13195,1638,18,78,96,13195,7580,1.7000000476837158
2015,74,국립목포대학교,대학,국립,전남,B그룹,10764,1330,20,62,82,10764,9027,1.2000000476837158
2015,75,국립목포해양대학교,대학,국립,전남,C그룹,4810,641,10,60,70,4810,2714,1.7999999523162842
2015,76,국립부경대학교,대학,국립,부산,A그룹,22549,4405,44,127,171,22549,20223,1.100000023841858
2015,77,국립순천대학교,대학,국립,전남,B그룹,11169,1956,21,77,98,11169,8655,1.2999999523162842
2015,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210,56,1,18,19,210,44,4.800000190734863
2015,79,국립창원대학교,대학,국립,경남,B그룹,15603,2257,36,111,147,15603,10353,1.5
2015,80,국립한국교통대학교,대학,국립,충북,B그룹,11832,1448,32,178,210,11832,9884,1.2000000476837158
2015,81,국립한국해양대학교,대학,국립,부산,B그룹,7566,1314,16,109,125,7566,7870,1.0
2015,82,국립한밭대학교,대학,국립,대전,B그룹,13559,1334,25,84,109,13559,9037,1.5
2015,83,국민대학교,대학,사립,서울,A그룹,13342,2348,73,91,164,13342,18578,0.699999988079071
2015,84,국방대학교,기타,기타,충남,-,4895,114,25,52,77,4895,0,0.0
2015,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,194,36,2,3,5,194,233,0.800000011920929
