Year,ID,SchName,SchType,FoundType,Region,UnivScale,BookRes_TitleCount_DomBook,BookRes_TitleCount_ForBook,BookRes_TitleCount_TotalSum,BookRes_BookCount_DomBook,BookRes_BookCount_ForBook,BookRes_BookCount_TotalSum,ERes_EJournal_Package,ERes_WebDB_Package,ERes_SubEBook_TitleCount,ERes_ELearnVideo_Package,ERes_Total_Package,ERes_Total_TitleCount,Serials_Domestic,Serials_Foreign,Serials_Total,AnnualHoldChg_AnnualBookInc_Buy,AnnualHoldChg_AnnualBookInc_Donation,AnnualHoldChg_AnnualBookInc_Total,AnnualHoldChg_AnnualTitleInc,AnnualHoldChg_AnnualBookRm,BooksPerSt_BooksOwned,BooksPerSt_StCountPrev,BooksPerSt_BooksPerSt,HoldGrowRate_AnnualHoldBookCount,HoldGrowRate_BooksOwned,HoldGrowRate_HoldGrowRate
2022,194,서라벌대학교,전문대학,사립,경북,C그룹,32161,4148,36309,109215,16526,125741,1,2,3997,0,3,3997,21,0,21,654,0,654,631,0,125741,608,206.8000030517578,654,125741,0.5
2022,195,서영대학교,전문대학,사립,광주,A그룹,83769,3222,86991,114367,3555,117922,1,2,20573,1,4,20573,169,0,169,4333,11,4344,1362,0,117922,5018,23.5,4344,117922,3.799999952316284
2022,196,서울과학기술대학교,대학,국립,서울,A그룹,286881,111558,398439,677858,124470,802328,32,37,87203,3,72,87203,297,20,317,17280,846,18126,10438,0,802328,11785,68.0999984741211,18126,802328,2.299999952316284
2022,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,1680,244,1924,2638,322,2960,15,9,78602,0,24,78602,0,0,0,0,0,0,0,0,2960,685,4.300000190734863,0,2960,0.0
2022,198,서울교육대학교,대학,국립,서울,C그룹,162953,25998,188951,282620,36352,318972,20,17,104381,0,37,104381,200,0,200,5429,564,5993,5878,0,318972,2911,109.5999984741211,5993,318972,1.899999976158142
2022,199,서울기독대학교,대학,사립,서울,C그룹,31078,12497,43575,40976,15389,56365,2,1,6987,0,3,6987,6,11,17,204,1,205,186,0,56365,648,87.0,205,56365,0.4000000059604645
2022,200,서울대학교,대학,국립,서울,A그룹,768131,1717857,2485988,2169296,2997720,5167016,90,111,813159,0,201,813159,1203,1730,2933,37931,39271,77202,54115,20128,5167016,27924,185.0,77202,5167016,1.5
2022,201,서울디지털대학교,대학,사립,서울,A그룹,22227,0,22227,74234,0,74234,12,7,78005,0,19,78005,0,0,0,966,0,966,670,0,74234,10952,6.800000190734863,966,74234,1.2999999523162842
2022,202,서울미디어대학원대학교,대학원대학,사립,서울,-,4558,1207,5765,5019,1371,6390,0,1,0,0,1,0,9,0,9,116,341,457,446,0,6390,261,24.5,457,6390,7.699999809265137
2022,203,서울벤처대학원대학교,대학원대학,사립,서울,-,1077,390,1467,2388,1146,3534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3534,258,13.699999809265137,0,3534,0.0
2022,204,서울불교대학원대학교,대학원대학,사립,서울,-,8065,2415,10480,8065,2415,10480,0,2,0,0,2,0,2,0,2,88,0,88,88,0,10480,164,63.900001525878906,88,10480,0.800000011920929
2022,205,서울사이버대학교,대학,사립,서울,A그룹,2036,10325,12361,7933,50975,58908,0,3,53011,0,3,53011,0,0,0,0,0,0,0,0,58908,15777,3.700000047683716,0,58908,0.0
2022,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,5942,0,5942,6106,0,6106,0,0,0,0,0,0,1,0,1,2,58,60,60,0,6106,126,48.5,60,6106,1.0
2022,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,7188,458,7646,8727,478,9205,4,1,0,0,5,0,25,0,25,486,88,574,481,0,9205,112,82.19999694824219,574,9205,6.699999809265137
2022,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,15609,1932,17541,21049,3697,24746,14,8,57657,0,22,57657,59,9,68,139,1220,1359,1315,172,24746,93,266.1000061035156,1359,24746,5.800000190734863
2022,209,서울시립대학교,대학,공립,서울,A그룹,497538,205626,703164,865646,293659,1159305,28,60,346169,2,90,346169,533,255,788,29182,3003,32185,24100,0,1159305,11879,97.5999984741211,32185,1159305,2.900000095367432
2022,210,서울신학대학교,대학,사립,경기,C그룹,118184,114627,232811,220236,134647,354883,10,10,54664,1,21,54664,70,15,85,641,530,1171,811,0,354883,3016,117.6999969482422,1171,354883,0.3000000119209289
2022,211,서울여자간호대학교,전문대학,사립,서울,C그룹,27971,1435,29406,38613,1782,40395,7,7,9578,0,14,9578,35,3,38,1129,370,1499,1330,0,40395,918,44.0,1499,40395,3.900000095367432
2022,212,서울여자대학교,대학,사립,서울,B그룹,373256,159606,532862,540608,189188,729796,25,20,338917,3,48,338917,43,37,80,18298,867,19165,17299,31,729796,7361,99.0999984741211,19165,729796,2.700000047683716
2022,213,서울예술대학교,전문대학,사립,경기,B그룹,80879,10855,91734,105268,11543,116811,4,6,22734,4,14,22734,77,26,103,5421,282,5703,4085,0,116811,3147,37.09999847412109,5703,116811,5.099999904632568
2022,214,서울외국어대학원대학교,대학원대학,사립,서울,-,1871,655,2526,2688,710,3398,0,0,0,0,0,0,0,0,0,0,7,7,6,0,3398,182,18.700000762939453,7,3398,0.2000000029802322
2022,215,서울장신대학교,대학,사립,경기,C그룹,66215,7611,73826,86539,41180,127719,8,8,41846,1,17,41846,118,2,120,1673,17,1690,1561,687,127719,716,178.39999389648438,1690,127719,1.2999999523162842
2022,216,서울한영대학교,대학,사립,서울,C그룹,50506,32061,82567,88284,48652,136936,0,7,4004,0,7,4004,160,17,177,814,1157,1971,1618,133,136936,920,148.8000030517578,1971,136936,1.5
2022,217,서원대학교,대학,사립,충북,B그룹,312242,61830,374072,633930,116961,750891,18,16,94707,0,34,94707,350,0,350,15698,4519,20217,18290,1768,750891,6956,107.9000015258789,20217,750891,2.799999952316284
2022,218,서일대학교,전문대학,사립,서울,A그룹,117894,15972,133866,180910,17209,198119,10,7,20561,3,20,20561,97,0,97,5814,0,5814,5010,0,198119,5678,34.900001525878906,5814,198119,3.0
2022,219,서정대학교,전문대학,사립,경기,A그룹,54315,15564,69879,78478,18701,97179,0,3,65097,1,4,65097,41,0,41,3393,3000,6393,6385,0,97179,6197,15.699999809265137,6393,97179,7.0
2022,220,서해대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,221,선교청대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,222,선린대학교,전문대학,사립,경북,C그룹,56121,2596,58717,86011,3331,89342,2,0,17031,0,2,17031,63,0,63,2548,0,2548,2188,0,89342,2151,41.5,2548,89342,2.900000095367432
2022,223,선문대학교,대학,사립,충남,B그룹,345121,115357,460478,613768,145979,759747,21,23,108512,6,50,108512,251,37,288,21754,1742,23496,12131,0,759747,9619,79.0,23496,759747,3.200000047683716
2022,224,선학유피대학원대학교,대학원대학,사립,경기,-,23653,7133,30786,33541,8367,41908,7,8,56866,0,15,56866,20,3,23,345,226,571,667,3570,41908,77,544.2999877929688,571,41908,1.399999976158142
2022,225,성결대학교,대학,사립,경기,B그룹,255616,129888,385504,440511,148748,589259,16,15,138473,4,35,138473,100,61,161,7116,36,7152,6804,0,589259,5774,102.0999984741211,7152,589259,1.2000000476837158
2022,226,성공회대학교,대학,사립,서울,C그룹,131343,82368,213711,168042,101568,269610,21,17,125163,2,40,125163,66,26,92,2243,273,2516,2127,1802,269610,2390,112.8000030517578,2516,269610,0.8999999761581421
2022,227,성균관대학교,대학,사립,서울,A그룹,749147,570024,1319171,1367083,839421,2206504,49,64,692794,6,119,692794,255,119,374,45057,5468,50525,28977,1599,2206504,27431,80.4000015258789,50525,2206504,2.299999952316284
2022,228,성산효대학원대학교,대학원대학,사립,인천,-,22336,5495,27831,22765,5495,28260,1,0,0,0,1,0,15,8,23,214,344,558,505,0,28260,177,159.6999969482422,558,28260,2.0
2022,229,성서침례대학원대학교,대학원대학,사립,경기,-,17619,6522,24141,17642,6522,24164,0,0,320,0,0,320,35,13,48,191,384,575,575,0,24164,54,447.5,575,24164,2.400000095367432
2022,230,성신여자대학교,대학,사립,서울,A그룹,390331,235341,625672,731339,280529,1011868,23,19,154013,4,46,154013,153,10,163,23596,1700,25296,23695,8344,1011868,10066,100.5,25296,1011868,2.5999999046325684
2022,231,성운대학교,전문대학,사립,경북,C그룹,28166,5467,33633,49081,5467,54548,0,0,11423,0,0,11423,33,0,33,2064,0,2064,1305,0,54548,1491,36.59999847412109,2064,54548,3.900000095367432
2022,232,성화대학,전문대학,사립,전남,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,233,세경대학교,전문대학,사립,강원,C그룹,46754,1469,48223,48459,1469,49928,0,2,10495,0,2,10495,66,0,66,1424,0,1424,1424,0,49928,967,51.59999847412109,1424,49928,2.900000095367432
2022,234,세계사이버대학,기타,기타,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,235,세명대학교,대학,사립,충북,B그룹,292288,69726,362014,552512,104188,656700,16,14,32036,2,32,32036,105,11,116,7405,986,8391,6813,0,656700,7567,86.80000305175781,8391,656700,1.2999999523162842
2022,236,세종대학교,대학,사립,서울,A그룹,377659,208880,586539,656700,317706,974406,35,31,112404,5,71,112404,105,66,171,5945,1443,7388,6607,0,974406,14706,66.30000305175781,7388,974406,0.800000011920929
2022,237,세한대학교,대학,사립,충남,C그룹,177435,57781,235216,276452,79052,355504,15,11,107885,3,29,107885,46,1,47,10406,816,11222,8836,0,355504,3921,90.6999969482422,11222,355504,3.299999952316284
2022,238,송곡대학교,전문대학,사립,강원,C그룹,16206,43,16249,18505,97,18602,2,0,1738,0,2,1738,13,0,13,449,750,1199,1070,0,18602,649,28.700000762939453,1199,18602,6.900000095367432
2022,239,송원대학교,대학,사립,광주,C그룹,122815,21251,144066,235478,26514,261992,16,16,92730,4,36,92730,101,2,103,2981,332,3313,3007,0,261992,3142,83.4000015258789,3313,261992,1.2999999523162842
2022,240,송호대학교,전문대학,사립,강원,C그룹,33135,1604,34739,45187,2241,47428,1,1,3565,0,2,3565,41,0,41,717,41,758,758,0,47428,943,50.29999923706055,758,47428,1.600000023841858
2022,241,수도국제대학원대학교,대학원대학,사립,서울,-,16197,4121,20318,18744,4125,22869,0,0,0,0,0,0,29,0,29,78,35,113,108,593,22869,358,63.900001525878906,113,22869,0.5
2022,242,수성대학교,전문대학,사립,대구,B그룹,58247,2599,60846,125150,3490,128640,4,3,17521,2,9,17521,47,0,47,5473,79,5552,3841,8553,128640,3326,38.70000076293945,5552,128640,4.5
2022,243,수원가톨릭대학교,대학,사립,경기,C그룹,66712,26190,92902,104970,40597,145567,11,10,7453,0,21,7453,155,110,265,2315,2421,4736,3296,0,145567,184,791.0999755859375,4736,145567,3.400000095367432
2022,244,수원과학대학교,전문대학,사립,경기,B그룹,127896,7808,135704,220280,9685,229965,7,3,32632,1,11,32632,97,2,99,4932,31,4963,4241,2739,229965,4621,49.79999923706055,4963,229965,2.200000047683716
2022,245,수원대학교,대학,사립,경기,B그룹,304368,148221,452589,672816,263766,936582,18,15,119709,4,37,119709,155,7,162,6606,1786,8392,7048,18392,936582,9581,97.8000030517578,8392,936582,0.8999999761581421
2022,246,수원여자대학교,전문대학,사립,경기,B그룹,101464,6425,107889,189356,10094,199450,7,11,71008,1,19,71008,79,0,79,3978,0,3978,2245,3486,199450,3996,49.900001525878906,3978,199450,2.0
2022,247,숙명여자대학교,대학,사립,서울,A그룹,432000,282374,714374,956871,331299,1288170,36,39,167786,3,78,167786,278,101,379,27798,1513,29311,19593,29861,1288170,12596,102.3000030517578,29311,1288170,2.299999952316284
2022,248,순복음대학원대학교,대학원대학,사립,서울,-,17710,0,17710,29037,0,29037,0,0,0,0,0,0,51,0,51,0,447,447,409,0,29037,118,246.1000061035156,447,29037,1.600000023841858
2022,249,순복음총회신학교,대학,사립,충북,C그룹,13820,0,13820,25247,0,25247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25247,171,147.60000610351562,0,25247,0.0
2022,250,순천제일대학교,전문대학,사립,전남,B그룹,81870,1214,83084,117431,1334,118765,1,2,7326,0,3,7326,50,0,50,3508,1,3509,2352,0,118765,2534,46.900001525878906,3509,118765,3.0
2022,251,순천향대학교,대학,사립,충남,A그룹,359434,240247,599681,596302,269040,865342,47,32,188321,4,83,188321,122,9,131,17451,1246,18697,16538,0,865342,11665,74.19999694824219,18697,865342,2.200000047683716
2022,252,숭실대학교,대학,사립,서울,A그룹,449360,369183,818543,763865,412221,1176086,40,41,473954,6,87,473954,193,133,326,31953,2518,34471,24842,0,1176086,16346,71.9000015258789,34471,1176086,3.0
