Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountPrev,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2018A,BgtGrowth3Y_MatCostSettle_2019B,BgtGrowth3Y_MatCostSettle_2020C,BgtGrowth3Y_BgtGrowth3Y
2020,409,한국폴리텍Ⅴ대학광주캠퍼스,전문대학,사립,광주,C그룹,5015060601,8312000,300000,0,0,0,0,0,8612000,10307192000,5400000,600000,0,0,0,0,0,6000000,8612000,780,11041.0,8612000,5015060601,0.2,9300000,9450000,8612000,-3.6
2020,410,한국폴리텍Ⅴ대학순천캠퍼스,전문대학,사립,전남,C그룹,3199842116,1025730,0,0,0,0,0,0,1025730,8317954000,2000000,0,0,0,0,0,0,2000000,1025730,8,128216.3,1025730,3199842116,0.0,0,3686000,1025730,0.0
2020,411,한국폴리텍Ⅴ대학익산캠퍼스,전문대학,사립,전북,C그룹,2815005761,3296520,0,0,0,0,0,0,3296520,2007411000,2000000,0,0,0,0,0,0,2000000,3296520,94,35069.4,3296520,2815005761,0.1,0,3230010,3296520,0.0
2020,412,한국폴리텍Ⅴ대학전남캠퍼스,전문대학,사립,전남,C그룹,2329502366,0,0,0,0,0,0,0,0,2610889000,0,0,0,0,0,0,0,0,0,252,0.0,0,2329502366,0.0,0,3500000,0,0.0
2020,413,한국폴리텍Ⅴ대학전북캠퍼스,전문대학,사립,전북,C그룹,2866574439,0,0,0,0,0,0,0,0,2022892000,0,0,0,0,0,0,0,0,0,537,0.0,0,2866574439,0.0,5960120,5787440,0,-51.4
2020,414,한국폴리텍Ⅵ대학구미캠퍼스,전문대학,사립,경북,C그룹,4038689490,2705310,0,0,0,0,0,0,2705310,2875565000,4700000,0,0,0,0,0,0,4700000,2705310,530,5104.4,2705310,4038689490,0.1,6840000,6845670,2705310,-30.2
2020,415,한국폴리텍Ⅵ대학대구캠퍼스,전문대학,사립,대구,C그룹,3760258285,8100000,2136000,0,0,0,0,0,10236000,2418678000,5520000,2136000,0,0,0,0,0,7656000,10236000,850,12042.4,10236000,3760258285,0.3,21598610,14057670,10236000,-31.0
2020,416,한국폴리텍Ⅵ대학영남융합기술캠퍼스,전문대학,사립,대구,C그룹,5188534436,3992760,0,0,0,0,0,0,3992760,2391371000,2000000,0,0,0,0,0,0,2000000,3992760,229,17435.6,3992760,5188534436,0.1,3830000,4269510,3992760,2.5
2020,417,한국폴리텍Ⅵ대학영주캠퍼스,전문대학,사립,경북,C그룹,1843418035,0,0,0,0,0,0,0,0,1344125000,365000,0,0,0,0,0,0,365000,0,58,0.0,0,1843418035,0.0,2176200,1834380,0,-57.9
2020,418,한국폴리텍Ⅶ대학동부산캠퍼스,전문대학,사립,부산,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,419,한국폴리텍Ⅶ대학부산캠퍼스,전문대학,사립,부산,C그룹,4447666953,2460000,0,0,0,0,0,0,2460000,2935429000,1764000,0,0,0,0,0,0,1764000,2460000,934,2633.8,2460000,4447666953,0.1,10285000,9180370,2460000,-42.0
2020,420,한국폴리텍Ⅶ대학울산캠퍼스,전문대학,사립,울산,C그룹,3250696430,6472850,0,0,0,0,0,0,6472850,2760351000,3107000,0,0,0,0,0,0,3107000,6472850,786,8235.2,6472850,3250696430,0.2,6421590,8150000,6472850,3.2
2020,421,한국폴리텍Ⅶ대학진주캠퍼스,전문대학,사립,경남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,422,한국폴리텍Ⅶ대학창원캠퍼스,전문대학,사립,경남,C그룹,9078604330,9996300,726300,0,0,0,0,0,10722600,5525173000,10000000,749700,0,0,0,0,0,10749700,10722600,1453,7379.6,10722600,9078604330,0.1,17638560,14912100,10722600,-21.8
2020,423,한국폴리텍특성화 로봇캠퍼스,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,424,한국폴리텍특성화 바이오캠퍼스,전문대학,사립,충남,C그룹,2872678755,3600000,0,0,0,0,0,0,3600000,1906390000,1500000,0,0,0,0,0,0,1500000,3600000,401,8977.6,3600000,2872678755,0.1,0,4177830,3600000,0.0
2020,425,한국폴리텍특성화 반도체융합캠퍼스,전문대학,사립,경기,C그룹,3847192713,0,0,0,0,0,0,0,0,2288926000,0,0,0,0,0,0,0,0,0,667,0.0,0,3847192713,0.0,5469930,5480005,0,-49.9
2020,426,한국폴리텍특성화 항공캠퍼스,전문대학,사립,경남,C그룹,2124707430,2375870,0,0,0,0,0,0,2375870,1900751000,2400000,0,0,0,0,0,0,2400000,2375870,500,4751.7,2375870,2124707430,0.1,4378000,1071140,2375870,23.1
2020,427,한국학대학원,대학원대학,국립,경기,-,30644272069,123910530,26252934,0,0,171673482,0,0,321836946,35889000000,112179000,30849670,0,99022923,62756066,0,0,304807659,321836946,297,1083626.1,321836946,30644272069,1.1,0,275501376,321836946,0.0
2020,428,한국항공대학교,대학,사립,경기,C그룹,70343798216,49075570,20322170,0,195906548,60238255,0,14819270,340361813,70119868088,50000000,19300000,500000,170000000,87543000,0,15000000,342343000,340361813,4442,76623.6,340361813,70343798216,0.5,364616859,342751134,340361813,-3.3
